date,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HALCYON SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,2.5406206178561095,2.298140683218195,0.0,0.0,0.0,4.838761301074305
2024-03-04,20.51098434464367,0.0,0.0,0.0,2.541706333026117,2.2985749692861983,0.0,0.0,0.0,25.35126564695599
2024-03-05,20.500127192943594,0.0,0.0,4.829566618156847,2.543009191230126,2.300529256592212,0.0,0.0,0.0,30.173232258922784
2024-03-06,20.491441471583535,0.0,0.0,4.829371189426246,2.5439211919729323,2.3099315499644772,0.0,0.0,1.0059644399093455,31.18062984285654
2024-03-07,20.48492718056349,0.0,0.0,4.829371189426246,2.5439211919729323,2.3142309820377074,0.0,0.0,1.0059644399093455,31.178414983909718
2024-03-08,20.478412889543446,10.952518466892954,0.0,4.829371189426246,2.5439211919729323,2.3142309820377074,0.0,0.0,1.0059644399093455,42.12441915978263
2024-03-11,20.478412889543446,10.952518466892954,0.0,4.829154046392245,2.542835476802925,2.3142309820377074,0.0,0.0,1.0059644399093455,42.12311630157862
2024-03-12,20.477110031339436,10.952518466892954,0.0,4.829154046392245,2.542835476802925,2.3142309820377074,0.0,0.0,1.0059644399093455,42.12181344337461
2024-03-13,20.477175174249638,10.952518466892954,0.0,4.829154046392245,2.5414891899921153,2.3153601258145153,0.0,0.0,1.0059644399093455,42.121661443250815
2024-03-14,20.47815231790264,10.952518466892954,0.0,4.829132332088845,2.5414891899921153,2.3151429827805137,0.0,0.0,1.0059644399093455,42.12239972956642
2024-03-15,20.47815231790264,10.952518466892954,0.0,4.829132332088845,2.5409463324071115,2.316337269467522,0.0,0.0,1.0059644399093455,42.123051158668424
2024-03-18,20.478543175363846,10.952518466892954,0.0,4.829132332088845,2.5407943322833106,2.316337269467522,0.0,0.0,1.0059644399093455,42.12329001600582
2024-03-19,20.478543175363846,10.952518466892954,0.0,4.83134719103566,2.54075090367651,2.3152515542975145,0.0,0.0,1.0059644399093455,42.12437573117583
2024-03-21,20.478478032453644,10.952518466892954,0.0,4.83134719103566,2.54075090367651,2.3153601258145153,0.0,0.0,1.0059644399093455,42.12441915978263
2024-03-22,20.478478032453644,10.952518466892954,0.0,4.83134719103566,2.54075090367651,2.31742298463753,0.0,0.0,1.0059644399093455,42.12648201860564
2024-03-27,20.478478032453644,10.952518466892954,0.0,4.831412333945861,2.5396651885065027,2.3152515542975145,0.0,0.0,1.0059644399093455,42.12329001600582
2024-04-02,20.478543175363846,10.952518466892954,0.0,4.831412333945861,2.5396651885065027,2.3152515542975145,0.0,0.0,1.0059644399093455,42.12335515891603
2024-04-03,20.478478032453644,11.045542542659206,0.0,4.7383882581796115,2.539686902809903,2.3152515542975145,0.0,0.0,1.0059644399093455,42.123311730309226
2024-04-05,20.478738604094445,11.045542542659206,0.0,4.7383882581796115,2.539686902809903,2.318617271324538,0.0,0.0,1.0059644399093455,42.12693801897705
2024-04-08,20.478912318521648,11.045542542659206,0.0,4.741645403689635,2.548416052776764,2.3183566996837364,0.0,0.0,1.0059644399093455,42.13883745724033
2024-04-09,20.47895574712845,11.043371112319189,0.0,4.741645403689635,2.5516731982867866,2.3193555576401432,0.0,0.0,1.0059644399093455,42.14096545897355
