date,BANK OF CHINA (HONG KONG) LTD,DAH SING SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,REALINK FINANCIAL TRADE LTD,UNICORN SECURITIES CO LTD,EVERBRIGHT SECURITIES INVESTMENT
2024-03-01,87.27187646233037,0.0,0.0,12.72812353766963,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,76.67202512243449,0.0,0.0,11.185464877191672,0.0,0.0,12.142510000373846,0.0,0.0,0.0
2024-03-06,76.36370406225565,0.0,0.0,11.54261458837547,0.0,0.0,12.09368134936888,0.0,0.0,0.0
2024-03-07,72.21028909468643,0.0,0.0,10.915877319623931,0.0,0.0,11.437022430367266,5.436811155322371,0.0,0.0
2024-03-08,72.11379540739178,0.0,0.0,11.034919295284313,0.0,0.0,11.421739283328058,5.429546013995851,0.0,0.0
2024-03-13,52.15677297929702,27.964291164352208,0.0,7.853909151024976,0.0,0.0,8.260847449005544,3.7641792563202605,0.0,0.0
2024-03-15,52.13642606439799,27.964291164352208,0.0,7.853909151024976,0.0,0.0,8.281194363904573,3.7641792563202605,0.0,0.0
2024-03-18,49.2554934464148,26.491422513492672,0.0,7.440246723207402,0.0,0.0,7.931765612952968,3.5659213569776407,5.3151503469545105,0.0
2024-03-21,41.29811985566569,22.314844371891176,16.009713877024904,6.2388627813852375,0.0,0.0,6.651015633523381,3.0305356774863528,4.456907803023262,0.0
2024-03-22,41.257712713299206,22.314844371891176,15.908696021108693,6.2388627813852375,0.0,0.0,6.651015633523381,3.0305356774863528,4.598332801305959,0.0
2024-03-25,41.17452279711357,22.30042682754471,15.765160050234009,6.323670151550026,0.0,0.0,6.788052059230903,3.052806280058633,4.595361834268155,0.0
