date,TIGER BROKERS (HK) GLOBAL LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CINDA INTERNATIONAL SECURITIES LTD,CNI SECURITIES GROUP LTD,FUTU SECURITIES INTERNATIONAL,HUARONG INTERNATIONAL SECURITIES LTD,SOOCHOW SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING
2025-02-28,109038000.0,67097000.0,114709894.0,0.0,0.0,131640396.0,0.0,0.0,74477977.0
2025-03-03,108444000.0,67566000.0,114729894.0,0.0,0.0,134691396.0,0.0,151817950.0,76958977.0
2025-03-04,108407000.0,67296000.0,115169894.0,0.0,0.0,134306396.0,0.0,151378950.0,76175977.0
2025-03-06,99299000.0,67135000.0,115174894.0,0.0,0.0,136852396.0,0.0,0.0,75292000.0
2025-03-07,99471000.0,67054000.0,0.0,0.0,0.0,136685396.0,0.0,151379950.0,75558000.0
2025-03-10,99096000.0,64327000.0,115204894.0,0.0,0.0,139165396.0,0.0,0.0,77656000.0
2025-03-11,99191000.0,64217000.0,114408894.0,0.0,0.0,138964396.0,0.0,0.0,77844000.0
2025-03-12,98488000.0,64166000.0,114486894.0,0.0,0.0,139116396.0,0.0,0.0,77883000.0
2025-03-14,98187000.0,64114000.0,114386894.0,0.0,0.0,139722396.0,0.0,0.0,78436000.0
2025-03-18,98219000.0,62329000.0,114366894.0,0.0,155856000.0,141314396.0,0.0,0.0,77431000.0
2025-03-19,98090000.0,62854000.0,114354894.0,0.0,0.0,138701396.0,0.0,150779950.0,79269000.0
2025-03-20,98295000.0,63027000.0,114341894.0,174060000.0,0.0,138972396.0,0.0,0.0,79581000.0
2025-03-21,98294000.0,63007000.0,114174894.0,0.0,0.0,139115396.0,0.0,0.0,80177000.0
2025-03-24,98088000.0,62706000.0,113537894.0,174120000.0,0.0,136897396.0,0.0,0.0,82346000.0
2025-03-25,98464000.0,62058000.0,114068894.0,174030000.0,155005000.0,138201396.0,0.0,0.0,80981000.0
2025-03-26,98647000.0,62244000.0,0.0,0.0,0.0,138114396.0,470030000.0,0.0,81462000.0
2025-03-31,98973000.0,62799000.0,114168894.0,0.0,0.0,138657396.0,0.0,0.0,80101000.0
2025-04-02,99271000.0,62911000.0,0.0,172540000.0,0.0,140357396.0,0.0,147527950.0,80155000.0
