date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,ICBC (ASIA) SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,0.0,3.8882227256448925,0.0,4.04145175987252,0.0,1.3863741696123577,0.0,0.0,1.2838450294759025,0.0,10.599893684605673
2024-03-04,0.0,4.5766256938169,4.152131091321594,4.04145175987252,0.0,1.3852381911170244,0.0,0.0,1.2838450294759025,0.0,15.43929176560394
2024-03-05,0.0,4.5766256938169,4.163490876274928,4.04145175987252,2.34462174841818,1.3850109954179577,0.0,0.0,1.2838450294759025,0.0,17.795046103276388
2024-03-06,0.0,4.5766256938169,4.163983133622906,4.04145175987252,2.34462174841818,1.3828905022266686,0.0,0.0,1.2838450294759025,0.0,17.793417867433075
2024-03-07,0.0,4.5766256938169,4.156409943654016,4.04145175987252,2.34462174841818,1.3735754785649354,0.0,0.0,1.299824460310258,0.0,17.79250908463681
2024-03-08,0.0,4.5766256938169,4.156409943654016,4.04145175987252,2.34462174841818,1.3735754785649354,0.0,0.0,1.2998812592350246,0.7883312098114971,18.580897093373075
2024-03-11,0.0,4.5766256938169,4.156409943654016,4.04145175987252,2.34462174841818,1.3730074893172688,0.0,0.0,1.2998812592350246,0.7881797460121194,18.580177640326028
2024-03-12,0.0,4.595558668739122,4.156409943654016,4.0403157813771875,2.34462174841818,1.373386148815713,0.0,0.0,1.2998812592350246,0.7719163205539303,18.582089870793173
2024-03-13,0.0,4.614491643661345,4.156409943654016,4.0403157813771875,2.34462174841818,1.3809593387846022,0.0,0.0,1.3182273119346584,0.7765359664349526,18.63156173426494
2024-03-14,0.0,4.6118599601471555,4.160196538638461,4.0403157813771875,2.3423497914275138,1.382057451330091,0.0,0.0,1.3182273119346584,0.7765359664349526,18.631542801290017
2024-03-15,0.0,4.6118599601471555,4.1806441515544615,4.0403157813771875,2.3423497914275138,1.451787597968636,0.0,1.4078181492666149,1.327390871797014,0.7728061703752748,20.134972473913855
2024-03-18,0.0,4.6167825336269335,4.182215588473006,4.070135216879687,2.342160461678291,1.4231798728611582,1.2209496867842795,1.4078181492666149,1.327390871797014,0.7731848298737193,21.3638172112407
2024-03-19,0.0,4.617710249398122,4.20304186088745,4.070135216879687,2.342160461678291,1.4363193574571804,1.2209496867842795,1.4078181492666149,1.327390871797014,0.7739421488706082,21.399468003019248
2024-03-20,0.0,4.617785981297811,4.20662019314775,4.081495001833021,2.3459470566627356,1.2723976605805787,1.2209496867842795,1.4078181492666149,1.327390871797014,0.7739421488706082,21.254346750240412
2024-03-21,0.0,4.632932361235589,4.21419338311664,4.0826309803283545,2.4216789563516254,1.199467841180178,1.2209496867842795,1.4078181492666149,1.327390871797014,0.7739421488706082,21.281004378930902
2024-03-22,0.0,4.6350149884770335,5.083065468247271,4.0826309803283545,2.4292521463205143,1.2189498723751448,1.2209496867842795,1.4078181492666149,1.3349640617659029,0.7739421488706082,22.186587502435724
2024-03-25,0.0,4.643194033643434,5.101241124172605,4.0826309803283545,2.470904691149404,1.2478605250813786,1.2853218015198358,1.4150126797370592,1.3349640617659029,0.7571296671396747,22.338259564537648
2024-03-26,0.0,4.648495266621656,5.142136350004605,4.0826309803283545,2.470904691149404,1.241006788159534,1.394394670046759,1.4150126797370592,1.3368573592581252,0.7713861972561081,22.502824982561602
