date,HAFOO SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,BOCI SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,0.0,42.827532404511224,57.172467595488776,0.0,0.0
2024-03-15,0.0,46.54049046481424,0.0,0.0,23.006020108300042,30.45348942688572,0.0,0.0
2024-03-18,0.0,46.48129563843384,0.0,0.0,23.031494291992626,30.48721006957354,0.0,0.0
2024-03-20,0.0,45.268078650287976,0.0,0.0,25.008994166892005,29.72292718282002,0.0,0.0
2024-03-21,35.318288846837234,28.197846860157334,0.0,0.0,17.543334506531373,18.51464815663067,0.42588162984339367,0.0
2024-03-22,35.270853451404015,28.159974809731064,0.0,0.0,17.654080657081003,18.48978144634283,0.42530963544108924,0.0
2024-04-02,35.284017164103105,28.08837668468796,0.0,0.0,17.653205118067238,18.496682163139035,0.4777188700026652,0.0
2024-04-08,34.98371655825763,27.893722806869693,0.0,0.0,18.361455633813666,18.33925777367998,0.4218472273790322,0.0
2024-04-09,35.00962658265319,27.840318663886894,0.0,0.0,18.375054696755356,18.352840396198694,0.4221596605058667,0.0
2024-04-17,34.985550724904115,27.850632184437647,0.0,0.0,18.38186178494009,18.35963925503634,0.4223160506818159,0.0
2024-04-23,35.08432855875582,27.929265364752894,0.0,0.0,18.151421996831953,18.411475666307133,0.4235084133521987,0.0
2024-04-29,35.086935508297316,27.931340655588656,0.0,0.0,18.14534021839518,18.41284373547129,0.42353988224755346,0.0
2024-04-30,35.15746988508535,27.98749032148154,0.0,0.0,17.98078987134289,18.449858608356664,0.4243913137335588,0.0
2024-05-08,35.12347352334343,27.960427144059285,0.0,0.0,18.060100320770403,18.432018073489193,0.42398093833769074,0.0
2024-05-09,35.092150569813164,27.93549216262763,0.0,0.0,18.133173949670503,18.415580483818534,0.42360283407017163,0.0
2024-05-14,35.0817219965768,27.92719038228128,0.0,0.0,18.157502871586978,18.41010780042219,0.4234769491327568,0.0
2024-05-16,35.13131300073874,27.661631032771417,0.0,0.0,18.34684833964882,18.436132056946466,0.42407556989455913,0.0
2024-05-17,35.141771082562556,27.640096950579697,0.0,0.0,18.35230993002949,18.441620225793507,0.4242018110347449,0.0
2024-06-04,35.1679435480774,27.66068240947892,0.0,0.0,18.365978142642707,18.380878156844503,0.42451774295646166,0.0
2024-06-07,35.1679435480774,27.47449041695416,0.0,0.0,18.552170135167472,18.380878156844503,0.42451774295646166,0.0
2024-06-11,35.19415502747657,27.42043548201743,0.0,0.0,18.565997495435013,18.39457784925012,0.4248341458208734,0.0
2024-06-18,35.233545588646024,27.33920182905528,0.0,0.0,18.586777226030758,18.41516572082685,0.42530963544108924,0.0
2024-06-21,35.10519500849402,27.239609172198666,0.0,0.0,18.608281047492703,18.34808200375056,0.6988327680640487,0.0
2024-06-24,35.09736718181548,27.233535229600154,0.0,0.0,18.626429935965607,18.34399071168469,0.6986769409340651,0.0
2024-06-25,35.076510033960865,27.21735128429323,0.0,0.0,18.637645843966077,18.33308951432321,0.7354033234566129,0.0
2024-07-04,35.050473433302706,27.197148381961274,0.0,0.0,18.698039512598374,18.319481224044257,0.7348574480933858,0.0
2024-07-15,35.060883433839315,27.205225942733424,0.0,0.0,18.673892807307467,18.3249221151562,0.7350757009635942,0.0
2024-07-16,35.086935508297316,27.22544085184273,0.0,0.0,18.613463246142476,18.338538492971722,0.7356219007457506,0.0
2024-07-17,35.06869499309808,27.211287262751245,0.0,0.0,18.65577336354561,18.329004904892084,0.7352394757129839,0.0
2024-07-22,35.03227079937909,27.183024186557596,0.0,0.0,18.740261761802536,18.309967434992977,0.7344758172677954,0.0
2024-08-02,34.95447317739686,27.122657713253307,0.0,0.0,18.920718644944174,18.269305728157814,0.7328447362478377,0.0
2024-08-08,34.92345079305105,27.098586129974382,0.0,0.0,18.903926350495233,18.341842396002402,0.7321943304769281,0.0
2024-08-15,34.82814413869376,27.024633656114766,0.0,0.0,19.125238829231872,18.291787215491443,0.7301961604681664,0.0
2024-08-28,34.75380718914187,26.9669524652723,0.0,0.0,18.893058673131545,18.657544037612052,0.7286376348422373,0.0
2024-09-10,34.787091370124344,26.992779072455658,0.0,0.0,18.81538148227395,18.67541261440011,0.7293354607459361,0.0
2024-09-11,34.87959655785583,27.06455776958571,0.0,0.0,18.865414995502704,18.72507392501321,0.46535675204254906,0.0
2024-09-16,34.8821731697305,27.066557071980636,0.0,0.0,18.85942145326598,18.726457176328896,0.4653911286939902,0.0
2024-09-23,34.94671241550509,27.11663580906621,0.0,0.0,18.7092945756876,18.76110500105901,0.4662521986820882,0.0
2024-09-25,34.94929895320022,27.118642813326048,0.0,0.0,18.703277944671104,18.762493581040747,0.4662867077618834,0.0
2024-09-26,34.95188587380247,27.12065011469975,0.0,0.0,18.697260422961676,18.76388236658575,0.46632122195035053,0.0
2024-09-27,34.936370092095935,27.14560395338839,0.0,0.0,18.69635900523643,18.755552735852287,0.46611421342694703,0.0
2024-09-30,34.93895509901244,27.147612507047146,0.0,0.0,18.690343197819868,18.75694049403716,0.4661487020833933,0.0
2024-10-02,34.94412626063206,27.151630506196323,0.0,0.0,18.678308911866864,18.759716626594916,0.46621769470983054,0.0
2024-10-03,34.87186900561863,27.095486527237345,0.0,0.0,18.84646541769139,18.720925396899908,0.46525365255272627,0.0
2024-10-04,34.805040041781524,26.822435559517782,0.0,0.0,19.223114025617583,18.68504833948882,0.4643620335942898,0.0
2024-10-07,30.244026202362367,23.307499227106447,0.0,0.0,17.26766087284391,15.916227025706661,0.44834431049668905,12.816242361483926
2024-10-08,30.466480479930947,23.478933177989983,0.0,0.0,17.001096159385437,14.846122538303982,1.2968578095015078,12.910509834888146
2024-10-09,30.494025246447155,23.500160498056164,0.0,0.0,16.945430378373008,14.833713479427127,1.3044881617497512,12.922182235946794
2024-10-15,30.157106983766006,23.240515102482952,0.0,0.0,16.78375204433229,14.669820751779412,2.369395741418295,12.779409376221047
2024-10-16,30.147480122443014,23.233096180764534,0.0,0.0,16.810316637524874,14.665137798269098,2.368639374296137,12.775329886702345
2024-10-17,30.16481290066385,23.20173664871053,0.0,0.0,16.871086588448374,14.673569268494902,2.3061197495001378,12.782674844182203
2024-10-18,30.122479023567912,23.16917488640378,0.0,0.0,16.987751300245947,14.652976099890914,2.3028832968039,12.764735393087548
2024-10-21,30.04772390837878,23.111675822793675,0.0,0.0,17.002862829984775,14.61661173176059,2.4880686251961253,12.733057081886054
2024-10-23,30.045811989142752,23.110205240272442,0.0,0.0,17.00814388966086,14.615681685237908,2.4879103108332945,12.73224688485274
2024-10-24,30.043900313199867,23.10873484488393,0.0,0.0,17.01342427731818,14.614751757064335,2.487752016616084,12.731436790917606
2024-10-29,30.034345581257725,23.101385673682355,0.0,0.0,17.039816139811407,14.610103890642733,2.4869608475797906,12.727387867025989
2024-10-30,30.061114159142072,23.020116221825017,0.0,0.0,17.067735506281213,14.623125373093115,2.4891773901364993,12.738731349522084
2024-10-31,30.07260101927298,23.028912597562705,0.0,0.0,17.03604568542042,14.628713116612808,2.4901285469156575,12.743599034215425
2024-11-01,30.0745163494954,23.03037931380249,0.0,0.0,17.03076169389045,14.629644822398063,2.4902871437214533,12.74441067669214
2024-11-05,21.65955628011455,16.586394643984377,14.214943861091697,13.792944882317759,12.237970384444223,10.536216499924988,1.7934956597892397,9.178477788333167
2024-11-08,21.660549837713596,16.58715548775357,14.215595922718007,13.793577586193303,12.233944603384614,10.536699812594616,1.7935779302299906,9.178898819412304
2024-11-11,21.68442259585029,16.52736910683295,14.231263368178748,13.808779912266376,12.164768203389965,10.54831263350958,1.8460690138779787,9.189015166094118
2024-11-13,21.726326788490187,16.559307520494745,14.258764658519926,13.83546477191656,12.054844596748051,10.508882669179549,1.8496364610277543,9.206772533623225
2024-11-14,21.72732648140712,16.560069463486705,14.25942074669222,13.836101382802035,12.050797978569515,10.440346752624272,1.9187410298066008,9.207196164611531
2024-11-18,21.713339146970295,16.549408638277445,14.250241003062463,13.827194158182907,12.04304007325608,10.498002296351155,1.9175058077692955,9.201268876130362
2024-11-20,21.69355888574108,16.54484391391866,14.246310444355077,13.823380285955377,12.035121246634912,10.495106695194147,1.9629475830072982,9.198730945193452
2024-11-22,21.69355888574108,16.54484391391866,14.246310444355077,13.80499201819887,12.035121246634912,10.495106695194147,1.981335850763807,9.198730945193452
2024-11-25,21.674627340315904,16.530405551556886,14.233877967289466,13.792944671110122,12.03380454156128,10.485947820424519,2.057688715503608,9.190703392238213
