date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,CMB WING LUNG BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
2024-03-01,23.7352328272762,9.763475708058921,8.643144430300557,5.318811374763626,1.206812390637092,0.9739855584351463,1.1653240827279754,1.707271265299707,0.0
2024-03-04,23.762938467283146,9.740348336262999,8.733956325432935,5.317016546571893,1.2064571901241825,0.976649562281968,1.1644360814457018,1.7054952627351592,4.2696779974150285
2024-03-05,23.79508411370146,9.721611509207019,8.683837533061398,5.315133983853473,1.211607597561371,0.9839311727966136,1.164791281958611,1.7117112717110763,4.243037958946813
2024-03-06,23.80804893242266,9.727121201963016,8.635233848477677,5.302923966222208,1.2158700037162855,0.9686534659356048,1.1665672845231587,1.7053176624787045,4.2382427520225345
2024-03-07,23.785138499339993,9.737066816324482,8.63025216128412,5.302755245978575,1.2171132055114688,0.9649238605500546,1.1667448847796136,0.0,4.220482726377057
2024-03-08,23.696871171881973,9.753006439341299,8.65743352533401,5.319272069828869,1.2178236065372878,0.9663446626016928,1.1664784843949314,1.7099352691465286,0.0
2024-03-11,23.701133578036888,9.644203194229412,8.568367973523355,5.310056037320917,1.2187116078195617,0.9724748018536138,0.0,0.0,4.218173923043144
2024-03-12,23.686037556238233,9.620039880137588,8.631096384103179,5.29430289457338,1.224572416282569,0.9682123956986994,1.1663008841384765,0.0,4.220660326633512
2024-03-13,23.66632392777175,9.607431327530836,8.642107600003374,5.295368496112109,1.2219084124357475,0.9661220406802267,1.1595520743931953,0.0,4.216753120991506
2024-03-14,23.61286625057887,9.661307786128443,8.543184789958836,5.285778082263551,1.2149820024340114,0.9662996409366815,1.1579536720851025,1.7090472678642548,4.21355631637532
2024-03-15,23.584805410059012,9.714232662551964,8.4813887807254,5.286888083866393,1.2158700037162855,0.9750020535029652,1.157598471572193,0.0,4.202367500218671
2024-03-18,23.511101303630284,9.69382648188544,8.471883881400325,5.287867638080869,1.2176460062808332,0.9753572540158748,1.158308872598012,1.702831258888338,4.2005914976541225
2024-03-19,23.501510889781727,9.756169499908758,8.46748569984935,5.284540208476061,0.0,0.9886772732499824,1.1590192736238312,1.7117112717110763,0.0
2024-03-20,23.46190603259231,9.743022463324436,8.546185257491512,5.287714369059549,1.2167580049985594,0.9970244853033567,1.1574208713157381,1.7163288783789006,0.0
2024-03-21,23.437574797458005,9.794225061260988,8.534298028326353,5.283283242661002,1.2180012067937425,0.9844148670950681,1.1556448687511907,0.0,0.0
2024-03-22,23.385715522573214,9.892787520385179,8.490581902800267,5.297926383805699,1.2187116078195617,0.9739098119257683,0.0,0.0,0.0
2024-03-25,23.352149074103263,9.902111533849055,8.572859572809223,0.0,1.212140398330735,0.9833226255178712,1.1551120679818263,1.71668407889181,4.210892312528499
2024-03-26,23.33421144820133,9.899635786274075,8.566057482987006,5.294250058497084,1.2135612003823733,0.9763962155161352,0.0,0.0,0.0
2024-03-27,23.30472980562984,9.924018614282879,8.552581708327986,5.308102878500557,1.2130283996130091,0.9682266037192158,0.0,0.0,0.0
2024-03-28,23.30668340845084,9.761516777230227,8.586340320275422,5.295457740240977,1.208410792945185,0.0,1.1547568674689166,0.0,0.0
2024-04-02,23.29016658460055,9.773610377893386,8.561831484884665,5.3009633481910745,1.2080555924322756,0.9701802065402183,1.1503168610575474,1.7152632768401719,4.20645230611713
2024-04-03,23.288390582036005,9.713956849353691,8.576194905625444,5.332753794096479,1.2011291824305395,1.0026810534714412,1.1501392608010925,0.0,0.0
2024-04-05,23.42247877565935,9.781050851837431,8.645102739528356,5.309132959987995,1.2380700357731316,1.0315513959602158,1.1510272620833664,1.701943257606064,4.2155099191963235
