date,THE HONGKONG AND SHANGHAI BANKING,YUANTA SECURITIES (HONG KONG) CO LTD,SINOPAC SECURITIES (ASIA) LTD,BANK OF CHINA (HONG KONG) LTD,FUBON SECURITIES (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-05,92.62161938935641,0.0,0.0,0.0,0.0,0.0,7.37838061064359,0.0
2024-03-07,73.3902924910282,0.0,0.0,21.517904018065835,0.0,0.0,5.091803490905953,0.0
2024-03-08,73.09546283153321,0.0,0.0,21.5582151066022,0.0,0.0,5.346322061864584,0.0
2024-03-11,73.0638760650212,0.0,0.0,21.54889914798303,0.0,0.0,5.387224786995757,0.0
2024-03-14,72.99027966644363,0.0,0.0,21.527193190730067,0.0,0.0,5.482527142826307,0.0
2024-03-18,72.96149999640255,0.0,0.0,21.527193190730067,0.0,0.0,5.5113068128673905,0.0
2024-03-19,61.923248304614006,0.0,0.0,18.507327851941376,0.0,14.93038388055693,4.63903996288768,0.0
2024-03-20,61.924422972386964,0.0,0.0,18.5186316245946,0.0,14.939502953086539,4.6174424499318985,0.0
2024-03-22,61.929073509743695,0.0,0.0,18.516369765552955,0.0,14.937678247540411,4.61687847716294,0.0
2024-03-26,61.60954454793317,0.0,0.0,18.67676749193337,0.0,14.919455677749516,4.794232282383941,0.0
2024-03-27,37.587216766458155,35.910049976370075,0.0,11.394463526180845,0.0,9.102174325616703,6.006095405374228,0.0
2024-03-28,37.57792524387112,35.91539598119745,0.0,11.396159843982032,0.0,9.103529385493157,6.006989545456237,0.0
2024-04-03,37.57327844506396,35.91806958055883,0.0,11.397008192297529,0.0,9.104207066740612,6.007436715339063,0.0
2024-04-08,37.61904229425951,35.96894370580759,0.0,11.413150842195112,0.0,9.1171022077104,5.881760950027396,0.0
2024-04-15,37.63587615180093,35.985039173350934,0.0,11.418258025782443,0.0,9.121181950053511,5.839644699012183,0.0
2024-04-18,37.63868325955539,35.987723151853274,0.0,11.404192476514748,0.0,9.121862262117421,5.8475388499591645,0.0
2024-04-22,37.61623811529331,35.96626252762694,0.0,11.397391793728826,0.0,9.116422605448236,5.903684957902701,0.0
2024-04-24,37.61343435435122,35.96358174913445,0.0,11.396542278637632,0.0,9.115743104495634,5.910698513381061,0.0
2024-04-30,37.60598076227886,35.96358174913445,0.0,11.396542278637632,0.0,9.115743104495634,5.91815210545342,0.0
2024-05-03,37.61343435435122,35.96358174913445,0.0,11.396542278637632,0.0,9.115743104495634,5.910698513381061,0.0
2024-05-06,37.579821794933856,35.93144355039897,0.0,11.386357966540936,0.0,9.107596986971593,5.994779701154647,0.0
2024-05-08,37.57702345981004,35.928767959729996,0.0,11.38551009542532,0.0,9.106918800984412,6.001779684050233,0.0
2024-05-10,37.43208209860288,35.790184217455966,0.0,11.341594128184491,0.0,9.071791771595574,6.364347784161081,0.0
2024-05-20,37.546186782132075,35.83537266930821,0.0,11.222227586181287,0.0,9.083245756386308,6.312967205992121,0.0
2024-05-22,37.60763556967346,35.8940215066562,0.0,11.240594092550783,0.0,9.0981115653141,6.159637265805458,0.0
2024-05-23,37.577878867906286,35.8940215066562,0.0,11.240594092550783,0.0,9.0981115653141,6.189393967572634,0.0
2024-05-24,37.34977473197018,35.96090137024077,0.0,11.26153823221426,0.0,9.11506370482994,6.312721960744856,0.0
2024-05-27,35.53398333729389,34.22629075677344,0.0,10.718326493986458,0.0,8.675389346224645,6.142998506811564,4.703011558910008
2024-05-28,35.52735670676548,34.23357586550639,0.0,10.720607903166872,0.0,8.677235913681724,6.137211010085601,4.704012600793935
2024-06-05,35.513166623505164,34.23357586550639,0.0,10.720607903166872,0.0,8.677235913681724,6.151401093345915,4.704012600793935
2024-06-07,34.27893085273105,34.766380729697694,0.0,10.865845003188419,0.0,8.812286763195914,6.110236447416299,5.1663202037706215
2024-06-11,34.28140098794078,34.76888599048089,0.0,10.859422007804085,0.0,8.812921775411011,6.110676750244102,5.166692488119129
2024-06-12,34.26164986838646,34.74885400800124,0.0,10.910780066761012,0.0,8.807844238712024,6.10715610337514,5.163715714764122
2024-06-27,34.24685145792166,34.73384516263718,0.0,10.906067444848773,0.0,8.804039924125446,6.147710625677131,5.161485384789815
2024-07-04,34.2172929545757,34.70386633437265,0.0,10.896654403435143,0.0,8.796441145479326,6.22871466229362,5.157030499843563
2024-07-17,34.219754214215584,34.7063625933745,0.0,10.818314889209377,0.0,8.79707387599938,6.301092980683122,5.157401446518035
2024-07-22,34.92937395680227,34.321872542146075,0.0,10.70512158925502,0.0,8.705029058283834,6.235163904379918,5.103438949132879
2024-08-06,34.95176402297663,34.2797722279003,0.0,10.711983675620623,0.0,8.710609066013312,6.239160704683288,5.106710302805842
2024-08-09,31.92170262680611,30.67635237005422,0.0,9.587953857972058,9.766452998944942,7.796587478922758,5.680097664529989,4.570853002769924
2024-08-13,31.724122644526563,30.47430867586849,0.0,9.714794162257329,9.702128198551648,7.745236806023932,6.0986615242854025,4.540747988486639
2024-08-15,31.738192462309968,30.443473660534675,0.0,9.719102725340312,9.706431144212097,7.7486718599029984,6.101366313235149,4.5427618344648
2024-08-19,31.729541515776532,30.447331818887484,0.0,9.720334445405495,9.707661258384105,7.7496538635794785,6.102139550798886,4.543337547168018
2024-08-20,31.685370506886194,30.404945786811023,0.0,9.706802671585454,9.694147127033192,7.738865493708611,6.232855691989356,4.537012721986161
2024-09-02,31.699411572926657,30.36777483405977,0.0,9.711104147477107,9.698442994742457,7.742294897238919,6.241948298182808,4.539023255372285
2024-09-17,31.707440627898954,30.350137883215606,0.0,9.713563845786092,9.700899486143607,7.744255921379656,6.243529303745167,4.540172931830918
2024-09-25,31.705432982869375,30.34821617959458,0.0,9.712948804401853,9.706617025520234,7.743765572218687,6.243133977275246,4.539885458120032
2024-09-27,31.709448527200017,30.345727249411862,0.0,9.714178965066319,9.707846384254673,7.744746332644137,6.237592099472179,4.540460441950815
2024-09-30,31.709448527200017,30.326729506976918,0.0,9.714178965066319,9.720511545877965,7.744746332644137,6.243924680283826,4.540460441950815
