date,STANDARD CHARTERED BANK (HONG KONG) LTD,YUANTA SECURITIES (HONG KONG) CO LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,REALINK FINANCIAL TRADE LTD
2024-03-05,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,61.775435751925414,38.224564248074586,0.0
2024-03-08,0.0,0.0,0.0,0.0,61.759935117599355,38.240064882400645,0.0
2024-03-20,0.0,0.0,0.0,0.0,61.566410981025435,38.433589018974565,0.0
2024-03-25,0.0,0.0,0.0,0.0,61.898989898989896,38.101010101010104,0.0
2024-04-29,0.0,0.0,0.0,0.0,61.91437802907917,38.08562197092084,0.0
2024-05-02,0.0,0.0,0.0,38.3735389206665,38.174583436955984,23.451877642377518,0.0
2024-05-08,0.0,0.0,0.0,38.85671115588013,37.396121883656505,23.74716696046336,0.0
2024-05-13,0.0,0.0,0.0,38.84692849949648,37.41188318227593,23.741188318227593,0.0
2024-05-14,0.0,0.0,0.0,38.67542972699697,37.51263902932255,23.811931243680483,0.0
2024-05-16,0.0,0.0,0.0,38.62660944206009,37.591517293612725,23.781873264327192,0.0
2024-05-17,0.0,0.0,0.0,38.564569118018696,37.62951731109426,23.805913570887036,0.0
2024-05-20,0.0,0.0,0.0,38.60359220844928,37.56640526182646,23.830002529724258,0.0
2024-05-22,0.0,0.0,0.0,38.457661290322584,37.525201612903224,24.017137096774192,0.0
2024-05-23,0.0,0.0,0.0,38.486759142496844,37.55359394703657,23.959646910466585,0.0
2024-05-27,0.0,0.0,0.0,38.515901060070675,37.78394750126199,23.700151438667337,0.0
2024-05-30,0.0,0.0,0.0,32.48190719455087,32.73733503618561,19.987228607918265,14.793529161345253
2024-06-05,0.0,0.0,0.0,32.47499467971909,32.75164928708236,19.982975101085337,14.790380932113214
2024-06-06,0.0,0.0,0.0,32.46808510638298,32.76595744680851,19.97872340425532,14.787234042553191
2024-06-07,0.0,0.0,0.0,32.461178472665395,32.780259519251224,19.974473516273132,14.784088491810255
2024-06-13,0.0,0.0,72.42976951498446,8.949621723066095,9.037593103043811,5.507008386604891,4.076007272300744
2024-06-21,0.0,38.70740719019412,33.72236232479033,8.949621723066095,9.037593103043811,5.507008386604891,4.076007272300744
2024-07-16,0.0,38.702867530639764,33.718407318360406,8.948572098750953,9.04826130299654,5.506362516859204,4.075529232393127
2024-08-20,59.93214333545581,15.507409487245155,13.510243113887825,3.5855010420509252,3.6254443695180725,2.2062814406853337,1.6329772111568763
2024-09-02,59.93543430299356,15.507045132549994,13.509925683660978,3.585416798828983,3.6230096355139527,2.206229602949158,1.6329388435033705
2024-09-23,59.95656496569619,15.512512251359107,13.514688703835587,3.586680862965758,3.5890312436099023,2.207007424852455,1.633514547680997
2024-09-30,59.9115042169368,15.50085372126177,13.504531651099269,3.6544436954974717,3.5910311120923097,2.2053487339795153,1.6322868691328682
2024-10-02,59.890405298485916,15.495394815616539,13.499775786332593,3.688373523535392,3.5897664656178314,2.2045720805854443,1.6317120298262873
2024-10-03,60.21130001911897,15.578419640138504,13.57210801981764,3.826154278282503,2.728583803636381,2.442979443567175,1.6404547954388276
2024-10-04,60.31807960502514,15.606046633704803,13.596176991485246,3.8329396353387106,2.435489095866053,2.5679040370005177,1.6433640015795212
2024-10-07,60.31807960502514,15.606046633704803,13.596176991485246,4.043384809641699,2.435489095866053,2.357458862697529,1.6433640015795212
2024-10-08,60.15876122848929,15.564826322479618,13.560265356705727,4.2025031070694965,2.32764902731627,2.5847044923390396,1.6012904656005547
2024-10-09,60.20703669874178,15.577316594798592,13.571147033347259,4.20351528111156,2.251630307793615,2.5867786345301904,1.6025754496770066
2024-10-25,60.20561572611004,15.576948947729896,13.570826734764681,4.203416072107113,2.2515771660809576,2.5890777266151055,1.6025376265922118
2024-11-06,60.204194820550704,15.576581318014787,13.570506451300762,4.203316867785506,2.2633244672691184,2.5795762697863887,1.6024998052927335
2024-11-11,60.204194820550704,15.576581318014787,13.570506451300762,4.203316867785506,2.2704047315045797,2.5724960055509274,1.6024998052927335
2024-11-13,60.2838689552006,15.597195340692375,13.588465637724417,4.208879530571685,2.1410695422223167,2.5759004426294982,1.6046205509591092
2024-12-09,60.2838689552006,15.597195340692375,13.588465637724417,4.208879530571685,2.1576120221291117,2.559357962722703,1.6046205509591092
2024-12-13,60.068099455345646,15.541369477221298,13.53982946879128,4.193815005898656,2.430105045529148,2.5501974460349492,1.676584101179025
2024-12-16,60.06951394399794,15.541735446695379,13.540148305833096,4.193913762206738,2.430162269846914,2.5479026898976365,1.6766235815222894
2025-01-02,60.06385638905306,15.54027167220387,13.538873047753372,4.1935187648780445,2.4393517352126075,2.5476627195946344,1.6764656713044175
2025-01-03,60.06244216682796,15.539905771662276,13.538554270766376,4.19342002717129,2.441648831092997,2.5476027340816034,1.676426198397506
2025-01-07,60.017222192159196,15.52820604517767,13.52836132723812,4.190262873706277,2.4915712427035075,2.5456846880124604,1.6986916310027693
2025-01-13,60.018162868227456,15.527840712586727,13.528043045056618,4.190164289260146,2.4915126234286884,2.545624795608915,1.698651665831457
2025-01-14,60.027101864900025,15.527110098973566,13.527406525620908,4.1899671342836236,2.4843376158357704,2.545505019255969,1.6985717411301382
2025-01-24,60.024277611666434,15.526379554110608,13.526770066081212,4.1897699978592415,2.488925692158943,2.545385254173891,1.6984918239496758
2025-02-06,60.025689705062426,15.526744817948918,13.527088288364586,4.1898685637525785,2.486631707965455,2.5454451353061707,1.6985317815998664
2025-02-25,60.024277611666434,15.526379554110608,13.526770066081212,4.1897699978592415,2.488925692158943,2.545385254173891,1.6984918239496758
2025-02-28,60.01298325583364,15.52345806196682,13.52422482671352,4.188981637630744,2.5096257200179695,2.5425542674221417,1.6981722304151583
2025-03-27,60.01298325583364,15.52345806196682,13.52422482671352,4.188981637630744,2.5119777591182677,2.5402022283218435,1.6981722304151583
2025-04-01,59.95375755140595,15.508138248003329,13.51087801909381,4.184847609044534,2.6128863229969244,2.537695349673272,1.691796899782181
2025-04-02,59.95939305781084,15.509595975024851,13.512148008544377,4.185240974472615,2.6037321727768994,2.5379338868222483,1.6919559245481657
2025-04-10,59.96080209995465,15.509960449600854,13.512465543212866,4.185339327384715,2.601443366319416,2.537993528116503,1.6919956854110023
