date,217,427,1077,243,454,Others
2023-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2023-06-07,0.0,0.0,100.0,0.0,0.0,0.0
2023-07-10,100.0,0.0,0.0,0.0,0.0,0.0
2023-07-14,100.0,0.0,0.0,0.0,0.0,0.0
2023-07-20,66.71979598342365,0.0,33.28020401657635,0.0,0.0,0.0
2023-07-21,100.0,0.0,0.0,0.0,0.0,0.0
2023-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2023-07-26,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-14,100.0,0.0,0.0,0.0,0.0,0.0
2023-10-03,36.124213836477985,0.0,63.87578616352201,0.0,0.0,0.0
2023-10-05,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-20,100.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,100.0,0.0,0.0,0.0,0.0,0.0
2023-11-02,100.0,0.0,0.0,0.0,0.0,0.0
2023-11-09,100.0,0.0,0.0,0.0,0.0,0.0
2023-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2023-12-15,100.0,0.0,0.0,0.0,0.0,0.0
2024-01-09,51.63654127992183,0.0,48.363458720078164,0.0,0.0,0.0
2024-01-11,83.5857352222765,0.0,16.414264777723496,0.0,0.0,0.0
2024-01-23,100.0,0.0,0.0,0.0,0.0,0.0
2024-01-24,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-25,75.3883495145631,0.0,24.611650485436893,0.0,0.0,0.0
2024-03-11,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,100.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,2.877070619006103,0.0,97.1229293809939,0.0,0.0,0.0
2024-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,100.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,100.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,100.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,100.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,100.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,100.0,0.0,0.0,0.0,0.0,0.0
2024-06-03,100.0,0.0,0.0,0.0,0.0,0.0
2024-07-04,99.96666666666667,0.0,0.0,0.0,0.03333333333333333,0.0
2024-07-05,100.0,0.0,0.0,0.0,0.0,0.0
2024-07-08,100.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,100.0,0.0,0.0,0.0,0.0,0.0
2024-07-22,98.74983196666219,0.0,1.2501680333378142,0.0,0.0,0.0
2024-07-23,100.0,0.0,0.0,0.0,0.0,0.0
2024-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2024-07-31,100.0,0.0,0.0,0.0,0.0,0.0
2024-08-02,0.0,0.0,100.0,0.0,0.0,0.0
2024-08-06,100.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,57.0578905630452,0.0,42.942109436954794,0.0,0.0,0.0
2024-08-23,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-03,100.0,0.0,0.0,0.0,0.0,0.0
2024-09-09,100.0,0.0,0.0,0.0,0.0,0.0
2024-09-10,100.0,0.0,0.0,0.0,0.0,0.0
2024-09-24,100.0,0.0,0.0,0.0,0.0,0.0
2024-09-26,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,100.0,0.0,0.0,0.0,0.0,0.0
2024-10-02,34.499500214193915,0.0,65.50049978580608,0.0,0.0,0.0
2024-10-03,42.33899757246894,0.0,57.66100242753106,0.0,0.0,0.0
2024-10-04,25.127405096203848,0.0,74.87259490379616,0.0,0.0,0.0
2024-10-08,100.0,0.0,0.0,0.0,0.0,0.0
2024-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2024-11-05,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-13,100.0,0.0,0.0,0.0,0.0,0.0
2024-11-14,0.0,0.0,100.0,0.0,0.0,0.0
2024-11-18,100.0,0.0,0.0,0.0,0.0,0.0
2024-11-25,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-26,0.0,100.0,0.0,0.0,0.0,0.0
2024-11-28,43.63636363636363,56.36363636363636,0.0,0.0,0.0,0.0
2024-12-04,49.09090909090909,50.90909090909091,0.0,0.0,0.0,0.0
2024-12-05,54.54545454545454,45.45454545454545,0.0,0.0,0.0,0.0
2024-12-06,0.0,100.0,0.0,0.0,0.0,0.0
2024-12-10,63.74999999999999,36.25,0.0,0.0,0.0,0.0
2024-12-11,60.0,40.0,0.0,0.0,0.0,0.0
2024-12-12,13.684210526315791,86.31578947368422,0.0,0.0,0.0,0.0
2024-12-17,25.423728813559322,74.57627118644068,0.0,0.0,0.0,0.0
2024-12-18,5.084745762711865,94.91525423728814,0.0,0.0,0.0,0.0
2024-12-19,6.7669172932330826,93.23308270676691,0.0,0.0,0.0,0.0
2024-12-20,20.0,80.0,0.0,0.0,0.0,0.0
2024-12-27,0.0,100.0,0.0,0.0,0.0,0.0
2024-12-30,57.8125,42.1875,0.0,0.0,0.0,0.0
2024-12-31,0.0,100.0,0.0,0.0,0.0,0.0
2025-01-02,54.347826086956516,45.65217391304348,0.0,0.0,0.0,0.0
2025-01-03,0.0,0.0,100.0,0.0,0.0,0.0
2025-01-07,0.0,100.0,0.0,0.0,0.0,0.0
2025-01-10,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,0.0,100.0,0.0,0.0,0.0,0.0
2025-01-24,0.0,100.0,0.0,0.0,0.0,0.0
2025-02-04,0.0,100.0,0.0,0.0,0.0,0.0
2025-02-06,50.0,50.0,0.0,0.0,0.0,0.0
2025-02-14,0.0,100.0,0.0,0.0,0.0,0.0
2025-02-17,0.0,100.0,0.0,0.0,0.0,0.0
2025-02-25,0.0,100.0,0.0,0.0,0.0,0.0
2025-02-26,21.052631578947366,78.94736842105263,0.0,0.0,0.0,0.0
2025-02-28,47.368421052631575,52.63157894736842,0.0,0.0,0.0,0.0
2025-03-07,0.0,100.0,0.0,0.0,0.0,0.0
2025-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2025-03-17,100.0,0.0,0.0,0.0,0.0,0.0
2025-03-18,0.0,0.0,0.0,100.0,0.0,0.0
2025-03-19,0.0,0.0,0.0,100.0,0.0,0.0
2025-04-09,84.76190476190476,15.238095238095239,0.0,0.0,0.0,0.0
2025-04-10,94.04761904761905,5.952380952380952,0.0,0.0,0.0,0.0
