date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CHINA MERCHANTS SECURITIES (HK) CO LTD,FUTU SECURITIES INTERNATIONAL,SOCIETE GENERALE,ICBC (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,19.844,13.94,0.0,7.661999999999999,0.0,0.0,2.862501,0.0,1.772,7.712,53.792501
2024-03-04,18.994,15.766,11.096300000000001,7.41,5.157362,4.0120000000000005,2.7885009999999997,0.0,1.756,7.59,74.570163
2024-03-05,20.272000000000002,15.845999999999998,11.3063,7.5120000000000005,4.526084,4.0120000000000005,2.600501,0.0,1.568,7.55,75.192885
2024-03-06,19.544,15.948,11.3763,7.808,4.526084,3.9919999999999995,2.542501,0.0,1.568,7.506,74.810885
2024-03-07,19.811999999999998,15.628,11.3863,7.886,4.526084,3.984,2.556501,0.0,1.568,7.506,74.852885
2024-03-08,19.644000000000002,15.204,11.3863,7.872,4.680084,3.984,2.680501,0.0,1.568,7.536,74.554885
2024-03-11,19.576,15.484,11.3863,7.838000000000001,4.680084,3.9960000000000004,2.6705010000000002,0.0,1.5779999999999998,7.566000000000001,74.774885
2024-03-12,19.434,14.932,11.3863,8.018,4.554084,3.9960000000000004,2.732501,0.0,1.5779999999999998,7.588,74.218885
2024-03-13,19.248,15.014,11.3963,8.032,4.576084,3.9960000000000004,2.680501,0.0,1.568,7.562,74.072885
2024-03-14,19.21,15.120000000000001,11.3963,8.022,4.544084000000001,3.9960000000000004,2.6425009999999998,0.0,1.568,7.5600000000000005,74.058885
2024-03-15,19.46,15.010000000000002,11.414299999999999,8.048,4.544084000000001,3.9960000000000004,2.6865010000000002,0.0,1.568,7.57,74.296885
2024-03-18,19.358,15.206,11.414299999999999,8.084,5.1558779999999995,3.9960000000000004,2.724001,0.0,1.568,6.116,73.622179
2024-03-19,19.438,15.014,11.414299999999999,8.088,5.5324230000000005,3.9960000000000004,2.726001,0.0,1.568,6.116,73.892724
2024-03-20,19.476,15.028,11.414299999999999,8.048,5.544423,3.9960000000000004,2.718001,0.0,1.568,6.104,73.896724
2024-03-21,19.830000000000002,15.251999999999999,11.414299999999999,8.046000000000001,5.230823,3.9960000000000004,2.752001,0.0,1.568,6.0920000000000005,74.181124
2024-03-22,19.944,15.284,11.4243,8.05,5.218823,3.9960000000000004,2.778001,0.0,1.568,6.106,74.369124
2024-03-25,19.558,15.514,11.4183,7.9,5.258823,4.0120000000000005,2.802001,0.0,1.568,6.106,74.137124
2024-03-26,20.124,15.826,11.4323,7.928,4.994623,4.016,1.794001,0.0,1.5779999999999998,6.212,73.90492400000001
2024-03-27,19.97,15.712000000000002,11.4203,7.994,5.008623,4.016,1.796001,0.0,1.5779999999999998,6.228,73.722924
2024-03-28,19.914,15.418000000000001,11.4203,7.824000000000001,5.010623,4.016,1.810001,0.0,1.5779999999999998,6.3,73.290924
2024-04-02,19.892000000000003,15.451999999999998,11.4203,7.858,5.004623,4.016,1.8220009999999998,0.0,1.5879999999999999,6.336,73.388924
2024-04-03,19.952,15.306000000000001,11.4703,7.858,5.0126230000000005,4.016,1.834001,0.0,1.5879999999999999,6.3420000000000005,73.378924
2024-04-05,19.972,15.216,11.4283,7.861999999999999,5.0126230000000005,4.016,1.834001,0.0,1.5879999999999999,6.351999999999999,73.280924
2024-04-08,20.162,14.988000000000001,11.4283,7.858,5.492018,4.016,1.834001,0.0,1.5879999999999999,6.343999999999999,73.710319
2024-04-09,20.162,14.988000000000001,11.4283,7.856000000000001,5.492018,4.016,1.836001,0.0,1.5879999999999999,6.343999999999999,73.710319
2024-04-10,19.948,15.072,11.4123,7.843999999999999,5.514018,4.018,1.868001,0.0,1.5879999999999999,6.343999999999999,73.608319
2024-04-11,19.881999999999998,15.046000000000001,11.4123,7.858,5.5340180000000005,4.018,1.854001,0.0,1.5879999999999999,6.354,73.54631900000001
2024-04-12,19.954,15.015999999999998,11.4123,7.8420000000000005,5.546018,4.018,1.8560009999999998,0.0,1.5879999999999999,6.36,73.59231899999999
2024-04-15,19.796,15.07,11.4123,7.808,5.542018,4.018,1.868001,0.0,1.5859999999999999,6.36,73.460319
2024-04-16,20.36,15.092,11.4343,7.808,5.540018,4.018,1.854001,0.0,1.5859999999999999,5.726,73.418319
2024-04-17,20.604,15.118,11.4483,7.796,5.524018,4.018,1.870001,0.0,1.5859999999999999,5.398,73.362319
2024-04-18,20.59,14.951999999999998,11.4183,7.815999999999999,5.5180180000000005,4.018,1.918001,0.0,1.5699999999999998,5.394,73.194319
2024-04-19,21.084,15.28,11.404300000000001,7.829999999999999,5.070418,4.018,1.8800009999999998,0.0,1.574,5.394,73.53471900000001
2024-04-22,20.21,15.732,11.4483,7.84,5.060418,4.002,1.876001,0.0,1.574,5.394,73.136719
2024-04-23,20.116,15.814,11.478299999999999,7.824000000000001,5.028417999999999,4.002,1.878001,0.0,1.574,5.4239999999999995,73.138719
2024-04-24,20.078,15.786,11.478299999999999,7.8340000000000005,5.032418000000001,4.002,1.8560009999999998,0.0,1.574,5.4239999999999995,73.064719
2024-04-25,20.258000000000003,15.734,11.478299999999999,7.854,5.0184180000000005,4.002,1.876001,0.0,1.5699999999999998,5.384,73.174719
2024-04-26,20.086000000000002,15.686,11.478299999999999,7.8740000000000006,5.0184180000000005,4.002,1.8460009999999998,0.0,1.5699999999999998,5.384,72.944719
2024-04-29,19.916,15.722,11.478299999999999,7.8839999999999995,5.006418,4.004,1.854001,0.0,1.5699999999999998,5.4239999999999995,72.85871900000001
2024-04-30,19.744,15.21,11.4723,7.8839999999999995,5.008418,4.004,1.824001,0.0,1.582,5.384,72.112719
2024-05-02,21.285999999999998,15.314,11.3023,7.603999999999999,5.030418,4.004,1.862001,0.0,1.5699999999999998,5.386,73.358719
2024-05-03,21.062,15.524,11.282300000000001,7.6,5.044417999999999,4.004,1.826001,0.0,1.5699999999999998,5.382,73.294719
2024-05-06,21.062,15.524,11.282300000000001,7.62,5.044417999999999,4.004,1.818001,0.0,1.5699999999999998,5.382,73.306719
2024-05-07,21.062,15.524,11.282300000000001,7.6160000000000005,5.044417999999999,4.006,1.8140010000000002,0.0,1.5699999999999998,5.382,73.300719
2024-05-08,20.791999999999998,15.564,11.182300000000001,7.648000000000001,5.080418,4.006,1.728001,0.0,1.5699999999999998,5.376,72.946719
2024-05-09,20.714,15.242,11.282300000000001,7.6499999999999995,5.1324179999999995,4.006,1.7460010000000001,0.0,1.5699999999999998,5.376,72.718719
2024-05-10,20.86,15.412,11.3003,7.6499999999999995,5.1324179999999995,4.006,1.7820010000000002,0.0,1.5699999999999998,5.366,73.078719
2024-05-13,20.404,15.36,11.1603,7.630000000000001,5.1804179999999995,4.006,1.744001,0.0,1.5699999999999998,5.366,72.420719
2024-05-14,20.304,15.126000000000001,11.142299999999999,7.678,5.210418,4.006,1.7560010000000001,0.0,1.5699999999999998,5.386,72.178719
2024-05-16,20.29,15.17,11.0423,7.6899999999999995,5.254418,4.006,1.766001,0.0,1.5699999999999998,5.386,72.174719
2024-05-17,20.412,15.264,11.0183,7.68,5.272418,4.006,1.7560010000000001,0.0,1.58,5.328,72.31671899999999
2024-05-20,20.426,15.134,10.8943,7.68,5.786608,4.006,1.804001,0.0,1.58,5.296,72.606909
2024-05-21,20.408,15.028,10.8943,7.725999999999999,5.796608,4.006,1.7820010000000002,0.0,1.58,5.316,72.53690900000001
2024-05-22,20.434,15.162,10.7863,7.725999999999999,5.798608000000001,4.006,1.7900010000000002,0.0,1.58,5.316,72.598909
2024-05-23,20.628,15.334,10.7863,7.686,5.804608,4.006,1.7640010000000002,0.0,1.59,5.3260000000000005,72.924909
2024-05-24,20.398,15.421999999999999,10.756300000000001,7.696,5.804608,4.006,1.768001,0.0,1.59,5.082,72.522909
2024-05-27,20.588,15.292,10.756300000000001,7.7219999999999995,5.8086079999999995,4.006,1.794001,0.0,1.59,5.086,72.642909
2024-05-28,20.662,15.351999999999999,10.756300000000001,7.725999999999999,5.8086079999999995,4.006,1.7880009999999997,0.0,1.59,5.086,72.774909
2024-05-29,20.752000000000002,15.326,10.6563,7.7299999999999995,5.8086079999999995,4.006,1.796001,0.0,1.59,5.096,72.760909
2024-05-30,20.36,15.52,10.6563,7.786,5.8086079999999995,4.006,1.786001,0.0,1.59,5.096,72.608909
2024-05-31,20.404,15.52,10.6563,7.786,5.8086079999999995,4.006,1.7820010000000002,0.0,1.6,5.096,72.65890900000001
2024-06-03,21.634,15.681999999999999,10.7003,7.886,5.393308,4.006,1.7820010000000002,0.0,1.6,5.104,73.787609
2024-06-04,21.3,15.836,10.6903,7.896,5.373308000000001,4.008,1.7720010000000002,0.0,1.6,5.104,73.579609
2024-06-05,21.024,15.43,10.7003,7.91,5.385308,4.008,1.7800010000000002,0.0,1.6,5.104,72.941609
2024-06-06,20.516000000000002,15.451999999999998,10.7003,7.932,5.389308000000001,4.008,1.8220009999999998,0.0,1.6,5.118,72.537609
2024-06-07,20.562,15.462000000000002,10.7003,7.922,5.389308000000001,4.008,1.812001,0.0,1.6,5.108,72.563609
2024-06-11,20.541999999999998,15.17,10.6903,7.942,5.417308,4.008,1.894001,0.0,1.6,5.118,72.381609
2024-06-12,20.872,15.096000000000002,10.6823,7.95,5.391308,4.008,1.8880009999999998,0.0,1.6,5.128,72.615609
2024-06-13,20.828,15.299999999999999,10.6823,7.960000000000001,5.411308,4.008,1.8800009999999998,0.0,1.6,5.118,72.787609
2024-06-14,21.082,15.278,10.6823,7.976,5.355308,4.008,1.8800009999999998,0.0,1.6,5.118,72.979609
2024-06-17,21.076,15.298,10.6823,7.956,5.343308,4.008,1.8800009999999998,0.0,1.6,5.108,72.95160899999999
