date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,KINGSTON SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,SDICS INTERNATIONAL SECURITIES (HONG,THE HONGKONG AND SHANGHAI BANKING,MIB SECURITIES (HONG KONG) LTD,WOCOM SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,19.062894592287332,0.0,0.0,80.93710540771266,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,18.90554655459886,0.0,0.0,81.09445344540114,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,19.096344014173148,0.0,0.0,80.90365598582684,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,18.84750814824691,0.0,0.0,81.1524918517531,0.0,0.0,0.0,0.0
2024-04-12,0.0,0.0,18.869970848260785,0.0,0.0,81.13002915173921,0.0,0.0,0.0,0.0
2024-04-24,0.0,0.0,8.243178760578202,56.75799013276129,0.0,34.9988311066605,0.0,0.0,0.0,0.0
2024-04-29,0.0,0.0,8.157126671836162,56.771916939193424,0.0,35.07095638897042,0.0,0.0,0.0,0.0
2024-05-07,0.0,0.0,8.251663752705158,56.713479620016884,0.0,35.03485662727797,0.0,0.0,0.0,0.0
2024-05-10,0.0,0.0,8.250984310572958,56.70880983115099,0.0,35.04020585827605,0.0,0.0,0.0,0.0
2024-05-17,0.0,0.0,8.345319909327866,56.65050228975775,0.0,35.004177800914384,0.0,0.0,0.0,0.0
2024-05-20,0.0,0.0,8.342060558333758,56.62837685023465,0.0,35.02956259143159,0.0,0.0,0.0,0.0
2024-05-24,0.0,0.0,8.62380727181684,56.45430726974197,0.0,34.921885458441196,0.0,0.0,0.0,0.0
2024-05-27,0.0,0.0,8.717338321727361,56.39652164229065,0.0,34.88614003598199,0.0,0.0,0.0,0.0
2024-05-30,0.0,0.0,8.43616898232224,56.57023450783787,0.0,34.9935965098399,0.0,0.0,0.0,0.0
2024-06-03,0.0,0.0,8.401663849495847,56.33885419056311,0.0,35.25948195994104,0.0,0.0,0.0,0.0
2024-06-04,0.0,0.0,8.427516155645396,56.51221143654919,0.0,35.06027240780542,0.0,0.0,0.0,0.0
2024-06-06,0.0,0.0,8.38451691523862,56.22387236717215,0.0,35.39161071758923,0.0,0.0,0.0,0.0
2024-06-07,0.0,0.0,8.176500311611138,56.35153090892522,0.0,35.471968779463644,0.0,0.0,0.0,0.0
2024-06-11,0.0,0.0,8.082490236281153,56.40922432818811,0.0,35.50828543553074,0.0,0.0,0.0,0.0
2024-06-12,0.0,0.0,8.074223742574786,56.35153090892522,0.0,35.57424534849999,0.0,0.0,0.0,0.0
2024-06-14,0.0,0.0,8.168146211911722,56.29395538278486,0.0,35.53789840530342,0.0,0.0,0.0,0.0
2024-06-19,0.0,0.0,8.727675158865368,55.950957868568594,0.0,35.32136697256604,0.0,0.0,0.0,0.0
2024-06-20,0.0,0.0,8.820267756932717,55.89419756841819,0.0,35.285534674649085,0.0,0.0,0.0,0.0
2024-06-25,0.0,0.0,7.480120726369664,47.40166140497307,0.0,29.924268348137357,0.0,0.0,15.193949520519917,0.0
2024-07-02,0.0,0.0,7.480893048869818,47.39623062626592,0.0,29.927358028984948,0.0,0.0,15.195518295879323,0.0
2024-07-03,0.0,0.0,8.465367139810418,46.89189846615924,0.0,29.60890803999617,0.0,0.0,15.033826354034177,0.0
2024-07-04,0.0,0.0,7.045100814309007,38.63615138651785,0.0,24.39598930395954,0.0,17.535774603907274,12.386983891306324,0.0
2024-07-08,0.0,0.0,6.914522572918819,38.69042545648439,0.0,24.43025952971624,0.0,17.560407954373492,12.404384486507059,0.0
2024-07-22,0.0,0.0,6.880452375852809,38.49978461238144,0.0,24.802617262719185,0.0,17.47388187057586,12.343263878470712,0.0
2024-07-24,0.0,0.0,6.945489414650188,38.472895392562286,0.0,24.7852944897639,0.0,17.46167767111234,12.334643031911293,0.0
2024-07-30,0.0,0.0,7.010435669839294,38.44604370674596,0.0,24.767995897242763,0.0,17.449490507191708,12.32603421898027,0.0
2024-08-08,0.0,0.0,7.011708041119205,38.45302153867289,0.0,24.754341533112107,0.0,17.45265753298241,12.328271354113385,0.0
2024-08-19,0.0,0.0,7.012687102586616,38.444427587713484,0.0,24.757798040685454,0.0,17.455094489055632,12.329992779958816,0.0
2024-08-21,0.0,0.0,7.400583404720974,38.28405677115491,0.0,24.654520959009098,0.0,17.382280613756535,12.278558251358492,0.0
2024-08-22,0.0,0.0,6.909105196016029,38.2574582920396,0.0,25.332158297955537,0.0,17.37020398795261,12.131074226036228,0.0
2024-08-30,0.0,0.0,6.973736724897315,38.230896746727,0.0,25.31457058302265,0.0,17.35814413136744,12.122651813985597,0.0
2024-10-03,0.0,36.868204652117065,7.80927078060569,24.491680161291097,0.0,13.98417231306425,0.0,8.684564868462816,5.977585004771712,2.1845222196873726
2024-10-04,0.0,36.126273924872336,11.092380264601173,23.4818988211416,0.0,12.473694042358169,0.0,8.072409009796953,5.777767651562994,2.9755762856667753
2024-10-07,0.0,35.478749696484485,11.71360974898476,22.592412225343352,0.0,12.246211630425606,0.0,7.927719844615676,5.674207440837612,4.36708941330851
2024-10-08,0.0,35.657816831521124,12.165200411340095,22.90267494297213,0.0,11.418682975422815,0.0,7.771497296312516,5.694996704428311,4.389130838003008
2024-10-09,0.0,35.38010414941078,13.783873811967656,22.412771967339427,0.0,11.641281970943057,0.0,7.710970782073866,4.716050213464781,4.3549471048004325
2024-10-10,0.0,35.32095998211071,14.340087718813999,22.219800015908163,0.0,11.388563991433852,0.0,7.698080516289031,4.68484074305575,4.347667032388503
2024-10-14,0.0,34.33681485369406,15.7545970702228,22.315924824496662,0.0,11.139272807421467,0.0,7.483589504660185,4.743272611502328,4.226528328002498
2024-10-15,0.0,34.375789825279675,15.961659478342252,22.03856761297888,0.0,11.151916753664109,0.0,7.492083964310718,4.748656597059632,4.231325768364734
2024-10-16,0.0,33.48883276220447,15.88155737862025,22.944321275687898,0.0,11.417072885203835,0.0,6.74587915854893,5.400186569089686,4.12214997064493
2024-10-17,0.0,33.87212737953426,16.212455209907237,22.15558864337393,0.0,11.11900817868436,0.0,6.823088752236149,5.648402021914412,4.169329814349651
2024-10-18,0.0,33.84789883770626,15.82830938388716,22.30217230427907,0.0,11.744388366690888,0.0,6.482914001946794,5.627969589260093,4.166347516229731
2024-10-21,0.0,33.91663657822606,16.687698710631928,22.591605116020432,0.0,11.427037248742856,0.0,6.3840876796571076,4.818126202417707,4.1748084643039105
2024-10-22,0.0,33.80867678161275,16.805754245599598,22.18478824061233,0.07271174934049625,11.986051847272877,0.0,6.214919557882795,4.765577915514156,4.161519662164989
2024-10-23,36.35950290983872,21.795957367034553,11.271038482166977,13.354223628102964,0.04687619686937535,7.535312661954081,0.0,3.7907585712970047,3.1682575505882085,2.678072632148113
2024-10-24,35.98191706155028,21.569610899314736,11.343916984915184,14.09157594658942,0.04638939734949881,7.480800748421941,0.0,3.5852071856369307,3.2540595352124253,2.646522241009585
2024-10-25,35.80595470297288,21.464129037385373,12.812230871096567,13.295025119367018,0.04616253929308568,7.231595664161053,0.0,3.5676744479761178,3.09639839112447,2.680829226623434
2024-10-28,35.780595596266494,21.448927344171658,12.968412104490284,13.120353757837766,0.04612984526860058,7.226473979580201,0.0,3.5651476884532842,3.1650291201140437,2.6789305638176666
2024-10-29,35.7335068431544,21.59165277325385,12.959646513743985,13.20765920159024,0.046436802434980516,7.369620359415147,0.0,3.161100960025043,3.233619845710991,2.696756700671366
2024-10-30,35.631891830586035,21.53025280829781,13.064977792914634,13.170100714491307,0.04630475056882092,7.419755691965253,0.0,3.152111769146221,3.295516681156057,2.6890879608738603
2024-10-31,16.744090200445434,10.11746714922049,6.18402004454343,6.166604120267261,0.02175946547884187,3.586904231625835,0.0,1.4812360801781737,1.537488864142539,1.263652561247216
2024-11-01,35.581300737784275,21.499683591736176,13.141082873976181,13.033082612538854,0.04623900587178581,7.551203546422896,0.0,3.147636318339606,3.314501389938837,2.6852699233913855
2024-11-04,35.497300743030465,21.448927344171658,13.346138575471661,13.002314235656085,0.04612984526860058,7.556984641688906,0.0,3.1402054085992357,3.283068642295723,2.6789305638176666
2024-11-05,35.497300743030465,21.448927344171658,13.322530671035327,13.025922140092423,0.04612984526860058,7.556984641688906,0.0,3.1402054085992357,3.283068642295723,2.6789305638176666
