date,BOCOM INTERNATIONAL SECURITIES LTD,KGI ASIA LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,UOB KAY HIAN (HONG KONG) LTD,UZEN SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CHIEF SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17297249956209493,0.17297249956209493
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17265971023196458,0.17265971023196458
2024-03-06,60.502214548457324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17265971023196458,60.67487425868929
2024-03-08,60.502214548457324,0.0,1.1682681480369341,0.0,0.0,0.0,0.0,0.0,0.17265971023196458,61.84314240672622
2024-03-11,60.502214548457324,0.0,1.1682681480369341,0.0,0.0,0.0,0.0,0.0,0.17297249956209493,61.843455196056354
2024-03-12,60.502214548457324,0.0,1.1682681480369341,0.0,0.0,0.0,0.0,0.0,0.1745364462127468,61.845019142707
2024-03-13,60.480319295348195,0.0,1.1682681480369341,0.0,0.0,0.0,1.3247566499011587,0.0,0.17735155018392013,63.150695643470215
2024-03-15,60.471873983434676,0.0,1.1682681480369341,1.4297604972099192,0.0,0.0,1.3247566499011587,0.8973925881440333,0.1807922328153542,65.47284409954207
2024-03-19,60.471873983434676,0.0,1.1682681480369341,1.4297604972099192,0.0,0.0,1.3247566499011587,0.8973925881440333,0.18173060080574532,65.47378246753247
2024-03-25,60.471873983434676,0.0,1.1682681480369341,1.4297604972099192,0.0,0.0,1.3241310712408978,0.8973925881440333,0.18173060080574532,65.47315688887221
2024-03-26,60.471873983434676,0.0,1.1682681480369341,1.4297604972099192,0.0,0.0,1.3241310712408978,0.8977053774741636,0.1967444886520031,65.4884835660486
2024-03-27,60.471873983434676,0.0,1.1682681480369341,1.4297604972099192,0.0,0.0,1.3241310712408978,0.8977053774741636,0.1964316993218727,65.48817077671846
2024-03-28,60.471873983434676,0.0,1.1682681480369341,1.4297604972099192,0.0,0.0,1.3241310712408978,0.8977053774741636,0.19580612066161196,65.4875451980582
2024-04-03,60.471873983434676,0.0,1.1682681480369341,1.4297604972099192,0.0,0.0,1.3241310712408978,0.8980181668042939,0.19768285664239418,65.48973472336912
2024-04-08,60.471873983434676,0.0,1.1682681480369341,1.4297604972099192,0.0,0.0,1.3241310712408978,0.8980181668042939,1.6521532417486176,66.94420510847534
2024-04-09,60.471873983434676,0.0,2.3756349623401647,1.4388313877837,0.0,0.0,1.3241310712408978,0.8977053774741636,1.6530916097390085,68.1612683920126
2024-04-11,60.471873983434676,0.0,2.3756349623401647,1.4388313877837,0.0,0.0,1.3241310712408978,0.8977053774741636,3.373432925456047,69.88160970772965
2024-04-12,60.471873983434676,0.0,2.3756349623401647,1.4388313877837,0.0,0.0,1.3241310712408978,0.8977053774741636,3.373745714786177,69.88192249705978
2024-04-15,60.471873983434676,0.0,2.3756349623401647,2.0644100480444414,0.0,0.0,1.3241310712408978,0.8977053774741636,3.3740585041163076,70.50781394665066
2024-04-17,60.471873983434676,0.0,2.3756349623401647,2.0644100480444414,0.0,0.0,1.3241310712408978,0.8973925881440333,3.3749968721066987,70.50843952531092
2024-04-18,60.471873983434676,0.0,2.3756349623401647,2.0644100480444414,0.0,0.0,1.3241310712408978,0.8973925881440333,3.3756224507669597,70.50906510397117
2024-04-23,60.471873983434676,0.0,2.3756349623401647,2.0644100480444414,0.0,0.0,1.3241310712408978,0.8970797988139028,3.376560818757351,70.50969068263143
2024-04-24,60.471873983434676,0.0,2.3756349623401647,2.0640972587143107,0.0,0.0,1.3241310712408978,0.8973925881440333,3.3784375547381327,70.51156741861222
2024-04-30,60.471873983434676,0.0,2.3756349623401647,2.0640972587143107,0.0,0.0,1.3241310712408978,0.8967670094837725,3.380314290718915,70.51281857593274
2024-05-02,60.471873983434676,0.0,2.3756349623401647,2.0640972587143107,0.0,0.0,1.3241310712408978,0.8964542201536422,3.382191026699697,70.51438252258339
2024-05-03,60.471873983434676,0.0,2.3756349623401647,2.0640972587143107,0.0,0.0,1.3241310712408978,0.8961414308235117,3.382816605359958,70.51469531191353
2024-05-09,60.471873983434676,0.0,2.3756349623401647,2.0640972587143107,0.0,0.0,1.3241310712408978,0.8958286414933814,3.382816605359958,70.51438252258339
2024-05-10,60.471873983434676,0.0,2.3756349623401647,2.0640972587143107,0.0,0.0,1.3241310712408978,0.8964542201536422,3.38469334134074,70.51688483722444
2024-05-16,60.471873983434676,0.0,2.3756349623401647,2.0640972587143107,0.0,0.0,1.326946175212071,0.8964542201536422,3.383442184020219,70.51844878387509
2024-05-20,60.471873983434676,0.0,2.3756349623401647,2.0640972587143107,0.0,0.0,1.326946175212071,0.8964542201536422,3.383754973350349,70.51876157320521
2024-05-21,60.471873983434676,0.0,2.3756349623401647,2.0640972587143107,0.0,0.0,1.326946175212071,0.8961414308235117,3.3843805520106094,70.51907436253535
2024-05-22,60.471873983434676,0.0,2.3756349623401647,2.0640972587143107,0.0,0.0,1.3253822285614194,0.8961414308235117,3.386257287991392,70.51938715186547
2024-05-23,60.471873983434676,0.0,2.3756349623401647,2.06347168005405,0.0,0.0,1.3253822285614194,0.8961414308235117,3.386257287991392,70.51876157320521
2024-05-24,60.471873983434676,0.0,2.3756349623401647,2.06347168005405,0.0,0.0,1.3253822285614194,0.8958286414933814,3.3859444986612615,70.51813599454495
2024-05-27,60.471873983434676,0.0,2.3756349623401647,2.06347168005405,0.0,0.0,1.3253822285614194,0.8958286414933814,3.3868828666516526,70.51907436253535
2024-05-28,60.471873983434676,0.0,2.3756349623401647,2.06347168005405,0.0,0.0,1.3253822285614194,0.8955158521632509,3.387508445311913,70.51938715186547
2024-05-29,60.471873983434676,0.0,2.3756349623401647,2.06347168005405,0.0,0.0,1.3253822285614194,0.8955158521632509,3.3878212346420438,70.5196999411956
2024-06-05,60.471873983434676,0.0,2.3756349623401647,2.06347168005405,0.0,0.0,1.3253822285614194,0.8955158521632509,3.3881340239721744,70.52001273052574
2024-06-06,60.471873983434676,0.0,2.3756349623401647,2.06347168005405,0.0,0.0,1.3253822285614194,0.8958286414933814,3.3884468133023047,70.520638309186
2024-06-07,60.471873983434676,0.0,2.3756349623401647,2.06347168005405,0.0,0.0,1.3253822285614194,0.8958286414933814,3.389072391962565,70.52126388784626
2024-06-11,60.471873983434676,0.0,2.3756349623401647,2.06347168005405,0.0,0.0,1.325069439231289,0.8955158521632509,3.394702599904912,70.52626851712834
