date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS BANK CO LTD,CHINA INDUSTRIAL SECURITIES,HUARONG INTERNATIONAL SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,QUAM SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,78.58421661113765,0.0,0.0,0.0,0.0,11.143543391644148,4.147424928403964,2.8425138001737227,3.2823012686405204,0.0
2024-03-04,58.22847995074856,25.904490987807645,0.0,0.0,0.0,8.256660184754079,3.073002153364501,2.1053711982356544,2.4319955250895653,0.0
2024-03-05,52.836515095174406,23.505093016320146,9.371653811821641,0.0,0.0,7.4905463495974445,2.7878870710003927,1.9058572403051484,2.102447415780815,0.0
2024-03-06,52.818335880377845,23.516166979077003,9.363856660152308,0.0,0.0,7.475070248596555,2.784672599802817,1.9402975665462223,2.1016000654472524,0.0
2024-03-07,48.551043011993215,21.574082638177888,8.586113757431999,8.16315125499982,0.0,6.854065983094021,2.5539056310290875,1.7851784338114491,1.9324592894625205,0.0
2024-03-08,48.05557045986468,21.327295262048892,8.49314335611916,8.06857186491557,0.0,6.7744523802755445,2.5230314592777514,1.7670888350479375,1.9125877291622393,1.0782586532882226
2024-03-11,48.08620307438704,21.30779097038182,8.486894326226285,8.062635223478763,0.0,6.768838836355642,2.5214267120938105,1.7774266622750994,1.9111804977767388,1.0776036970247964
2024-03-12,48.110342246060725,21.295721423517872,8.484035749548468,8.059919546798268,0.0,6.766244504650514,2.5188166045285216,1.7771424197577008,1.9105367692480173,1.0772407358899179
2024-03-13,48.10333848724099,21.29497718555061,8.490062825932853,8.059671191238028,0.0,6.766715169998997,2.5199589596886134,1.7775907395498165,1.9104778986318862,1.0772075421682037
2024-03-14,48.10731571295489,21.293363045103487,8.489654947728658,8.059283989838077,0.0,6.766088251056576,2.5186179857439104,1.7781341606676733,1.9103861157663853,1.077155791140343
2024-03-15,48.09585897398608,21.289973935079313,8.508231343506013,8.05305941502869,0.0,6.760573440141883,2.5166727352615723,1.7903956731956845,1.9089106321741216,1.0763238516266382
2024-03-18,48.113404584057754,21.285120983414334,8.505052601259363,8.049456275035698,0.0,6.757171758843683,2.5155467129991798,1.7903482690852222,1.908056537861965,1.075842277442798
2024-03-19,48.124484115909745,21.289116997924285,8.497793125711565,8.042585673083979,0.0,6.751015123983252,2.513399571681129,1.7978563641793628,1.9086869799966648,1.0750620475300172
2024-03-20,48.12713092655116,21.28839120451935,8.496631863886114,8.041486617413652,0.0,6.750080018639787,2.5143862584453407,1.797610678984103,1.9093672961166333,1.0749151354438649
2024-03-21,48.120935696933444,21.299302795377574,8.495593501861546,8.040503878081365,0.0,6.749167270747028,2.5127489870457165,1.7978301435603745,1.9091339548911925,1.0747837715017572
2024-03-22,48.10674135785341,21.312043135431903,8.497173780035327,8.04201138154516,0.0,6.7501942237942245,2.5132200990380804,1.7941388451112772,1.909491895897563,1.074985281293051
