date,PRIME CHINA SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,63.36941641743904,0.0,0.0,36.63058358256096
2024-03-05,0.0,0.0,39.86918526763453,0.0,0.0,38.10454638295146,0.0,0.0,22.026268349414014
2024-03-06,0.0,0.0,39.82012601758031,0.0,0.0,38.06558252447442,0.0,0.0,22.114291457945264
2024-03-08,0.0,0.0,23.207691019881395,36.39769373261036,0.0,22.185120090523515,0.0,5.320996435182288,12.888498721802447
2024-03-11,0.0,0.0,23.232420818637674,36.38597240721782,0.0,22.177975708976604,0.0,5.319282888959071,12.884348176208832
2024-03-12,0.0,0.0,23.220303813436022,35.93364019898447,0.0,22.44483261933187,0.0,5.6034232789970595,12.797800089250583
2024-03-13,0.0,0.0,23.209167881835725,35.91640723930312,0.0,22.434068586146203,0.0,5.60073600415071,12.839620288564243
2024-03-15,68.33073820335277,0.0,7.319748794792435,11.327380625693047,0.0,7.075296595370495,0.0,1.867203423863458,4.079632356927799
2024-03-18,67.92407496226143,0.0,7.329726382085382,11.726509894159328,0.0,7.0849409686110105,0.0,1.8697486184702101,4.064999174412646
2024-03-19,67.96353335441951,0.0,7.195068924333126,11.81414557394054,0.0,7.0890567461068645,0.0,1.870834791145593,4.06736061005436
2024-03-20,67.94637190012601,0.0,7.193252099333171,11.811162387086101,0.0,7.087266690214715,0.0,1.8703623871345842,4.0915845361054135
2024-03-21,67.88808772809735,0.0,7.232494516837494,11.992773597857914,0.0,7.0559579423702115,0.0,1.8687579964941545,3.9619282183428797
2024-03-22,67.88808772809735,0.0,7.207265202808717,11.992773597857914,0.0,7.0559579423702115,0.0,1.8687579964941545,3.9871575323716573
2024-03-27,67.88980054119455,0.0,7.207447041753479,11.99055317988659,0.0,7.056135963840274,0.0,1.8688051451660206,3.9872581281590866
2024-03-28,67.80426562770676,0.0,7.193326687804968,12.035921775668998,0.0,7.047245880581611,0.0,1.9370054791188314,3.982234549118835
2024-04-03,67.70105674044999,0.0,7.033770114945097,12.125752502465485,0.0,7.099843365939646,0.0,2.053007343799968,3.986569932399818
2024-04-09,59.22899075551773,12.80265702065003,5.971451520987772,10.52838986825695,0.0,6.211373608229267,0.0,1.733908985961127,3.52322824039712
2024-04-10,58.365607079871694,12.268684201235509,5.841555191525765,10.417707220883468,0.0,6.177349171633143,0.0,3.4030805493836476,3.526016585466772
2024-04-11,58.360450874119074,12.267600346149944,5.841039129721738,10.425621209214453,0.0,6.176803444707161,0.0,3.402779910284985,3.5257050858026475
2024-04-12,58.26953379348224,12.359814775768836,5.840781133011135,10.425160713073572,0.0,6.1765306174010295,0.0,3.4026296106543437,3.5255493566088356
2024-04-15,58.00451583533537,12.448154095151128,5.840781133011135,10.425160713073572,0.0,6.1765306174010295,0.0,3.5793082494189306,3.5255493566088356
2024-04-18,54.709445681569434,11.741010169584138,5.508983111617429,9.832937238415493,0.0,5.82565963092481,5.680713141576875,3.375978015316644,3.3252730109951787
2024-04-22,54.732247413897475,11.745903572685055,5.511279138505397,9.837035397336964,0.0,5.828087641844748,5.683080741885614,3.3773850510870047,3.2849810427577486
2024-04-23,54.739091640337236,11.74320408080384,5.503631703217582,9.838265511226611,0.0,5.828816439827953,5.683791406864868,3.37780739055151,3.2853918271703995
