date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,BNP PARIBAS,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,41.93613933242369,25.45652212665333,12.555468119840663,6.709692464252626,7.2328322282744075,0.0,0.0,0.40121594842078434,5.708129780134499,0.0
2024-03-04,34.52484505870906,21.45888314566853,10.358507270764825,5.540424642401694,5.973416594893819,13.54133980805004,0.0,0.3264985705566396,4.7064342662187455,3.5696506427366526
2024-03-05,34.70637116953981,21.42658048422597,10.338423359364437,5.538027085267909,6.004177900935003,13.38654820330794,0.0,0.32756926905787176,4.704048978017339,3.5682535502837203
2024-03-06,34.64652984648311,21.34734283517737,10.7547514495189,5.496806575621171,6.040725444159963,13.107617884478696,0.0,0.28448216743232113,4.696538735626006,3.6252050615024616
2024-03-07,34.766362702748225,21.367780654419605,10.787589662618128,5.290194838921532,6.053443162598367,13.085339546481212,0.0,0.31038700576210865,4.702373153699696,3.636529272751124
2024-03-08,34.77463139194311,21.35855858061609,10.82147768273908,5.300844540593741,6.044745306388855,13.0640516677735,0.05128154551452136,0.25809140327493957,4.692056288396647,3.634261592759512
2024-03-11,34.580223928815904,21.341264046421156,10.623670658032633,5.778660147190355,6.037636864327061,12.892854063102469,0.051280406101432974,0.33586778877494067,4.716156388336588,3.6423857088974625
2024-03-12,34.67749143587739,20.96700149677371,10.650843716448913,5.802716130777057,6.033475665113759,12.889348847110934,0.04275791512734746,0.5105064831277678,4.762820611387205,3.663037698255913
2024-03-13,34.64777268670225,20.863914159707843,10.660643000287088,5.801840279312908,6.054710112084621,13.146278913932063,0.042812127786626984,0.3080266729435832,4.815788058890717,3.6582139883523017
2024-03-14,34.387539017406,21.13795878214031,10.716457271855983,5.835843673314743,6.052231546524964,12.9781801970553,0.04277773328162273,0.32258688667671703,4.866213955399672,3.6602109363446926
2024-03-15,34.54202584221699,21.211112453331523,10.31196360529877,6.239818205456573,6.050688493276002,12.823953778666276,0.04276682683830244,0.2484851331982691,4.877309869215096,3.651875792502199
