date,BOCOM INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIC SECURITIES BROKERAGE (HK) LTD,HANG SENG SECURITIES LTD
2024-03-01,76.37675880228007,12.105275278645115,5.154306294525355,3.425136311933605,0.0,0.0,0.0,0.0,1.3663976359357846,1.572125676680077
2024-03-04,74.62392526796913,11.834184525073196,5.034229196321863,3.346726633583535,0.0,2.2896809908809863,0.0,0.0,1.33511747965157,1.5361359065197235
2024-03-05,70.37509081821707,11.176392364778641,4.752397613440372,3.1554108849593967,2.9160297389344683,2.1582634132044287,0.0,2.7588677182757935,1.2637771586037045,1.4437702895861204
2024-03-06,69.26151177925686,11.023253430380562,4.675592855964404,3.108106584108495,2.869830353086668,2.1203755086924434,1.5674862718559086,2.708719671005483,1.2439753416325796,1.4211482040166046
2024-03-07,69.23760358774476,11.037626988210619,4.6765727444985705,3.1077440094851148,2.8715461040895187,2.119989332819272,1.5672007915826094,2.7119909614464395,1.2488361043877783,1.4208893757353205
2024-03-08,69.19112799995611,11.141074795144142,4.664559042407304,3.1058757566271997,2.8700154926895265,2.1135981272794533,1.56427616030502,2.6888913697750407,1.248126216705702,1.4124550391104935
2024-03-11,69.12893508161015,11.214164825645664,4.6527855411418,3.1011118935085005,2.8391191495291266,2.2109139479309126,1.5475076716295695,2.6740891922090633,1.2420705041365632,1.389302192658641
2024-03-12,69.00448670593566,11.262519821654529,4.639341561258727,3.126334177133508,2.9692652248630034,2.2071284306235355,1.5443508597014262,2.642427430907457,1.2399438363868789,1.3642019515352697
2024-03-13,68.9099134863402,11.454336093400196,4.6299442855638695,3.1218468273304505,2.9630685165790194,2.1845533170514453,1.5391953840580874,2.617229800333164,1.243309255934779,1.3366030334087833
2024-03-14,68.90070070809443,11.46799712289261,4.62638809772523,3.1214294580278,2.9570005474042707,2.1839574095023675,1.5389896042938584,2.6189055474872007,1.2482071657333014,1.336424338838925
2024-03-15,68.86711443255396,11.553281776284031,4.619544098942212,3.1270401839109834,2.953982821256654,2.173813780605411,1.538262021901887,2.5987365190543072,1.252678792959128,1.3155455725314265
2024-03-18,68.81339973739833,11.618961596718403,4.579457206031542,3.1418900234621967,2.94954007480472,2.159031481076457,1.6372545809503096,2.543677561929435,1.2523454873132425,1.3044422503153685
