date,SINOLINK SECURITIES (HONG KONG) CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,DAH SING SECURITIES LTD,CHANGJIANG SECURITIES BROKERAGE (HK) LTD,LIVERMORE HOLDINGS LTD,SHANGHAI COMMERCIAL BANK LTD,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,81.2330680226754,0.0,0.0,0.0,0.0,0.0,0.0,18.76693197732461
2024-03-05,0.0,52.22514537049739,35.709500278975966,0.0,0.0,0.0,0.0,0.0,12.06535435052665
2024-03-07,0.0,52.23314525633238,35.699652213367074,0.0,0.0,0.0,0.0,0.0,12.067202530300552
2024-03-14,0.0,51.94668493806515,36.052292246841205,0.0,0.0,0.0,0.0,0.0,12.001022815093647
2024-03-18,0.0,51.938772551929965,36.06203259806489,0.0,0.0,0.0,0.0,0.0,11.999194850005146
2024-03-26,0.0,51.96072421064427,36.04556149497057,0.0,0.0,0.0,0.0,0.0,11.993714294385164
2024-03-27,0.0,36.628802478497676,25.402244262674945,0.0,0.0,29.516670994748402,0.0,0.0,8.452282264078983
2024-03-28,0.0,36.63560103704041,25.399519071239546,0.0,0.0,29.513504401349618,0.0,0.0,8.45137549037043
2024-04-02,0.0,36.64239813702021,25.396794464466787,0.0,0.0,29.51033848731187,0.0,0.0,8.450468911201131
2024-04-03,0.0,36.64103883368676,25.39733933905736,0.0,0.0,29.510971615781028,0.0,0.0,8.450650211474855
2024-04-10,0.0,36.63710868619845,25.405341280834936,0.0,0.0,29.50780624507472,0.0,0.0,8.449743787891892
2024-04-12,0.0,36.65749119252058,25.397168918139112,0.0,0.0,29.498314205887876,0.0,0.0,8.447025683452432
2024-04-25,0.0,36.65814631212299,25.39762280035152,0.0,0.0,29.498841381186715,0.0,0.0,8.445389506338778
2024-04-29,0.0,36.66011181143235,25.398984544331938,0.0,0.0,29.50042302014544,0.0,0.0,8.440480624090275
2024-05-08,0.0,36.71917495587105,25.654718347494377,0.0,0.0,29.172027605392948,0.0,0.0,8.454079091241628
2024-05-09,0.0,35.29148131928787,23.681993015929706,0.0,0.0,22.67768168990018,0.0,10.638456689900588,7.710387284981652
2024-05-10,0.0,36.35465221777305,24.783525713633765,0.0,0.0,19.67375517385317,0.0,11.142829804075637,8.045237090664378
2024-05-13,0.0,36.369099561967346,24.803309694151075,0.0,0.0,19.681573527083128,0.0,11.147257966295799,7.9987592505026575
