date,HUATAI FINANCIAL HOLDINGS (HONG KONG),PINESTONE SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,SILVERBRICKS SECURITIES CO LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,14.307500000000001,20.4755,0.0,0.0,0.0,0.0,0.0,0.0,34.782999999999994
2024-03-04,0.0,0.0,14.3095,20.4765,0.0,0.0,0.0,0.0,0.0,0.0,34.786
2024-03-05,0.0,0.0,14.259,20.5265,0.0,0.0,0.0,0.0,0.0,0.0,34.7855
2024-03-06,0.0,0.0,14.321,20.464,0.0,0.0,0.0,0.0,0.0,0.0,34.785
2024-03-07,0.0,0.0,14.3435,20.019000000000002,0.0,0.0,0.0,0.0,0.0,0.0,34.362500000000004
2024-03-08,0.0,0.0,13.9515,19.96,0.0,0.0,0.0,0.0,0.0,0.0,33.9115
2024-03-11,0.0,0.0,14.0175,19.9585,0.0,3.7944999999999998,2.7025,0.0,0.0,0.0,40.473
2024-03-12,0.0,0.0,14.082500000000001,19.900499999999997,0.0,3.7944999999999998,2.7025,0.0,4.206,0.0,44.686
2024-03-13,0.2765,0.0,14.0805,19.900499999999997,0.0,3.7944999999999998,2.7025,0.0,4.156,0.0,44.9105
2024-03-14,0.2765,0.0,14.144499999999999,19.84,0.0,3.7944999999999998,2.7025,0.0,4.3125,0.0,45.0705
2024-03-15,0.2765,0.0,14.164499999999999,19.84,0.0,3.7944999999999998,2.7025,0.0,4.3625,0.0,45.1405
2024-03-18,0.2765,0.0,14.2245,19.7795,0.0,3.7944999999999998,2.7025,0.0,4.3625,0.0,45.14
2024-03-20,0.2765,27.086,14.252500000000001,19.747500000000002,0.0,3.7944999999999998,2.7025,0.0,4.3625,0.0,72.222
2024-03-21,0.2765,27.164500000000004,14.337,19.8375,0.0,3.7944999999999998,2.7025,0.0,4.3625,0.0,72.475
2024-03-22,0.2765,27.164500000000004,14.330000000000002,19.844,0.0,3.7944999999999998,2.7025,0.0,4.3625,0.0,72.47449999999999
2024-03-25,0.2765,27.164500000000004,14.313,19.8575,0.0,3.7944999999999998,2.7025,0.0,4.3625,0.0,72.471
2024-03-26,0.2765,27.164500000000004,14.2825,19.88,0.0,3.8045000000000004,2.7025,0.0,4.3625,0.41050000000000003,72.8835
2024-03-27,0.2765,27.164500000000004,14.255499999999998,19.902,0.0,3.8045000000000004,2.7025,0.0,4.3625,0.41050000000000003,72.8785
2024-03-28,0.2765,27.164500000000004,14.194999999999999,19.951,0.0,3.8045000000000004,2.7025,0.0,4.3625,0.41050000000000003,72.867
