date,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,DBS BANK (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,MERRILL LYNCH FAR EAST LTD,NANYANG COMMERCIAL BANK LTD
2024-03-01,42.628205128205124,57.37179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,42.857142857142854,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,43.32247557003257,56.67752442996743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,36.4051094890511,46.25912408759124,0.0,0.0,17.335766423357665,0.0,0.0,0.0,0.0
2024-03-08,26.850605652759086,34.11843876177658,0.0,26.244952893674295,12.78600269179004,0.0,0.0,0.0,0.0
2024-03-11,27.03252032520325,33.67208672086721,0.0,26.422764227642276,12.872628726287264,0.0,0.0,0.0,0.0
2024-03-12,24.582982661295787,30.00479337356153,9.67756245248214,24.028479292995883,11.706182219664662,0.0,0.0,0.0,0.0
2024-03-14,24.65894637698894,29.788501638367592,9.707467025611932,24.10272954141776,11.74235541761378,0.0,0.0,0.0,0.0
2024-03-15,25.188217217124958,30.112229605435097,9.915824639505477,24.620061941550713,10.163666596383756,0.0,0.0,0.0,0.0
2024-03-18,25.220059238695537,30.15029638310218,9.92835986180166,24.65118572203323,10.050098794367393,0.0,0.0,0.0,0.0
2024-03-20,23.51105490980358,26.928701989424148,9.255577541108991,22.803955514020014,9.369066994132254,0.0,0.0,0.0,8.131643051511013
2024-03-21,23.469566618864825,26.763540881161646,9.533349724776686,22.763714991229794,9.352534066164178,0.0,0.0,0.0,8.117293717802871
2024-03-25,23.60843371355337,26.330208026394107,9.589757608246739,22.898405631942744,9.407872081340816,0.0,0.0,0.0,8.165322938522218
2024-03-26,24.10768340267565,24.77230625337598,9.79255308221868,23.382640292820746,9.606821205577514,0.0,0.0,0.0,8.337995763331428
2024-03-28,24.44742088900381,23.712160110387153,9.930554619459658,23.712160110387153,9.74220531667069,0.0,0.0,0.0,8.455498954091542
2024-04-02,25.959661678594664,25.178919973975276,4.359141184124918,25.178919973975276,10.344827586206897,0.0,0.0,0.0,8.978529603122967
2024-04-03,25.942782834850455,25.16254876462939,4.356306892067621,25.227568270481143,10.338101430429129,0.0,0.0,0.0,8.972691807542263
2024-04-09,25.609756097560975,24.8395378690629,5.58408215661104,24.90372272143774,10.205391527599486,0.0,0.0,0.0,8.857509627727858
2024-04-10,26.11749680715198,24.584929757343552,5.555555555555555,24.776500638569605,10.153256704980842,0.0,0.0,0.0,8.812260536398467
