date,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CMB INTERNATIONAL SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD
2024-03-01,20.06491068060309,0.0,20.081370355973917,19.496942744771705,15.972850876310426,0.0,7.763748112024017,13.227229709661788,1.5507749600281613,1.8421725606268928
2024-03-04,20.1010935017936,0.0,20.035792255063807,19.537440471158625,15.879045663020147,0.0,7.761550394167574,13.168459591484826,1.6734378558947465,1.843180267416673
2024-03-05,17.429368248251578,0.0,17.27748795505289,16.937090793697653,13.868274573110279,13.329256995359614,6.738651617863105,11.398495458493246,1.4218975599321126,1.5994767982395186
2024-03-06,17.432593609987215,0.0,17.17298927297031,16.895678275868935,14.111015425675088,13.322002666260572,6.7449838324293605,11.512795585403595,1.2076555582495434,1.6002857731553872
2024-03-07,17.422077819776355,0.0,17.09663504094459,16.879663132108085,14.28949641692181,13.315446143495613,6.741934407204843,11.504968127208585,1.147849212808084,1.6019296995320367
2024-03-08,17.413744890921485,0.0,17.09912917333063,16.864100851501686,14.32971107493637,13.307254565689355,6.725861698782691,11.478675161499334,1.1803983790630075,1.6011242042754437
2024-03-11,17.418577844201838,0.0,17.123650323206913,16.85967229363544,14.437565811001315,13.302766120557772,6.72813662219493,11.373586673353191,1.155460155717897,1.6005841561307066
2024-03-12,17.428412690317263,0.0,17.08331271313095,16.887236109133134,14.413161286288585,13.313760529179586,6.729712530246866,11.391592446544331,1.1509101127019221,1.601901582457362
2024-03-13,17.44746355213987,0.0,17.080770939055583,16.92243592566812,14.349567202252238,13.32783168563636,6.744216540988162,11.382404182425269,1.1430223844144245,1.602287587419978
2024-03-14,17.43037446394762,0.0,17.049338494655466,16.94513369774002,14.263141606824009,13.327786070779812,6.7541334648467215,11.32746804420061,1.3057126168800952,1.5969115401256486
2024-03-15,17.419030500510036,0.0,17.130571498973428,16.93179834433901,14.186725361752758,13.319702959327739,6.75888587068168,11.35429206988267,1.3048898315132096,1.5941035630194698
2024-03-18,17.408292656475037,0.0,17.123258311847312,16.881384946707602,14.205300269655952,13.307468881267864,6.732199760718695,11.475283088027197,1.2739115572120179,1.592900528088316
2024-03-19,17.397992761003817,0.0,17.1082498405284,16.883973774541655,14.275805737887998,13.304830856880631,6.7307741528427005,11.495393051257551,1.2110464682225457,1.591933356834703
2024-03-20,13.751648559717635,21.333962187876086,13.370981723601563,13.316650818640612,11.194993114657144,10.479883806655915,5.306292418828177,9.051627431394648,0.940795203461421,1.2531647351667994
2024-03-21,13.748791662570364,21.3338185345619,13.366532601390427,13.32340102013235,11.212495843680443,10.479813239827877,5.305760532278585,9.028034494394928,0.9481957742444952,1.2531562969186276
2024-03-22,13.759583888278911,21.333682443732993,13.369353374922852,13.328844592841882,11.190735335340682,10.479746387920033,5.302820646087262,9.033824423356828,0.9481897255969606,1.2532191819216019
2024-03-25,13.760504225,21.347975728614283,13.597119037548513,13.296601899766305,11.168940328792248,10.486767679298177,5.3513054136271245,8.934019141014057,0.7963243377117233,1.260442208627565
2024-03-26,13.772257274249485,21.341678774381986,13.607076734611379,13.291545347814035,11.225277462296923,10.483674426009866,5.377451041297977,8.840660188920117,0.8006628589695636,1.2597158914486704
2024-03-27,13.775659136322686,21.340138508649037,13.604641228644473,13.26626671395275,11.32454333885071,10.482917801161163,5.407372895575804,8.784152566869476,0.7491171468980771,1.2651906630758298
2024-03-28,13.8046362456701,21.32356861949868,13.606759020319812,13.227769431186909,11.378483842057735,10.474778173301335,5.406822794521994,8.769468129963446,0.737837823703218,1.2698759197767764
2024-04-02,13.775255537055978,21.393180051674126,13.254164070057062,13.177146286600443,11.294518134987284,10.474174005795797,5.3674419393395345,9.408517935610002,0.5934502280752159,1.2621518108045615
