date,HAITONG INTERNATIONAL SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),BANK OF COMMUNICATIONS TRUSTEE LTD
2024-03-01,83.91211249550304,11.72273270692697,0.0,0.0,0.0,0.0,0.0,4.365154797569992,0.0
2024-03-04,77.67304717534857,11.0148469365662,7.275002556303262,0.0,0.0,0.0,0.0,4.037103331781963,0.0
2024-03-05,74.96250187622438,10.7866644122681,7.082549302958477,0.0,3.2677061974986725,0.0,0.0,3.9005782110503726,0.0
2024-03-06,74.88925642368962,10.872143216294933,7.079612746219328,0.0,3.2607293984621863,0.0,0.0,3.8982582153339314,0.0
2024-03-07,73.03716729519532,10.745764421310534,6.911985520456369,0.0,3.1828375143953243,2.3094268319583233,0.0,3.8128184166841335,0.0
2024-03-08,70.74366247207736,10.66921541259654,6.7006011701484125,0.0,3.09148514667095,2.2387992692974223,2.8666740495163068,3.6895624796930067,0.0
2024-03-11,70.72625709468568,10.689863946279377,6.698952591490732,0.0,3.085404871282428,2.238248447572554,2.872618328435364,3.688654720253854,0.0
2024-03-12,70.68301596019869,10.743802476716612,6.694856937036081,0.0,3.0835184939670364,2.236880010925225,2.8708620461072405,3.687064075049119,0.0
2024-03-13,70.63232204705037,10.785902622066077,6.69005538051651,0.0,3.1012292356266826,2.2352757188692536,2.8688030616503783,3.686411934220737,0.0
2024-03-14,70.47086919836256,10.962665254095512,6.674763111088584,0.0,3.0888399259393977,2.2632941199075467,2.862245491217975,3.677322899388427,0.0
2024-03-15,71.25670532756186,11.138091623137548,5.551986084088703,0.0,3.1149922829032373,2.323340489034349,2.895126247010777,3.719757946263534,0.0
2024-03-18,71.24208522737744,11.157001945287327,5.551055833600022,0.0,3.1144703574067525,2.322951206966173,2.8946411606713505,3.717794268690927,0.0
2024-03-19,71.21339795318356,11.222142741072192,5.550125894791155,0.0,3.1139486067810638,2.289057120887479,2.8941562368597835,3.7171714464247727,0.0
2024-03-20,70.97426436798897,11.477346594678417,5.536177103124671,0.0,3.1061225103646035,2.310709171149222,2.8868825311522963,3.708497721541832,0.0
2024-03-21,71.02538580569613,11.407636652586675,5.54225251976078,0.0,3.109531178118857,2.313244950023002,2.8900506043243697,3.7118982894901924,0.0
2024-03-22,70.98763263592306,11.464360813204792,5.5140745052970725,0.0,3.1088204248029805,2.3232510794050683,2.8900119274050953,3.7118486139619224,0.0
2024-03-25,71.0199061250002,11.328007829061033,5.55310338818033,0.0,3.1249214496498543,2.3554212728591994,2.895009811462402,3.723630123786973,0.0
2024-03-26,70.81274995103513,11.501807096809834,5.547377073055592,0.0,3.121699056024186,2.4092392114060535,2.8920245008512353,3.715103110817973,0.0
2024-03-27,70.7032485032194,11.527259891967487,5.5435166272711,0.0,3.115511816160714,2.5079334808785125,2.8900119274050953,3.712517753097696,0.0
2024-03-28,70.6340718872538,11.51226990271439,5.545965902339507,0.0,3.116888333258022,2.583348814012609,2.891288812573324,3.7161663478483526,0.0
2024-04-02,70.37778872898274,11.537966806712161,5.535811832312922,0.0,3.107172389599325,2.845902625226565,2.8859951721891366,3.709362444977156,0.0
2024-04-03,70.32099095411908,11.596769208923932,5.535811832312922,0.0,3.107172389599325,2.845902625226565,2.8859951721891366,3.707357817629027,0.0
2024-04-05,70.12111999706335,11.704539955916927,5.529272195460544,0.0,3.103501784513526,2.9560020222818078,2.8825858510352513,3.702978193728591,0.0
2024-04-08,70.04269105456414,11.781329712073111,5.528349763022106,0.0,3.102984036314923,2.960180039804946,2.882104957600893,3.702360436619883,0.0
2024-04-09,69.9453624800132,11.882535167588964,5.525142095899936,0.0,3.1011836184143613,2.9584624798464745,2.8877688317707926,3.699545326466268,0.0
2024-04-10,69.81599038703517,11.942208881992856,5.522154984058945,0.0,3.09988117122177,3.0358836244610625,2.885889374240654,3.697991576989549,0.0
2024-04-11,69.73477562100811,12.019286017637212,5.518365851424384,0.0,3.097754128257014,3.050455086728788,2.8839091658547553,3.695454129089743,0.0
2024-04-12,63.631037615403464,11.05499344899422,5.042098391389498,8.583111035363258,2.8297910221547253,2.837703967581271,2.6350108270397516,3.386253692073816,0.0
2024-04-15,63.5795809869281,11.108761113249779,5.041638073617149,8.582327441263155,2.829532676720262,2.837444899735397,2.6347702640400117,3.385944544446152,0.0
2024-04-16,63.54866046229988,11.145343149560537,5.041116481737587,8.581439540895115,2.8261970943845762,2.8371513466883926,2.634497679067793,3.385594245366123,0.0
2024-04-17,63.499539794466884,11.217757087545545,5.04084038855039,8.580969550367785,2.8242166997558247,2.816914264850186,2.634353392209215,3.3854088222541705,0.0
2024-04-18,63.32365216414364,11.440682469290248,5.033529841331052,8.563355990204458,2.818419626305857,2.812954042027307,2.6289460379827743,3.3784598287146617,0.0
2024-04-19,63.14388651682498,11.647212711231154,5.025168128555254,8.549130521111369,2.8288946182189667,2.8082811555058407,2.6245788260329848,3.37284752251945,0.0
2024-04-22,63.143663064846415,11.647283326184258,5.025198595244627,8.549182352950092,2.828911769297577,2.808298181608739,2.6245947383817425,3.372867971486558,0.0
2024-04-23,63.166900008039285,11.611147599668115,5.028979329948745,8.555614375446522,2.8310401160083307,2.8043436382748617,2.62656936609517,3.3754055665189764,0.0
2024-04-24,63.1297940338216,11.6490187066859,5.028826770901115,8.555354832446763,2.8309542336143965,2.8042585657449077,2.6264896865230867,3.3753031702622396,0.0
2024-04-25,63.12123542518934,11.657118241208849,5.028918305218946,8.555510556356946,2.831005762425467,2.8043096086434867,2.626537493686208,3.375364607270758,0.0
2024-04-26,63.085100736280985,11.698602506843395,5.0279726112572884,8.553901682602993,2.830473388484899,2.8037822549458213,2.6254369535710764,3.374729866013543,0.0
