date,UBS SECURITIES HONG KONG LTD,CINDA INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,THE BANK OF EAST ASIA LTD
2024-03-01,0.0,0.0,99.36656175533726,0.0,0.0,0.0,0.0,0.6334382446627438
2024-03-04,1.2652005679481522,0.0,98.10919718787616,0.0,0.0,0.0,0.0,0.6256022441756797
2024-03-05,1.1469883731273802,0.0,88.94250549843802,9.34335612988883,0.0,0.0,0.0,0.5671499985457692
2024-03-06,1.0936044024404523,0.0,84.77044459342392,8.908490823978601,0.0,4.68832858339666,0.0,0.5391315967603778
2024-03-07,1.0237335365943447,0.0,79.35442363677407,8.202392466307316,0.0,4.385525334429591,6.5292387837676396,0.5046862421270388
2024-03-08,1.0247481323906023,0.0,79.35709044227404,8.187393543491089,0.0,4.389871715015594,6.535709743237043,0.5051864235916361
2024-03-11,1.0247948503131783,0.0,79.35690916669846,8.18700697628228,0.0,4.390071847790094,6.536007704045277,0.505209454870716
2024-03-12,0.9791727590293534,0.0,75.82407705605806,7.815275594529898,4.52442690166658,4.194633454904706,6.179695828598594,0.482718405212807
2024-03-13,1.0213397304577208,0.0,75.71953149106669,7.795929837341976,4.518263937061947,4.188919719646333,3.9056283017073175,2.85038698271802
2024-03-14,1.02142563384481,0.0,75.7259001498292,7.788174688203865,4.518643961616346,4.189272043541538,3.905956798376763,2.850626724587477
2024-03-15,1.0216345282185273,0.0,75.74138704771175,7.7711292661538085,4.5195680810716805,4.1901288023019125,3.904942560978829,2.851209713563476
2024-03-19,1.0217382663871086,0.0,75.74907793184022,7.761764220361017,4.520027004201782,4.190554273716654,3.905339074192217,2.8514992293010093
2024-03-21,1.0218867968326095,0.0,75.7600605854856,7.748384532130909,4.520684082092172,4.191163456042155,3.9059067946854222,2.8519137527311345
2024-03-22,1.0220721498543857,0.0,75.76291919454283,7.742534633294105,4.521504057903298,4.191923662371997,3.9066152602702755,2.852431041763102
2024-03-25,1.0221196110384738,0.0,75.76643733937777,7.7428941674635805,4.5217140195351435,4.191102526856833,3.9031688378025793,2.8525634979256065
