date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,KINGKEY SECURITIES GROUP LTD,CITIBANK N.A.
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-04,64.16516780835023,0.0,0.0,28.441314913321342,0.0,7.393517278328423,0.0,0.0
2024-03-05,64.15043807629031,0.0,0.0,28.45774189845812,0.0,7.391820025251559,0.0,0.0
2024-03-06,48.477311507649596,0.0,14.775717962807647,21.415970153570292,0.0,5.821789050524916,0.0,9.509211325447552
2024-03-07,48.42391147323105,0.0,14.761203085724192,21.438271069891073,0.0,5.876744387622432,0.0,9.499869983531248
2024-03-08,48.42242126553019,0.0,14.761629586824618,21.43889049407686,0.0,5.876914186651256,0.0,9.500144466917076
2024-03-11,48.402841959334566,0.0,14.755660813308689,21.43022181146026,0.0,5.914972273567468,0.0,9.496303142329019
2024-03-12,40.622424741868244,0.0,12.383052983663774,17.98439090600611,16.069610742159096,4.97115710892433,0.0,7.969363517378447
2024-03-13,40.555582442046166,0.0,12.362677249189373,17.954798431979867,16.04316894932972,5.127522624981851,0.0,7.95625030247302
2024-03-14,31.762543580415343,21.6897832348037,9.680536607548886,14.059420948916173,12.562528422010006,4.01508261330908,0.0,6.230104592996817
2024-03-15,31.759534681040524,21.68772853867869,9.679619560068964,14.058089085087436,12.561338360394839,4.024175366135541,0.0,6.229514408594001
2024-03-18,31.75351859218427,21.683620314068687,9.677785986247656,14.055426114299785,12.577901536246708,4.023413081775303,0.0,6.228334375177587
2024-03-19,31.762543580415343,21.6897832348037,9.680536607548886,14.059420948916173,12.553054418675154,4.024556616643929,0.0,6.230104592996817
2024-03-20,31.774337205556293,21.692660463529723,9.681820765980026,14.070761242396104,12.524398794746915,4.025090488733916,0.0,6.2309310390570225
2024-03-21,31.80128934395146,21.70458854759196,9.687144482366325,14.050056882821387,12.485779294653014,4.036784224497535,0.0,6.234357224118316
2024-03-22,31.82526411796002,21.750779052975602,9.593752375161511,14.070456791061792,12.4173443794178,4.039674697879455,0.0,6.302728585543817
2024-03-25,31.735958045147072,21.750779052975602,9.593752375161511,14.070456791061792,12.354640115527856,4.191685034582352,0.0,6.302728585543817
2024-03-26,31.751040815162636,21.761116286143377,9.59831188335266,14.077143889131799,12.326293177195218,4.193677166701519,0.0,6.292416782312796
2024-03-27,31.744130786046952,21.76028894591769,9.597946963216424,14.088014447295885,12.320121661439027,4.197319646421443,0.0,6.292177549662579
2024-03-28,31.74364918014098,21.749539244931697,9.593205525260778,14.08105489160381,12.30073530808839,4.195246147707625,0.0,6.336569702266726
2024-04-02,31.73761896620505,21.745407572044602,9.591383142417508,14.078379969985372,12.250907087631315,4.203947493398682,0.0,6.392355768317472
2024-04-03,31.644366732552836,21.75573969895089,9.595940398357913,14.10407480614262,12.266230804318077,4.179337083776797,0.0,6.454310475900867
2024-04-05,31.617549259913737,21.797868095536682,9.593570084934163,14.10059092895552,12.244199965798325,4.165004085200175,0.0,6.481217579661404
2024-04-08,31.587042381892754,21.783381437034787,9.587194288318395,14.091219808597904,12.236062585447364,4.200212668995898,0.0,6.514886829712897
2024-04-09,31.573353577528945,21.77263237806035,9.582463465553236,14.08426646422471,12.230024672613398,4.198140064528374,0.0,6.559119377490985
2024-04-10,31.59542969936228,21.77345885211054,9.582827209231704,14.084801093228059,12.205815365927727,4.198299423018524,0.0,6.5593683571211665
2024-04-11,31.60252880982667,21.779659408045866,9.585556167296337,14.088812104873464,12.114365993962751,4.220378562071649,0.0,6.608698953923263
2024-04-12,31.634359559103004,21.801596351197265,9.59521094640821,14.103002660585329,12.01254275940707,4.237932345115925,0.0,6.6153553781832
2024-04-15,26.87864540416525,18.535213998351995,16.02604494854022,11.990047339763786,10.1966296673291,3.602992260837251,7.144588240996559,5.625838140015834
2024-04-16,26.869192857719966,18.537610083218876,16.02811666801325,11.991597317605235,10.197947806415126,3.6034580269855376,7.145511836470873,5.626565403571139
2024-04-17,26.822815847206087,18.505613627564845,16.000451671183377,11.970899470899472,10.135178732739709,3.589172796489869,7.133178474641889,5.842689379274745
2024-04-18,26.831590498321717,18.512780790085205,16.0066485928221,11.97553576039246,10.101988122902144,3.5905628711593076,7.135941130906274,5.844952233410792
2024-04-19,26.80118062611893,18.50292737213916,15.998129062434478,11.969161787713102,10.104675731036595,3.5854260415154595,7.13214302995113,5.906356349091143
2024-04-22,26.800316113736432,18.502330532393593,15.997613018724902,11.968775704401398,10.099511313968678,3.585310388207022,7.1319129719529695,5.914229956615003
2024-04-23,26.80204519427733,18.503524250391134,15.998645139437734,11.969547895933804,10.09209825964935,3.5855417022855205,7.132373102791981,5.916224455233149
2024-04-26,26.815453137103024,18.512780790085205,16.0066485928221,11.97553576039246,9.990640330493157,3.643816163180997,7.135941130906274,5.919184095016783
2024-04-29,26.831473736900747,18.52384104890927,16.016211590318257,11.982690413524729,9.933635820509924,3.6492225218388206,7.140204421049232,5.9227204469490236
2024-04-30,3.3192,2.2944,1.9838000000000002,1.484,1.2318,0.4542,0.8844,0.7335999999999999
2024-05-02,26.794969081486027,18.522046595734377,16.01466005780067,11.97991507499556,9.935902610717342,3.6908471511374463,7.1395127306779465,5.922146697450635
