date,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CLSA LTD,UBS SECURITIES HONG KONG LTD,TOTAL_CCASS_PCT
2024-03-01,17.849767409547244,0.0,1.9813476394398954,1.1377289391050605,0.6865903603624901,0.7805286275045229,0.0,0.1282324918209098,0.0,0.3181514000698525,22.88234686784997
2024-03-04,17.87709523248367,0.0,1.9578323017523565,1.1244792776046708,0.6904580810114901,0.7875029510844466,0.10531551692389601,0.1290868076269138,0.0,0.2881362102680298,22.959906378755473
2024-03-05,18.002592640018168,0.0,1.9730198621610562,1.1218386651133858,0.6900386896158154,0.7901124975464224,0.10798719544449038,0.12827909086487363,0.0,0.24988187456898708,23.063750515333197
2024-03-06,18.04187063244898,0.0,1.9671483826216105,1.1029660523080242,0.6832662952264017,0.7898900958425976,0.10814252559103656,0.12590253962271702,0.0,0.24919842192418387,23.06838494558555
2024-03-07,18.05031094641899,0.0,1.8761784124480165,1.1005432748142556,0.6789170511231086,0.7891600441538307,0.1078318652979442,0.12826355785021903,0.0,0.2503193774597491,22.981524529566112
2024-03-08,18.043128915367106,0.0,1.8976957539935466,1.0994714968030868,0.6786063908300162,0.7904182183408546,0.10798719544449038,0.12771990233730737,0.0,0.25647045126297796,23.001498324379384
2024-03-11,17.998695080448012,0.0,2.0144051720910157,1.0838907957934787,0.6779074051705584,0.7543194922835214,0.10759887007812492,0.12719177983905033,0.0,0.2655727357185258,23.02958133142229
2024-03-12,18.019527416047275,0.0,1.968795643292718,1.0848711154143609,0.6780472023024499,0.7590881277824892,0.10759887007812492,0.12771990233730737,0.0,0.2897967361336524,23.03544501338838
2024-03-13,18.027308539941377,0.0,1.9126061898877933,1.0893601566495457,0.6829401019186548,0.759995255838319,0.10759887007812492,0.1339486412138094,0.0,0.2792687694610452,22.993026524988665
2024-03-14,17.988850846014472,0.0,1.9785729304330968,1.0832104497516064,0.6780782683317592,0.7510482393972587,0.10753673801950644,0.13230214166041984,0.0,0.2793076019976817,22.9989072156058
2024-03-15,17.341721581259545,0.0,2.0482163976792074,1.0290326149425428,0.6586546528975544,0.7380309207300729,0.10820465764965505,0.24730858216321505,0.0,0.2828011012576226,22.453970508579413
2024-03-18,17.24728614891746,0.0,1.9894876536375898,1.0342068951192158,0.6745652285393827,0.7413083868221975,0.14037353099936992,0.3004625583113195,0.0,0.30321320667841795,22.430903609024956
2024-03-19,17.304208636349966,0.0,1.940015530085128,1.052341689728483,0.6788989396280213,0.7497583467943099,0.17206088089479163,0.30714175461280546,0.0,0.2241991376816159,22.42862491577512
2024-03-20,17.18881310936309,0.0,1.9514922377598247,1.053114193146301,0.6834035138778606,0.751420379362354,0.17563347426535386,0.3077009431403717,0.0,0.1948572729990416,22.306435123914195
2024-03-21,17.134718407248457,0.0,2.0136230537371262,1.0578051635719958,0.6936397705352543,0.7526971931669637,0.17578880441190006,0.29193493326593395,0.0,0.17158623856599045,22.29179356450362
2024-03-22,17.173456813816195,0.0,1.988892552780142,1.063381515833004,0.6995423161040093,0.7535981080169315,0.18044870880828562,0.26922566584088176,0.0,0.17205014758166526,22.300595828781113
2024-03-25,17.560920097868323,0.0,1.966749805465573,1.0644213269000133,0.702524654917696,0.7498546514851685,0.18006038344192016,0.26680251555476125,0.0,0.17461309499967734,22.665946530633136
2024-03-26,17.58063604463833,0.0,1.9581854448405291,1.072545093564379,0.7079456770321578,0.709772670215834,0.1805263738815587,0.2675791662874922,0.0,0.17475289213156892,22.65194336259185
2024-03-27,17.549609236191095,0.0,1.9449168641282903,1.0756982955392664,0.7092193842338366,0.7117764291062798,0.1805263738815587,0.27268952810886166,0.0,0.16798787592411618,22.612423987113306
2024-03-28,17.473913050190546,0.0,1.9676045406629725,1.075558498407375,0.7117315076278987,0.7141995793924004,0.1805263738815587,0.27174201421492994,0.0,0.17308913539889806,22.568364699776584
2024-04-02,17.498282501754904,2.7449439295986093,1.7651532855303904,1.074969797151965,0.713673134459726,0.7026988732100622,0.1805263738815587,0.27191287737613073,0.0,0.23142696006070296,25.183587733024048
2024-04-03,17.488383280449487,2.7449439295986093,1.5201781194276363,1.0706360860633262,0.7173855249621799,0.7143585131983464,0.1805263738815587,0.26775002944869297,0.0,0.2306969083719359,24.93485876540177
2024-04-05,17.46547798637949,2.7462331698149427,1.6925681293699448,1.0723291846606797,0.7189826139959531,0.7130755949189775,0.1805263738815587,0.2727361271528255,0.0,0.1711524946647749,25.033081674839146
