date,TIGER BROKERS (HK) GLOBAL LTD,CINDA INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,28.801175800553143,0.0,3.9536491727285834,5.846159514827894,5.3449060498252,2.7411973232622056,0.8511892757866744,4.86536889122507,1.0920194960972336,1.5311466758520478,55.02681220015805
2024-03-04,28.8272941980247,0.0,3.9724814670867166,5.924125889675031,5.654455548920149,2.769225998348188,0.9187251967568193,4.808567716141294,1.0971417449217526,1.456950140898865,55.428967900773515
2024-03-05,28.82134359873021,0.0,3.906162714154081,5.857485939621386,5.937988081213333,2.657770597357909,0.9072635310702715,4.722453077487497,1.0480831109654671,1.441938401769581,55.30048905236973
2024-03-06,28.839296827283473,0.0,3.877322593709759,5.881153095906292,5.943769629391503,2.669147737486296,0.9106445533966868,4.795533875072963,1.0408477231869386,1.443037234025666,55.40075326945958
2024-03-07,28.840987338446684,0.0,3.8763759074583626,5.951241688732881,5.980690393195958,2.6666119707414846,0.9073311515167998,5.044247625142025,1.0408477231869386,1.4301893491852882,55.73852314760642
2024-03-08,28.84999776294658,0.0,4.277753972938751,6.017070193428186,6.067244564752188,2.6494701875465596,0.9038825087438562,5.004954397971124,1.0471364247140709,1.425963071277269,56.24347308431859
2024-03-11,28.84999776294658,0.0,4.315469276989912,6.092314845302558,6.123572396710267,2.643621018921861,0.9079904508704507,5.024344561013116,1.0466630815883728,1.4242725601140613,56.42824595445718
2024-03-12,28.864181151605887,0.0,4.391474658887728,6.360074908443014,6.097893532141143,2.693643244241175,0.9108812249595359,4.994439418535973,1.048691694984222,1.4234273045324577,56.784707138331136
2024-03-13,28.842052360479503,0.0,4.439113263466918,6.412041221600016,6.099719284197407,2.6774143370743815,0.9152596488722436,4.869544453798193,1.048691694984222,1.4220748956018916,56.72591116007477
2024-03-14,28.84766485754135,0.0,4.37382572234384,6.258880910213406,6.2398626596273195,2.753233762744244,0.9120476776621491,4.772965551044141,1.067050646216657,1.4097341641104757,56.63526595150358
2024-03-15,28.821952182748962,0.0,4.153653548447679,6.4496212847581225,6.1879301566935805,2.7642389904167253,0.8992336030450352,4.774064383300225,1.0656982372860908,1.4087198574125512,56.525112244108975
2024-03-18,28.823304591679527,0.0,4.154093081350112,6.871623586429644,6.018794514814658,2.713641991301921,0.8140149353077386,4.891935612257111,1.0733900630786855,1.326493394434132,56.68729177065352
2024-03-19,28.828038022936507,0.0,3.5975260910872637,7.030193533538519,6.097893532141143,2.7337421690324595,0.8419759899471928,4.902011058789828,1.0784615965683082,1.3275077011320566,56.437349695173275
2024-03-20,28.83297431553308,0.0,3.562701561125187,6.913227066156183,6.113108132610011,2.6694351243840413,0.8388316391836267,5.097603876577416,1.0794759032662329,1.3379719652323117,56.445329584068084
