date,UOB KAY HIAN (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,1.7735,1.08,0.0,0.0,0.5855,0.0,3.4389999999999996
2024-03-04,0.0,1.7735,1.083,0.0,1.0645,0.5855,0.0,4.5065
2024-03-06,0.0,1.7735,1.087,0.0,1.0645,0.5855,0.0,4.5104999999999995
2024-03-08,0.0,1.7735,1.086,0.0,1.0645,0.5855,0.0,4.5095
2024-03-11,0.0,1.7735,1.0999999999999999,0.0,1.0645,0.5855,0.0,4.523499999999999
2024-03-12,0.0,1.7735,1.1085,0.0,1.0645,0.5855,0.0,4.532
2024-03-13,0.0,1.7735,1.1135000000000002,0.0,1.049,0.5955,0.0,4.5315
2024-03-14,0.0,1.7735,1.115,0.0,1.049,0.5955,0.0,4.533
2024-03-18,0.0,1.7735,1.129,0.0,1.049,0.5950000000000001,0.0,4.5465
2024-03-19,0.0,1.7735,1.1440000000000001,0.0,1.049,0.5845,0.0,4.551
2024-03-20,0.0,1.7735,1.149,0.0,1.049,0.5805,0.0,4.552
2024-03-21,0.0,1.7735,1.15,0.0,1.049,0.5805,0.0,4.553
2024-03-25,0.0,1.7735,1.1555,0.0,1.049,0.5805,0.0,4.5585
2024-04-19,0.0,1.7735,1.157,0.0,1.049,0.5805,0.0,4.5600000000000005
2024-04-22,0.0,1.7735,1.1585,0.0,1.049,0.5805,0.0,4.5615000000000006
2024-04-24,0.0,1.7735,1.158,1.1724999999999999,1.049,0.5805,0.0,5.733499999999999
2024-04-29,0.0,1.7735,1.159,1.1724999999999999,1.049,0.5805,0.0,5.7345
2024-04-30,0.0,1.7735,1.1915,1.1424999999999998,1.0370000000000001,0.5805,0.5835,6.3085
2024-05-02,0.0,1.7735,1.1925,1.1424999999999998,1.0370000000000001,0.5805,0.5835,6.3095
2024-05-03,0.0,1.7735,1.1935,1.1424999999999998,1.0370000000000001,0.5805,0.5835,6.310499999999999
2024-05-08,0.0,1.7735,1.189,1.1424999999999998,1.0370000000000001,0.577,0.5835,6.3025
2024-05-10,0.0,1.7735,1.191,1.1424999999999998,1.0370000000000001,0.577,0.5835,6.3045
2024-05-14,0.0,1.7735,1.1945000000000001,1.1424999999999998,1.0365,0.577,0.5835,6.307500000000001
2024-05-16,0.0,1.7735,1.193,1.1424999999999998,1.0365,0.577,0.5835,6.306000000000001
2024-05-17,7.7775,1.7735,1.1985000000000001,1.1424999999999998,1.0365,0.577,0.5835,14.088999999999999
2024-05-20,7.7775,1.7735,1.2025,1.1424999999999998,1.0365,0.577,0.5835,14.093
2024-05-21,7.792000000000001,1.7735,1.195,1.1424999999999998,1.0325000000000002,0.597,0.5835,14.116000000000001
2024-05-22,7.792000000000001,1.7735,1.1935,1.1424999999999998,1.0325000000000002,0.5985,0.5835,14.116000000000001
2024-05-27,7.792000000000001,1.7735,1.1935,1.1424999999999998,1.0325000000000002,0.609,0.5835,14.1265
2024-05-29,7.792000000000001,1.7735,1.1835,1.1424999999999998,1.0325000000000002,0.619,0.5835,14.1265
2024-05-30,7.792000000000001,1.7735,1.185,1.1424999999999998,1.0325000000000002,0.619,0.5835,14.127999999999998
2024-06-03,7.792000000000001,1.7735,1.185,1.1424999999999998,1.032,0.6195,0.5835,14.127999999999998
2024-06-04,7.792000000000001,1.7735,1.185,1.1424999999999998,1.032,0.62,0.5835,14.128499999999999
2024-06-05,7.792000000000001,1.7735,1.185,1.1424999999999998,1.032,0.6204999999999999,0.5835,14.129
2024-06-11,7.792000000000001,1.7735,1.185,1.1424999999999998,1.032,0.622,0.5835,14.130499999999998
2024-06-12,7.792000000000001,1.7735,1.185,1.1424999999999998,1.0295,0.6355000000000001,0.5835,14.1415
2024-06-13,7.792000000000001,1.7735,1.1844999999999999,1.1424999999999998,1.0295,0.6355000000000001,0.5835,14.141
2024-06-14,7.792000000000001,1.7735,1.183,1.1424999999999998,1.0295,0.6355000000000001,0.5835,14.1395
2024-06-17,7.792000000000001,1.7735,1.1835,1.1424999999999998,1.0295,0.6355000000000001,0.5835,14.14
2024-06-18,7.792000000000001,1.7735,1.183,1.1424999999999998,1.0295,0.64,0.5835,14.144000000000002
2024-06-19,7.792000000000001,1.7735,1.183,1.1424999999999998,1.0290000000000001,0.6405,0.5835,14.144000000000002
2024-06-20,7.792000000000001,1.7735,1.1844999999999999,1.1424999999999998,1.0290000000000001,0.6405,0.5835,14.1455
2024-06-21,7.792000000000001,1.7735,1.1820000000000002,1.1424999999999998,1.0290000000000001,0.643,0.5835,14.1455
2024-06-25,7.8420000000000005,1.7735,1.183,1.1424999999999998,1.0290000000000001,0.5930000000000001,0.5835,14.146500000000001
2024-06-26,7.8420000000000005,1.7735,1.1855,1.1424999999999998,1.0290000000000001,0.5904999999999999,0.5835,14.146500000000001
2024-06-27,7.8420000000000005,1.7735,1.183,1.1424999999999998,1.0290000000000001,0.5904999999999999,0.5835,14.144000000000002
2024-07-03,7.8420000000000005,1.7735,1.1815,1.1424999999999998,1.0290000000000001,0.5904999999999999,0.5835,14.1425
2024-07-04,7.8420000000000005,1.7735,1.1795,1.1424999999999998,1.0290000000000001,0.5904999999999999,0.5835,14.1405
2024-07-08,7.8420000000000005,1.7735,1.1804999999999999,1.1424999999999998,1.0290000000000001,0.5904999999999999,0.5835,14.1415
2024-07-10,7.8420000000000005,1.7735,1.1935,1.1285,1.0290000000000001,0.5904999999999999,0.5835,14.1405
2024-07-11,7.8420000000000005,1.7735,1.1985000000000001,1.1335,1.0290000000000001,0.5904999999999999,0.5835,14.1505
2024-07-12,7.8420000000000005,1.7735,1.2269999999999999,1.1335,1.0165,0.579,0.5835,14.155000000000001
2024-07-15,7.8420000000000005,1.7735,1.237,1.1335,1.0165,0.579,0.5835,14.165
2024-07-16,7.8420000000000005,1.7735,1.239,1.1335,1.0145,0.579,0.5835,14.165
2024-07-17,7.8420000000000005,1.7735,1.238,1.1335,1.0145,0.5795,0.5835,14.164499999999999
2024-07-18,7.8420000000000005,1.7735,1.238,1.133,1.0145,0.5795,0.5835,14.163999999999998
2024-07-19,7.8420000000000005,1.7735,1.239,1.133,1.0145,0.5795,0.5835,14.165
2024-07-25,7.8420000000000005,1.7735,1.2395,1.133,1.0145,0.5795,0.5835,14.1655
2024-08-01,7.8420000000000005,1.7735,1.24,1.133,1.014,0.5795,0.5835,14.1655
2024-08-06,7.8420000000000005,1.7735,1.2425,1.133,1.014,0.5795,0.5835,14.168
2024-08-07,7.8420000000000005,1.7735,1.2455,1.133,1.014,0.5765,0.5835,14.168
2024-08-08,7.8420000000000005,1.7735,1.247,1.133,1.014,0.5765,0.5835,14.1695
2024-08-12,7.8420000000000005,1.7735,1.2595,1.133,1.014,0.5765,0.5835,14.182
2024-08-13,7.843,1.7735,1.2585000000000002,1.133,1.014,0.5765,0.5835,14.182
2024-08-14,7.843999999999999,1.7735,1.2574999999999998,1.133,1.014,0.5765,0.5835,14.182
2024-08-15,7.849,1.7735,1.2565,1.133,1.014,0.5775,0.5735,14.177000000000001
2024-08-22,7.849,1.7735,1.26,1.133,1.014,0.5775,0.5735,14.180499999999999
2024-08-27,7.849,1.7735,1.261,1.133,1.014,0.5775,0.5735,14.1815
2024-08-29,7.849,1.7735,1.262,1.133,1.014,0.5775,0.5735,14.182500000000001
2024-08-30,7.849,1.7735,1.2625000000000002,1.133,1.014,0.5765,0.5735,14.182
2024-09-04,7.849,1.7765,1.2625000000000002,1.133,1.014,0.5765,0.5735,14.185
2024-09-09,7.849,1.7765,1.2630000000000001,1.1325,1.014,0.5765,0.5735,14.185
2024-09-10,7.849,1.7735,1.2654999999999998,1.1325,1.014,0.5765,0.5735,14.1845
2024-09-12,7.868500000000001,1.7735,1.2685,1.1165,1.014,0.5765,0.5735,14.191
2024-09-20,7.872999999999999,1.7735,1.264,1.1165,1.014,0.5765,0.5735,14.191
2024-09-26,7.872999999999999,1.7735,1.2685,1.1165,1.01,0.5765,0.5735,14.191500000000001
2024-10-02,7.872999999999999,1.7735,1.2695,1.1165,1.009,0.5765,0.5735,14.191500000000001
2024-10-03,7.8765,1.7735,1.2705,1.1165,1.009,0.5765,0.5735,14.196
2024-10-04,7.8965,1.7735,1.2715,1.1165,0.989,0.5765,0.5735,14.197000000000001
2024-10-07,7.8965,1.7735,1.2725,1.1165,0.989,0.5765,0.5735,14.198
2024-10-08,7.8965,1.7735,1.2850000000000001,1.1165,0.989,0.5765,0.5735,14.210500000000001
2024-10-10,7.8965,1.7735,1.2855,1.1165,0.989,0.5765,0.5735,14.210999999999999
2024-10-15,7.8965,1.7735,1.286,1.1165,0.989,0.5765,0.5735,14.2115
2024-10-16,7.8965,1.7735,1.291,1.1165,0.9815,0.5765,0.5735,14.209
2024-10-18,7.8965,1.7735,1.308,1.1165,0.975,0.5755,0.5735,14.2185
2024-10-22,7.8965,1.7735,1.366,1.1165,0.975,0.5884999999999999,0.5735,14.2895
2024-10-23,7.8965,1.7735,1.391,1.1165,0.9705,0.5884999999999999,0.5735,14.31
2024-10-24,7.8965,1.7735,1.3995,1.1165,0.9705,0.5884999999999999,0.5735,14.3185
2024-10-25,7.8965,1.7735,1.3965,1.1165,0.9705,0.5884999999999999,0.5735,14.3155
2024-10-29,7.8965,1.7735,1.3975,1.1165,0.9705,0.5884999999999999,0.5735,14.316499999999998
2024-10-30,7.8965,1.7735,1.399,1.1165,0.9705,0.5884999999999999,0.5735,14.318
2024-10-31,7.8965,1.7735,1.4000000000000001,1.1165,0.9705,0.5884999999999999,0.5735,14.319
2024-11-06,7.8965,1.7725000000000002,1.3955,1.1165,0.9705,0.5884999999999999,0.5735,14.313500000000001
2024-11-07,7.8965,1.7725000000000002,1.3975,1.1165,0.9705,0.5884999999999999,0.5735,14.3155
2024-11-08,7.8965,1.7635,1.4055,1.1165,0.9705,0.5884999999999999,0.5735,14.314499999999999
2024-11-12,7.8965,1.7635,1.405,1.1165,0.9705,0.5884999999999999,0.5735,14.313999999999998
2024-11-14,7.8965,1.7635,1.3975,1.1165,0.9705,0.597,0.5735,14.315
2024-11-15,7.8965,1.7635,1.398,1.1165,0.9674999999999999,0.599,0.5735,14.314499999999999
