date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,EVERBRIGHT SECURITIES INVESTMENT,BANK OF COMMUNICATIONS TRUSTEE LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,ZHESHANG INTERNATIONAL FINANCIAL
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,43.90189832421236,36.481164522030745,0.0,0.0,19.616937153756894,0.0,0.0
2024-03-12,0.0,0.0,43.903013963314145,36.481010255424245,0.0,0.0,19.615975781261614,0.0,0.0
2024-03-13,31.156820254056385,30.04783856847777,17.031736877314604,14.157743984778245,0.0,0.0,7.605860315372995,0.0,0.0
2024-03-14,29.06002683501962,28.069045098333977,15.911890839466125,13.237222765104956,0.0,0.0,7.1049781406839045,6.616836321391414,0.0
2024-03-18,29.047432320303024,28.074028410080516,15.914715798856516,13.239572870264062,0.0,0.0,7.106239541665067,6.618011058830817,0.0
2024-03-19,29.110113183428087,28.049461224711873,15.900789056053217,13.227395832986574,0.0,0.0,7.100020971905717,6.612219730914528,0.0
2024-03-21,29.110113183428087,28.05005249894338,15.900789056053217,13.227395832986574,0.0,0.0,7.100020971905717,6.611628456683022,0.0
2024-03-22,29.11681900716699,28.047399106247017,15.899284922057417,13.226144588430207,0.0,0.0,7.099349345933126,6.611003030165241,0.0
2024-03-25,29.116302584439534,28.048675274443546,15.89900292861294,13.225910006429325,0.0,0.0,7.099223430208903,6.610885775865752,0.0
2024-03-26,29.112560827307966,28.047348729505135,15.91303049132467,13.222328595840668,0.0,0.0,7.094158237954396,6.610573118067172,0.0
2024-03-28,29.10825877327111,28.05798139750355,15.910678973109906,13.220374691048514,0.0,0.0,7.093109912035329,6.609596253031588,0.0
2024-04-03,29.10825877327111,28.036110975274774,15.910678973109906,13.220374691048514,0.0,0.0,7.093109912035329,6.631466675260364,0.0
2024-04-05,29.11815294443145,28.06364960689099,15.91975373926784,13.228897948515906,0.0,0.0,7.0976828839395,6.571862876954315,0.0
2024-04-08,29.12297607623739,28.068298070729607,15.922390687797815,13.21452518033452,0.0,0.0,7.098858544364503,6.572951440536166,0.0
2024-04-09,29.123395362062745,28.06813202764722,15.922296496022376,13.21444700742615,0.0,0.0,7.098816549785737,6.572912557055776,0.0
2024-04-10,29.127013790294704,28.071619344976963,15.924274757363216,13.215497191208389,0.0,0.0,7.087865709391436,6.573729206765296,0.0
2024-04-11,29.126496816927368,28.071121103733148,15.925767011636276,13.215262630256374,0.0,0.0,7.087739907349751,6.573612530097085,0.0
2024-04-12,29.118311443147043,28.07119378427655,15.933835293272915,13.21498373499731,0.0,0.0,7.087907644397733,6.573768099908449,0.0
2024-04-15,29.137619266591113,28.119409150746037,15.944400730050734,13.223746350689147,0.0,0.0,6.996697455786369,6.578127046136601,0.0
2024-04-22,29.138481820075697,28.1202415624172,15.944872728064144,13.22117753546511,0.0,0.0,6.996904577230158,6.578321776747698,0.0
2024-04-23,29.13830930529337,28.12066712751551,15.944778326225883,13.221099259301694,0.0,0.0,6.996863151960388,6.578282829703154,0.0
2024-04-26,29.125054732448273,28.10901773968995,15.98078301404733,13.215622230180962,0.0,0.0,6.993964601508155,6.575557682125327,0.0
2024-04-29,29.114199856799623,28.098541539903444,16.012096883183645,13.210696782409412,0.0,0.0,6.991357958645579,6.573106979058303,0.0
