date,THE HONGKONG AND SHANGHAI BANKING,CHINA CITIC BANK INTERNATIONAL LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,MIRAE ASSET SECURITIES (HK) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,ABN AMRO CLEARING HONG KONG LTD,PHILLIP SECURITIES (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CMB WING LUNG BANK LTD
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,78.33333333333333,21.666666666666668,0.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,84.70588235294117,15.294117647058824,0.0,0.0
2024-04-10,0.0,0.0,0.0,46.478873239436616,0.0,0.0,44.36619718309859,9.15492957746479,0.0,0.0
2024-04-11,0.0,0.0,0.0,64.33566433566433,0.0,0.0,26.573426573426573,9.090909090909092,0.0,0.0
2024-04-19,0.0,0.0,0.0,63.44827586206897,0.0,0.0,26.20689655172414,10.344827586206897,0.0,0.0
2024-05-22,0.0,0.0,0.0,63.44827586206897,0.0,0.0,26.20689655172414,10.344827586206897,0.0,0.0
2024-06-17,0.0,0.0,0.0,39.6551724137931,0.0,0.0,53.879310344827594,6.4655172413793105,0.0,0.0
2024-06-19,0.0,0.0,0.0,50.43103448275862,0.0,0.0,43.103448275862064,6.4655172413793105,0.0,0.0
2024-06-20,0.0,0.0,0.0,74.52229299363057,0.0,0.0,15.92356687898089,9.554140127388536,0.0,0.0
2024-07-08,0.0,0.0,0.0,74.52229299363057,0.0,0.0,15.92356687898089,9.554140127388536,0.0,0.0
2024-07-10,0.0,0.0,0.0,85.40145985401459,0.0,0.0,3.64963503649635,10.948905109489052,0.0,0.0
2024-07-16,0.0,4.225352112676056,0.0,82.3943661971831,0.0,0.0,2.8169014084507045,10.56338028169014,0.0,0.0
2024-07-17,0.0,4.225352112676056,0.0,82.3943661971831,0.0,0.0,2.8169014084507045,10.56338028169014,0.0,0.0
2024-07-18,0.0,19.186046511627907,0.0,68.02325581395348,0.0,0.0,4.069767441860465,8.720930232558139,0.0,0.0
2024-08-01,0.0,5.14018691588785,0.0,18.22429906542056,0.0,1.557632398753894,72.74143302180686,2.336448598130841,0.0,0.0
2024-08-02,0.0,5.14018691588785,0.0,18.22429906542056,0.0,3.115264797507788,71.18380062305296,2.336448598130841,0.0,0.0
2024-08-06,0.0,4.984894259818732,0.0,17.673716012084594,0.0,6.042296072507553,69.03323262839879,2.2658610271903323,0.0,0.0
2024-08-07,0.0,4.932735426008969,0.0,17.48878923766816,0.0,5.9790732436472345,69.35724962630793,2.242152466367713,0.0,0.0
2024-08-08,0.0,10.344827586206897,0.0,36.677115987460816,0.0,12.539184952978054,35.73667711598746,4.702194357366771,0.0,0.0
2024-08-12,0.0,15.789473684210526,0.0,55.980861244019145,0.0,19.138755980861244,1.9138755980861244,7.177033492822966,0.0,0.0
2024-08-23,0.0,15.714285714285714,0.0,55.714285714285715,0.0,19.523809523809526,1.9047619047619049,7.142857142857142,0.0,0.0
2024-08-27,0.0,15.714285714285714,0.0,41.42857142857143,0.0,19.523809523809526,16.19047619047619,7.142857142857142,0.0,0.0
