date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,REALINK FINANCIAL TRADE LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-04,10.468818,0.6986276666666666,0.0,1.3021111111111112,0.0
2024-03-12,10.469040222222223,0.0,0.0,0.0,0.0
2024-03-26,10.469484666666666,0.0,0.0,1.3023333333333333,0.0
2024-04-19,17.712494333333336,0.0,0.0,0.0,0.0
2024-04-24,52.119125,0.0,0.0,0.0,2.3389333333333333
2024-04-26,52.11223611111111,0.0,0.0,1.3036666666666668,0.0
2024-05-22,52.10245833333333,0.0,0.0,1.3134444444444444,0.0
2024-05-23,0.0,0.0,0.0,1.3143333333333334,2.3342666666666667
2024-06-06,0.0,0.0,0.0,0.0,2.3342222222222224
2024-06-19,52.09890277777778,0.0,0.0,0.0,0.0
2024-06-21,52.09668055555555,0.0,0.0,0.0,0.0
2024-07-04,52.10890277777778,0.6864054444444444,0.0,0.0,0.0
2024-07-10,52.10668055555555,0.0,0.0,1.3165555555555555,0.0
2024-07-23,52.10445833333333,0.0,0.0,1.3187777777777778,0.0
2024-10-04,52.102902777777786,0.0,0.0,0.0,0.0
2024-10-18,52.10090277777778,0.0,0.0,0.0,0.0
2024-10-29,52.09156944444444,0.0,0.0,1.3267777777777778,0.0
2024-10-30,0.0,0.0,0.0,1.3265555555555555,0.0
2024-10-31,52.31334722222222,0.0,0.0,1.138111111111111,0.0
2024-11-11,0.0,0.0,0.0,1.1403333333333332,0.0
2024-11-12,52.31779166666667,0.0,0.0,0.0,0.0
2024-11-14,52.317569444444445,0.0,0.0,1.1405555555555555,0.0
2024-11-15,0.0,0.0,0.0,1.1423333333333334,0.0
2024-11-18,0.0,0.0,0.0,0.0,2.339777777777778
2024-11-28,52.31601388888889,0.0,0.0,1.143888888888889,0.0
2024-12-06,0.0,0.0,0.0,1.1434444444444445,0.0
2025-01-03,0.0,0.0,0.0,0.0,2.3395555555555556
2025-01-22,52.326236111111115,0.0,0.0,0.0,0.0
2025-02-04,52.305791666666664,0.0,0.0,0.0,0.0
2025-02-06,0.0,0.0,0.0,0.0,2.3391111111111114
2025-02-07,52.30068055555556,0.0,0.0,1.147,2.338222222222222
2025-02-10,52.28423611111111,0.0,5.8008,1.133888888888889,2.389333333333333
2025-02-11,52.30090277777778,0.0,0.0,1.1345555555555555,2.3313333333333333
2025-02-13,52.30023611111111,0.0,0.0,0.0,0.0
2025-02-20,0.0,0.0,0.0,1.1385555555555555,0.0
2025-03-18,52.30356944444444,0.0,0.0,1.1412222222222224,0.0
2025-04-09,0.0,0.0,0.0,0.0,2.329111111111111
2025-04-10,52.29956944444445,0.0,0.0,0.0,0.0
