date,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,QUAM SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-12,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-15,0.0,81.16504855772678,0.0,18.834951442273216,0.0,0.0
2024-03-18,0.0,81.18137400495557,0.0,18.818625995044425,0.0,0.0
2024-03-20,0.0,81.15792576409123,0.0,18.842074235908765,0.0,0.0
2024-03-21,0.0,81.14620672247746,0.0,18.853793277522545,0.0,0.0
2024-07-08,0.0,81.15792576409123,0.0,18.842074235908765,0.0,0.0
2024-07-10,73.14839891754485,21.792202472968867,0.0,5.059398609486281,0.0,0.0
2024-07-16,73.10587457616188,21.837668062511007,0.0,5.056457361327112,0.0,0.0
2024-07-19,73.0492523052939,21.89820668209932,0.0,5.052541012606776,0.0,0.0
2024-07-22,73.02097404861757,21.92844083903627,0.0,5.050585112346154,0.0,0.0
2024-07-23,72.95319547604329,22.000907399603594,0.0,5.045897124353117,0.0,0.0
2024-07-24,73.0175254391841,21.958902334926986,0.0,5.023572225888919,0.0,0.0
2024-07-25,69.79549061301734,21.09675094861708,0.0,4.783675690284275,0.0,4.324082748081313
2024-07-26,69.86636481190216,21.04724789914195,0.0,4.772450903351639,0.0,4.313936385604259
2024-07-29,69.91305204850258,21.013534597203837,0.0,4.765636592643745,0.0,4.307776761649835
2024-07-30,69.91499154610344,21.023206870236628,0.0,4.759537732504094,0.0,4.302263851155843
2024-07-31,5.060808296141384,1.520654935295159,0.0,0.34426786490420996,0.0,0.3111922362075132
2024-08-06,69.98522996103262,20.974124725900303,0.0,4.748425806554696,0.0,4.292219506512384
2024-08-07,70.04642008768671,20.93136546615017,0.0,4.738745346696651,0.0,4.283469099466462
2024-08-08,70.20370554322099,20.821455419940815,0.0,4.713862320270493,0.0,4.260976716567694
2024-08-09,70.30766096250498,20.774060284944206,0.0,4.703132323902866,0.0,4.215146428647949
2024-08-12,70.7303248630974,20.518294477035788,0.0,4.645228359919716,0.0,4.10615229994711
2024-08-14,70.81780294953445,20.456971584676783,0.0,4.631345196335278,0.0,4.093880269453486
2024-08-15,70.89546770409646,20.40252792252008,0.0,4.61901945241191,0.0,4.082984920971549
2024-08-16,70.95113084584919,20.363507580522523,0.0,4.610185462848904,0.0,4.07517611077939
2024-08-19,71.00350644332781,20.326791835388672,0.0,4.6018732212665325,0.0,4.067828500016987
2024-08-21,71.0270650667897,20.310277037345852,0.0,4.5981343623514945,0.0,4.064523533512944
2024-08-27,71.02455615657362,20.309559611368833,0.0,4.6015042709223515,0.0,4.064379961135188
2024-08-30,70.97190995550552,20.326272768977873,0.0,4.601623166089835,0.0,4.100194109426776
2024-09-02,65.55078519943012,18.952974296378812,7.455843524697701,4.253392465855447,0.0,3.7870045136379176
2024-09-03,65.45476018742451,18.96101872308235,7.4449214974207925,4.247161692854702,0.0,3.892137899217639
2024-09-04,65.45689102002228,18.96163598539706,7.441908433469485,4.247299956146129,0.0,3.892264604965042
2024-09-09,65.46115310145125,18.96287063060151,7.435881716999783,4.247576509737114,0.0,3.8925180412103466
2024-09-13,65.45049893839466,18.959784319008342,7.434671486312896,4.263160743814795,0.0,3.8918845124693013
2024-09-19,65.36114070029812,18.86563492479113,7.424521080195003,4.894470867482799,0.0,3.4542324272329483
2024-09-20,65.16836576426722,19.104931116223877,7.402623335434741,4.8800352058912955,0.0,3.4440445781828677
2024-09-25,65.11560456747736,19.1704248661231,7.3966300707275225,4.876084262902011,0.0,3.4412562327700056
2024-10-04,65.11771337499438,19.17104571171504,7.396869614984193,4.873003618410006,0.0,3.4413676798963873
2024-10-07,65.11771337499438,19.23581689923679,7.396869614984193,4.873003618410006,0.0,3.3765964923746337
2024-10-14,65.16836576426722,19.250779649540235,7.402623335434741,4.876794127373154,0.0,3.3014371233846505
2024-10-22,62.212967577891554,18.377753011610267,7.066912913309014,4.655630555901966,4.53501963984518,3.1517163014420166
2024-11-18,62.06510038536881,18.33407294218903,7.0501163415816555,4.644565097260044,4.524240848087016,3.381904385513449
2024-11-28,62.06318465562997,18.333507034318885,7.049898729470276,4.64750838167059,4.524101200802398,3.3817999981078866
2024-12-30,62.06510038536881,18.33407294218903,7.0501163415816555,4.644565097260044,4.524240848087016,3.381904385513449
2025-02-24,62.035803975694336,18.348232001982847,7.055561013867437,4.648152007551921,4.52773483422374,3.3845161666797208
2025-03-07,62.10408433624559,18.368427176644634,7.063326791354692,4.653268044979228,4.532718333221874,3.278175317553983
2025-03-19,62.16464173183102,18.38633814212632,7.070214207524253,4.657805424392781,4.537138165188095,3.1838623289375367
2025-04-24,62.158869273153364,18.38463083111797,7.069557684487715,4.660468164743289,4.536716857482561,3.1897571890151024
2025-04-25,62.1627174598163,18.385769003224294,7.069995352963869,4.660756689158941,4.536997720592019,3.1837637742445857
