date,CHINA CONSTRUCTION BANK (ASIA),CITIC SECURITIES BROKERAGE (HK) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,47.98180785470871,0.0,15.963904378779196,11.79572916754885,10.506169928646932,6.155115602797593,3.0280234570438624,1.3432443147541318,2.1315905876257,1.094414708095026
2024-03-04,48.06107457784451,0.0,15.933457260828524,11.792726750401199,10.594551524471376,6.003151070042707,3.0313534176309544,1.3401821660884894,2.1393147086835285,1.104188524008715
2024-03-05,39.95830347101324,16.88144096789463,13.267052989180971,9.798515630688788,8.772094664423562,4.976589071076639,2.5261422425366753,1.1142342034799375,1.7870480753256472,0.91857868437991
2024-03-06,39.918493092006166,16.864652907841126,13.185320772459566,9.750535943051277,8.811215534794972,5.034153602728644,2.5824818432997367,1.1504111047039731,1.789383371735715,0.9133518273788235
2024-03-07,39.900260332797814,16.85694998291126,13.135630547112125,9.676013542532937,8.868354284478851,5.128421923075326,2.596099860757323,1.149885654792466,1.7974446105795714,0.8909392609623279
2024-03-08,39.885964010173716,16.85091011265969,13.159887647815324,9.670501262509806,8.853562073996333,5.132830024129461,2.588339666350473,1.1492910285182039,1.8131633833335499,0.8955507905134494
2024-03-11,39.89025362339102,16.835042807556505,13.168024111816806,9.668436412329934,8.722292770094356,5.264820981556798,2.624013700093695,1.1506565844308134,1.7846108200946322,0.8918481886354446
2024-03-12,39.90802591131264,16.842442820248703,13.16639927268756,9.659880389920703,8.754285256951436,5.177192442900573,2.6228769760843647,1.1872019247893473,1.7838947367311644,0.8978002683735128
2024-03-13,39.902019634113735,16.839907982256218,13.235631829202307,9.630255127217865,8.52036384435569,5.243128448437118,2.6208745176577124,1.326731393634819,1.782179756865364,0.8989074662591748
2024-03-14,39.862098009428,16.817876480491112,13.156863552055478,9.503190131500437,8.676331365101955,5.376660036565459,2.6458298070788726,1.258490490513887,1.7849772961137185,0.9176828311510778
2024-03-15,39.850499580543655,16.808065839316768,13.139933717140586,9.524947423240473,8.708120896357753,5.355601793388237,2.671589382406279,1.258124315295202,1.7882895535846544,0.8948274987263891
2024-03-18,39.82521269216585,16.787247269490965,13.140895314731768,9.514961403240175,8.698805590346188,5.411344101562821,2.6685083397772003,1.25732598028156,1.7978036004791704,0.8978957079242997
2024-03-19,40.04796390025413,16.88088534296755,13.18069494711349,9.558401240461832,8.702185331414075,5.012393922800377,2.678923184511871,1.2639917575876536,1.7972399076600123,0.8773204652290025
2024-03-20,40.04727169009502,16.880593564829756,13.159780662304613,9.557649278912978,8.704691058049942,5.03640510788292,2.6775200233097225,1.2637747793411032,1.8057533768919383,0.8665604583820045
2024-03-21,40.04399755325391,16.868066140158195,13.165781843024318,9.548214034515842,8.716996821515131,5.0177249412966844,2.6790978900255573,1.2673383391753645,1.82636029649349,0.8664221405415127
2024-03-22,40.06893149216103,16.877945512529827,13.205901433582529,9.577201717438948,8.70687450886595,4.9936371152438515,2.6774638179844445,1.2681262904708739,1.7542779910346158,0.86964012068793
2024-03-25,40.020556410169625,16.857568827462124,13.125459896130263,9.608956368419058,8.690366929049107,5.123974294456174,2.672875373076989,1.2665941132841632,1.7745149437382317,0.8591328442142573
2024-03-26,39.99020724022517,16.844785066638025,13.166223374763911,9.606649777621366,8.711755381847823,5.107449376413909,2.6632315567777534,1.2659631809724898,1.7854368127411029,0.8582982319984573
2024-03-27,39.896007570819926,16.80510602284243,13.165239810445916,9.519685508782759,8.72516499025437,5.240910120279761,2.6542181348352774,1.2757312411008366,1.8601257500939845,0.8578108505447382
2024-03-28,39.94611748639878,16.82333265901023,13.140239363058564,9.595037121629217,8.76831238796965,5.2068395825921705,2.613575087483567,1.2954013491092415,1.732105765121516,0.879039197627072
2024-04-02,39.95332125129495,16.826366529155106,13.19228402708689,9.574088158118414,8.695233406764007,5.17460094142911,2.632445911901587,1.2954520603498376,1.7775586857823007,0.8786490281177972
2024-04-03,40.0247360892233,16.856442933343,13.22045964379885,9.604760043280889,8.374432752685665,5.288767581575105,2.6397897287082315,1.3161135679937506,1.7882848461199106,0.8862128132712926
