date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD,MERRILL LYNCH FAR EAST LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,SBI CHINA CAPITAL FINANCIAL SERVICES LTD
2025-01-22,25663500.0,0.0,4065000.0,641000.0,0.0,29818500.0,0.0,20142000.0
2025-01-23,25664000.0,19899693.0,0.0,639307.0,238500.0,29816000.0,0.0,20137000.0
2025-01-24,25677500.0,0.0,0.0,644307.0,243500.0,29812000.0,0.0,20132500.0
2025-02-04,25700000.0,19901013.0,4069500.0,643987.0,248500.0,0.0,0.0,0.0
2025-02-06,25718500.0,19900513.0,0.0,639487.0,258500.0,0.0,0.0,20127500.0
2025-02-17,25780000.0,0.0,4049000.0,639487.0,350000.0,29782500.0,0.0,20089500.0
2025-03-11,25845000.0,0.0,4000500.0,650469.0,417000.0,29775500.0,0.0,0.0
2025-03-17,25883000.0,0.0,3983000.0,643469.0,0.0,29766500.0,0.0,20029000.0
2025-03-21,25932000.0,0.0,3983500.0,637969.0,431500.0,29747500.0,0.0,20059000.0
2025-03-25,25939500.0,19906004.0,0.0,636996.0,0.0,29739500.0,0.0,20099000.0
2025-03-26,25966500.0,0.0,3984500.0,636496.0,0.0,29737500.0,0.0,20101000.0
2025-04-29,26109500.0,19904004.0,4046000.0,635496.0,438000.0,29730500.0,0.0,20105000.0
