date,EMPEROR SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,INTERACTIVE BROKERS HONG KONG LTD,ASTRUM CAPITAL MANAGEMENT LTD,BOCI SECURITIES LTD,GRANSING SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-06,0.0,70.44429945767264,0.0,0.0,0.0,0.0,0.0,29.55570054232735
2024-03-12,0.0,70.44424329602961,0.0,0.0,0.0,0.0,0.0,29.55575670397039
2024-03-13,0.0,70.42611549082038,0.0,0.0,0.0,0.0,0.0,29.57388450917962
2024-03-14,0.0,47.065034182197095,0.0,30.30287327592883,0.0,0.0,0.0,22.632092541874073
2024-03-15,0.0,47.08713568240358,0.0,30.31710335079444,0.0,0.0,0.0,22.59576096680199
2024-03-21,0.0,46.60564863037098,0.0,31.26203872191197,0.0,0.0,0.0,22.132312647717054
2024-03-22,0.0,31.915215222316935,0.0,21.408020774718793,15.556276369479882,0.0,15.964438049846732,15.156049583637657
2024-03-27,0.0,31.91593030390387,0.0,21.40842143920673,15.556567514914175,0.0,15.96473683428196,15.154343907693265
2024-03-28,0.0,31.91783515796103,0.0,21.40969916848009,15.557495985131522,0.0,15.965689665468158,15.149280022959202
2024-04-03,0.0,27.374717482952036,0.0,18.367088464489566,13.346563293403694,14.081985555727957,13.696747075921586,13.132898127505161
2024-04-05,0.0,27.367524336028364,0.0,18.389562587724622,13.343056269422338,14.07828528772912,13.693148035524008,13.128423483571552
2024-04-08,0.0,27.367860554762906,0.0,18.38978850934567,13.343220193109362,14.078458243938307,13.693316260199644,13.1273562386441
2024-04-09,0.0,27.367767873374653,0.0,18.38986381778626,13.343274835233421,14.078311140816826,13.693372336010059,13.127409996778777
2024-04-11,0.0,27.369355685700647,0.0,18.390930753627657,13.34404898007236,14.079127930701263,13.69416679266725,13.122369857230826
2024-04-15,0.0,27.353273735041938,0.0,18.395331351869835,13.34724195596205,14.08249679693502,13.69744354505805,13.124212615133105
2024-04-24,0.0,27.315901883426196,0.0,18.370266293389484,13.32905530882978,14.06330830834448,13.678779721236614,13.242688484773446
2024-04-26,0.0,27.31581844908522,0.0,18.37021018281081,13.329014596245944,14.063265353040801,13.67873794044621,13.24295347837101
2024-04-30,0.0,27.127237491559423,0.0,18.390271498184987,13.343570639033766,14.07862323945748,13.69367590103638,13.36662123072796
2024-05-02,0.0,27.097645320144114,0.0,18.506568388399003,13.329014596245944,14.172351917511358,13.67873794044621,13.215681837253374
