date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA CITIC BANK INTERNATIONAL LTD,BOCI SECURITIES LTD,BNP PARIBAS,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,BANK OF CHINA (HONG KONG) LTD
2024-03-01,43.66764173961249,49.44618045448534,1.7481850465655373,3.211417202755467,0.9706622850542967,0.0,0.0,0.6425012798145863,0.0,0.3134119917122773
2024-03-04,42.143399951793604,47.64345413438643,1.7115752952653132,3.0636698163139573,0.9168091513843065,1.7234411053336098,0.861628346497618,0.6134929438942319,1.0201511651333242,0.3023780899976021
2024-03-05,42.19841226061382,47.59493626416001,1.701683508135612,3.055535127597227,0.9407792371953314,1.7241787068795544,0.8619971078080216,0.6003692209429705,1.0183389972285086,0.30376956943893596
2024-03-06,42.16533120822524,47.622061639609534,1.7017722459263842,3.057880967343519,0.936245628111243,1.7244081363835873,0.8622036091972339,0.6034630974294992,1.0185204029461832,0.3081130648275746
2024-03-07,42.156084677928575,47.62475800680221,1.7023338137531634,3.052901847242458,0.9429724276265853,1.7233851519767511,0.8617721643016552,0.6093376449556629,1.0179276460121003,0.30852661940084175
2024-03-08,42.1950585223261,47.604495481365255,1.698690346589268,3.049241026088451,0.9437566679176789,1.7229116802685356,0.8614780820519247,0.598370068707462,1.017647987143713,0.30835013754161117
2024-03-11,42.15586556309589,47.62432713600034,1.70030978209256,3.0452076299051853,0.9451493677268321,1.7229843092604495,0.8615143974854852,0.6166042802157978,1.0176908858879004,0.31034664832956504
2024-03-12,42.154763997863185,47.62761512569859,1.7003386223385926,3.0303500780190245,0.9467116985837878,1.7227811957723431,0.8612981977421845,0.6208199445935491,1.0175709157032995,0.3177502236854441
2024-03-13,42.11652571226288,47.589935037779654,1.727776745282287,3.0742743995685275,0.9590931189612948,1.725132400183687,0.8622211208052625,0.6039489050582578,1.0189596685128424,0.32213289158531555
2024-03-14,42.14038602647537,47.481381589522464,1.738406232814355,3.1171013393083133,0.9750309252314059,1.7258948960053457,0.862562006718136,0.6184413449993378,1.019443960014018,0.32135167891125727
2024-03-15,42.22668294177522,47.3978962061948,1.6814393067704059,3.157046376263348,0.9771397480351536,1.7251165362587801,0.8621041209151757,0.6209440289950909,1.0296605646435963,0.3219701701484235
2024-03-18,42.185415335873415,47.43537391119749,1.6816659465840507,3.13950894770759,1.0486539615317731,1.7270926777040965,0.8651086602891749,0.5594207151159876,1.0327595187809546,0.32500032521546907
2024-03-19,42.23585201275177,47.424435372096255,1.639387253545474,3.1486961585987636,1.0606482982503262,1.726542177053274,0.8646089197333562,0.5418601283686039,1.032464684800637,0.32550499480154227
2024-03-20,42.25333090677621,47.45494475672493,1.5769654719771,3.145204947953611,1.0838805396143962,1.7289990387666476,0.8650223427723888,0.5320720933965627,1.0339338773800075,0.32564602463814885
2024-03-21,42.21325899832181,47.46978035414785,1.5513042613917525,3.1291633444250433,1.1497837174121124,1.7278548234742337,0.8646568564107834,0.535638214768006,1.0332496416301213,0.32530978801828414
2024-03-22,42.23291032929035,47.44193213957792,1.5775944221803422,3.0884203018096534,1.1782913957420542,1.7279613996384309,0.8644342160937158,0.5305197502565908,1.0333133737110618,0.3246226716998817
