date,STANDARD CHARTERED BANK (HONG KONG) LTD,REALINK FINANCIAL TRADE LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD
2024-03-07,91.59532215552765,8.40467784447234,0.0,0.0,0.0,0.0,0.0
2024-03-11,87.1500505106081,7.9967850042323345,0.0,4.85316448515957,0.0,0.0,0.0
2024-04-03,85.09129267667639,7.806924096819265,0.0,4.737939902719301,0.0,2.363843323785048,0.0
2024-04-05,85.0955981633778,7.802259270962492,0.0,4.738179635089108,0.0,2.363962930570591,0.0
2024-04-26,83.18210549769256,7.616922506280176,0.0,4.631635087825509,0.0,2.3108059421102247,2.258530966091537
2024-04-29,83.14509379359833,7.613533372520885,0.0,4.674069042592107,0.0,2.3097777538329884,2.2575260374556905
2024-05-07,83.14098341505284,7.618100609539852,0.0,4.673837974320532,0.0,2.3096635671685557,2.257414433918225
2024-05-09,83.07527258546253,7.69111503634512,0.0,4.67014398661377,0.0,2.3078381147522005,2.255630276826392
2024-05-14,83.11632967571417,7.7443376583329115,0.0,4.573608937403612,0.0,2.308978684199819,2.2567450443494814
2024-05-17,83.10400828814947,7.758013885076616,0.0,4.572930933351857,0.0,2.3086363950087825,2.256410498413266
2024-05-22,83.01786075627304,7.853634055545744,0.0,4.568190527666686,0.0,2.3062432092704905,2.254071451244032
2024-05-23,82.97280709995482,7.90364173659674,0.0,4.5657113781902385,0.0,2.3049916148787513,2.2528481703794574
2024-05-24,78.6843737457987,7.495143554756388,5.16848049866503,4.329733475983145,0.0,2.185858572767879,2.136410152028863
2024-05-31,78.6512555478766,7.5340787841884085,5.166305088835065,4.327911094188881,0.0,2.184938546422159,2.135510938488876
2024-06-03,78.61449023232095,7.577301727648924,5.1638901135683035,4.3258880239153505,0.0,2.1839172028394103,2.134512699707064
2024-06-18,78.57225258860822,7.633966125967734,5.161115681651948,4.316555888039577,0.0,2.1827438375165666,2.133365878215961
2024-06-28,78.53556107816667,7.63040123201862,5.158705554365476,4.361237947838726,0.0,2.1817245442461446,2.132369643364377
2024-07-29,78.50587493389743,7.6284241522055485,5.157368904784019,4.395355627535303,0.0,2.18115924716373,2.131817134413968
2024-08-07,78.47381839121985,7.662642521210597,5.155262980653635,4.397060856101488,0.0,2.180268607774612,2.1309466430398167
2024-08-29,78.47381839121985,7.779309104460657,5.155262980653635,4.280394272851428,0.0,2.180268607774612,2.1309466430398167
2024-09-09,78.47015645320366,7.783612532798842,5.155022413113029,4.280194530582817,0.0,2.1801668667269096,2.130847203574749
2024-09-10,78.47290287467425,7.783884955864438,5.155202836663544,4.276844378871849,0.0,2.1802431716224633,2.1309217823034654
2024-09-26,78.46924102209971,7.7881881204717995,5.154962274735948,4.276644804585364,0.0,2.18014143294862,2.1308223451585553
2024-10-07,78.55703641896545,7.80624516758223,5.160729909962735,4.2767581212210235,0.0,2.0660239641789193,2.1332064180896406
2024-10-08,78.5753901062067,7.808068981066871,5.16193563801743,4.277757322368897,0.0,2.0665066600569717,2.110341292283134
2024-10-16,78.57171868269978,7.812376635438461,5.161694447336518,4.277557444789301,0.0,2.066410102838246,2.1102426868976867
2024-10-24,78.57071740263287,7.812741684640708,5.16193563801743,4.277757322368897,0.0,2.0665066600569717,2.110341292283134
2024-10-31,78.56137199548519,7.822087091788381,5.16193563801743,4.277757322368897,0.0,2.0665066600569717,2.110341292283134
2024-11-01,78.55936828115603,7.822818165996416,5.1624180870063245,4.278157133571446,0.0,2.0666998015679483,2.1105385307018367
2024-11-06,78.54835625648752,7.83573906165072,5.161694447336518,4.277557444789301,0.0,2.066410102838246,2.1102426868976867
2024-11-14,78.52909264009817,7.852502740703986,5.160428565954763,4.282347568037094,0.0,2.0659033254412225,2.1097251597647686
2024-11-18,78.50140628370387,7.849734248389134,5.158609196092957,4.280837775971671,0.0,2.100431144527482,2.1089813513148865
2024-11-20,78.44956983024288,7.844550871385961,5.155202836663544,4.278011031093416,0.0,2.165076692742083,2.1075887378721103
