date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,27.901234567901234,0.0,0.0,72.09876543209876,0.0,0.0
2024-03-04,0.0,27.887462981243832,0.0,0.0,72.11253701875617,0.0,0.0
2024-03-08,0.0,28.766455387615796,0.0,0.0,71.23354461238421,0.0,0.0
2024-03-11,0.0,29.172714078374458,0.0,0.0,70.82728592162555,0.0,0.0
2024-03-13,0.0,29.12433478471214,0.0,0.0,70.87566521528785,0.0,0.0
2024-03-14,0.0,30.73286052009456,0.0,0.0,69.26713947990544,0.0,0.0
2024-03-18,0.0,30.79829948039679,0.0,0.0,69.20170051960322,0.0,0.0
2024-03-21,0.0,30.751062824752008,0.0,0.0,69.24893717524799,0.0,0.0
2024-03-25,0.0,26.85413005272408,0.0,0.0,51.528998242530754,0.0,21.616871704745165
2024-03-26,0.0,26.879831342234716,0.0,0.0,51.51089248067463,0.0,21.609276177090653
2024-03-28,0.0,26.84469430780042,0.0,0.0,51.54602951510893,0.0,21.609276177090653
2024-04-02,0.0,27.658095899930508,0.0,0.0,50.972897845726195,0.0,21.369006254343294
2024-04-05,0.0,17.261527829076265,0.0,37.70275670709318,31.732658302324413,0.0,13.303057161506143
2024-04-09,0.0,17.52911682250799,0.0,37.58082017077413,31.6300299860015,0.0,13.260033020716374
2024-04-11,0.0,18.251772949226837,0.0,37.25151594973069,31.352869925662496,0.0,13.143841175379983
2024-04-16,0.0,18.373889444029793,0.0,37.195869182601996,31.306034627632645,0.0,13.124206745735567
2024-04-17,0.0,19.09899487044991,0.0,36.865448850173884,31.027935188206,0.0,13.007621091170204
2024-04-18,0.0,13.707538296727584,29.793216319503813,25.7459105413259,21.669136510020866,0.0,9.084198332421836
2024-05-07,0.0,13.847520221029427,29.744886353372053,25.704146034562026,21.633985265442142,0.0,9.069462125594354
2024-05-16,0.0,13.639049557302254,29.224428348727642,25.700355979193446,22.3680412739757,0.0,9.068124840800959
2024-05-17,0.0,12.531300164120228,25.447783734924485,22.37912382972454,19.47744093132212,12.268091502886147,7.89625983702248
2024-05-20,0.0,12.564978683494413,25.437985445031586,22.3705070815976,19.469941432953036,12.263367857077538,7.893219499845825
2024-05-22,0.0,12.600145036257462,25.40537890321698,22.341832449475245,19.444984760938524,12.273284712326063,7.934374137785727
2024-05-23,0.0,13.248492920296826,25.22431601155457,22.18260330340544,19.306401306522847,12.185813613049193,7.852372845171125
2024-05-24,0.0,13.490708005174188,25.179270632422945,22.120668227891436,19.252496748682262,12.151790136363392,7.8050662494657805
2024-05-28,0.0,13.67335608168004,25.424497156563454,22.336106342060084,19.440001102069935,11.244957789760296,7.881081527866191
2024-05-31,0.0,13.70653100189938,25.414726642774177,22.327522682227208,19.43253040175828,11.240636405763276,7.878052865577681
2024-06-03,0.0,13.714070591609767,25.404963635624444,22.318945617179594,19.450675283524966,11.236318341865145,7.8750265301960845
2024-06-11,0.0,14.175639742609611,25.26906491404984,22.19955492566864,19.346627824819407,11.176211926450973,7.832900666401536
2024-06-12,0.0,14.230259730878805,25.252983279126607,22.185426775735625,19.33431532308131,11.169099207375806,7.827915683801846
2024-06-13,0.0,14.262998365989683,25.243344119646327,22.176958514205268,19.32693534160422,11.164835919853655,7.824927738700851
2024-06-17,0.0,14.415448788800656,25.19845849954229,22.13752528657055,19.29256978871207,11.144983534953813,7.81101410142062
2024-06-18,0.0,14.339291406372404,25.220881338867773,22.15722435556612,19.309737275070642,11.154900894584916,7.817964729538146
2024-06-19,0.0,14.39370335822377,25.204860955618674,22.143150016880522,19.297471669145548,11.147815266408964,7.812998733722522
2024-06-20,0.0,14.415448788800656,25.19845849954229,22.13752528657055,19.29256978871207,11.144983534953813,7.81101410142062
2024-06-21,0.0,14.46976406351592,25.182466580715424,22.123475954647446,19.280325975860244,11.137910496258963,7.8060569290020085
2024-07-11,0.0,14.70793453197093,25.112342608804067,22.061870154379516,19.226637309865612,11.10689548348063,7.784319911499245
2024-07-15,0.0,14.815755899044275,25.080597016812156,22.033980795771694,19.202332090996805,11.092854779361222,7.774479418013848
2024-07-16,0.0,14.826523044467876,25.07742687146144,22.031195737595823,19.199904948462667,11.09145266114285,7.773496736869348
2024-07-17,0.0,14.848049171684202,25.071088984358685,22.025627732870326,19.195052503649617,11.088649487789692,7.771532119647476
2024-07-19,0.0,14.858808155539883,25.06792124199925,22.022844785787097,19.19262720090568,11.087248432386264,7.770550183381826
2024-07-26,0.0,15.393312635229028,24.91054834281761,21.88458845018157,19.07213857496973,11.017644239325833,7.721767757476225
2024-07-29,0.0,15.710806088812962,24.817069490609008,21.802464757791217,19.00056882874752,10.97629963609345,7.692791197945838
2024-08-07,0.0,15.72134817126764,24.81396561001989,21.799737914995283,18.998192420171478,10.97492682600426,7.691829057541448
2024-09-02,0.0,15.731887617047338,24.810862505740793,21.79701175420864,18.995816605957796,10.973554359267917,7.6908671577775145
2024-09-13,0.0,15.742424427141117,24.807760177480517,21.794286275175452,18.99344138588352,10.972182235755621,7.689905498563769
2024-09-17,0.0,15.877982083510059,24.804658624947997,21.666537996667497,18.99106675972581,10.970810455338643,7.688944079809989
2024-09-23,0.0,16.73164307024413,24.552943677044638,21.44666835179393,18.7983475027373,10.859479877321911,7.610917520858091
2024-09-26,0.0,17.019182653753052,24.468158250033376,21.372609413766234,18.733433660181802,10.821980274397323,7.584635747868209
2024-09-27,0.0,17.658941950358546,24.279515474366846,21.207832468895695,18.589004035062118,10.738545780623442,7.526160290693353
2024-10-03,0.0,19.44328627455441,23.75337436497287,20.74825523743048,18.186177248182357,10.505839720395008,7.3630671544648765
2024-10-04,0.0,19.509274554344756,23.80467448697417,20.553098732107124,18.225453904089598,10.528529164475723,7.378969158008626
2024-10-07,0.0,20.26485117887566,23.77614709573584,20.52846801140512,17.60441536473586,10.51591183291744,7.310206516330073
2024-10-08,0.0,20.36330032429026,23.32608997886367,21.550738213725886,17.27118254987436,10.316856832889552,7.171832100356269
2024-10-09,0.0,21.271414012021484,23.059513224822417,21.28299601828622,17.056608724705,10.246737372057293,7.0827306481075905
2024-10-10,0.0,21.058687585116267,22.828904772948093,21.070153764628362,17.0354667036803,10.994887923124296,7.011899250502688
2024-10-14,0.0,21.40200898483805,22.729620237373457,20.97851816266614,16.961378243598926,10.94707037112171,6.981404000401717
2024-10-16,0.0,22.12013559075934,22.505820006187964,20.792899096165588,16.8113030489771,10.85021009874939,6.9196321591606145
2024-10-17,0.0,22.463160670608353,22.406692192301144,20.70131591318423,16.737256970257206,10.802419900169378,6.889154353479686
