date,THE HONGKONG AND SHANGHAI BANKING,CINDA INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,REALINK FINANCIAL TRADE LTD,FUBON SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,91.49493538246595,0.0,0.0,0.0,8.505064617534055,0.0,0.0
2024-03-06,91.21469416045746,0.0,0.0,0.0,8.78530583954254,0.0,0.0
2024-03-07,90.83692838654012,0.0,0.0,0.0,9.163071613459879,0.0,0.0
2024-03-08,90.633608815427,0.0,0.0,0.0,9.366391184573002,0.0,0.0
2024-03-13,90.24515686610664,0.0,0.0,0.0,9.754843133893365,0.0,0.0
2024-03-14,89.86002048480711,0.0,0.0,0.0,10.139979515192898,0.0,0.0
2024-03-18,89.67632027257241,0.0,0.0,0.0,10.323679727427598,0.0,0.0
2024-03-19,89.34147997284454,0.0,0.0,0.0,10.658520027155465,0.0,0.0
2024-03-20,89.03924221921515,0.0,0.0,0.0,10.960757780784844,0.0,0.0
2024-03-21,51.131617289946576,0.0,42.50607090820787,0.0,6.362311801845556,0.0,0.0
2024-05-08,51.12168592794018,0.0,42.49781489754297,0.0,6.38049917451685,0.0,0.0
2024-05-09,49.506254114549044,0.0,41.15489513777861,0.0,6.178877080786232,0.0,3.1599736668861094
2024-06-21,49.52022577610536,0.0,41.08184383819379,0.0,6.237064910630292,0.0,3.160865475070555
2024-06-27,49.35771214252227,0.0,40.94702297233943,0.0,6.544772620721988,0.0,3.150492264416315
2024-07-11,47.33706445206716,0.0,39.42047300956851,0.0,6.192453511464163,4.01697057230547,3.033038454594692
2024-07-12,47.31143991338867,0.0,39.39913388668351,0.0,6.243233489714904,4.014796102490076,3.0313966077228436
2024-10-08,47.3669948514136,0.0,39.44539788636979,0.0,6.1331406377021045,4.019510432661909,3.034956191852588
2024-10-09,47.44842562432139,0.0,39.43177705392689,0.0,6.053203040173724,4.026420557365182,3.040173724212812
2024-10-16,47.426969340689155,0.0,39.413945916613905,0.0,6.095685990775075,4.024599801031021,3.0387989508908384
2024-11-13,47.36271676300578,0.0,39.36054913294797,0.0,6.222904624277457,4.019147398843931,3.0346820809248554
2024-11-14,47.34133790737564,0.0,39.38792091721585,0.0,6.220095693779904,4.017333212963798,3.033312268664801
2024-11-18,47.35084393898366,0.0,39.38081054246773,0.0,6.2189728314829855,4.016607997111652,3.0327646899539666
2024-11-25,47.3081432049779,0.0,39.34529714131121,0.0,6.303544052664803,4.012985841825232,3.0300297592208496
2024-12-05,47.26551941616362,0.0,39.30984773403009,0.0,6.387962879538697,4.009370213532751,3.027299756734841
2024-12-06,47.3081432049779,0.0,39.34529714131121,0.0,6.303544052664803,4.012985841825232,3.0300297592208496
2024-12-12,47.35084393898366,0.0,39.38081054246773,0.0,6.2189728314829855,4.016607997111652,3.0327646899539666
2024-12-18,47.36794582392776,0.0,39.395033860045146,0.0,6.1851015801354405,4.018058690744921,3.033860045146727
2024-12-19,47.40647026929333,0.0,39.42707392011567,0.0,6.10880173504428,4.021326585938912,3.0363274896078076
2025-02-21,42.9120654396728,0.0,35.689161554192225,9.480572597137014,5.529652351738242,3.640081799591002,2.7484662576687118
2025-03-03,42.86764705882353,0.0,35.64542483660131,9.468954248366012,5.637254901960785,3.63562091503268,2.7450980392156863
2025-03-04,30.855630696853865,28.02117024404587,25.657159658923845,6.815642458100559,4.057630108791532,2.616877389003234,1.9758894442810937
2025-03-28,30.8374963267705,28.004701733764325,25.642080517190713,6.8116367910667055,4.114017043784895,2.615339406406112,1.9747281810167499
