date,HUARONG INTERNATIONAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,SOUTH CHINA SECURITIES LTD,YUE XIU SECURITIES CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CCB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,DBS BANK (HONG KONG) LTD
2024-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-25,0.0,0.0,70.57556433566864,0.0,0.0,0.0,0.0,14.377022664981862,15.047412999349497,0.0
2024-04-03,0.0,57.793825581690925,29.827262175037916,0.0,0.0,0.0,0.0,6.019442973525089,6.359469269746065,0.0
2024-04-05,0.0,57.80669109810598,29.833902038851512,0.0,0.0,0.0,0.0,6.010182461852088,6.349224401190422,0.0
2024-04-10,0.0,57.809755160607814,29.835483394552455,0.0,0.0,0.0,0.0,6.010501033532298,6.344260411307441,0.0
2024-04-19,0.0,57.77871749792283,29.832320850773353,0.0,0.0,0.0,0.0,6.00986392394029,6.379097727363538,0.0
2024-04-22,0.0,57.78943737937116,29.837855742454888,0.0,0.0,0.0,0.0,6.010978954380133,6.361727923793824,0.0
2024-04-24,0.0,58.789808435974756,30.354367558964114,0.0,0.0,0.0,0.0,4.3839706193568215,6.471853385704309,0.0
2024-04-26,0.0,58.78949140089286,30.354203867336928,0.0,0.0,0.0,0.0,4.383946977972008,6.472357753798209,0.0
2024-04-29,0.0,58.79519855557721,30.35715058677033,0.0,0.0,0.0,0.0,4.384372561914565,6.463278295737895,0.0
2024-05-06,0.0,58.79488146235834,30.35698686512585,0.0,0.0,0.0,0.0,4.384348916194463,6.463782756321352,0.0
2024-05-16,0.0,58.79519855557721,30.35715058677033,0.0,0.0,0.0,0.0,4.384372561914565,6.463278295737895,0.0
2024-05-17,0.0,58.876169118773525,30.39895732678368,0.0,0.0,0.0,0.0,4.460618859072209,6.264254695370579,0.0
2024-05-20,0.0,48.54322155917753,25.1083755411116,0.0,17.379317615498667,0.0,0.0,3.700030671400888,5.2690546128113125,0.0
2024-05-21,0.0,48.55260117446426,25.119152913430536,0.0,17.366505573124357,0.0,0.0,3.7038402740581318,5.257900064922719,0.0
