date,STOCKWELL SECURITIES LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD
2024-04-11,98.89632589125668,0.0,0.0,1.103674108743317,0.0
2024-05-03,98.89644753652307,0.0,0.0,1.1035524634769347,0.0
2024-05-06,98.89632589125668,0.0,0.0,1.103674108743317,0.0
2024-06-07,97.80718247457105,0.0,1.1012981593302278,1.0915193660987228,0.0
2024-06-21,97.80936280751007,0.0,1.0991178263912076,1.0915193660987228,0.0
2024-07-03,97.80931504328437,0.0,1.099141791341731,1.091543165373901,0.0
2024-07-25,97.89400321037246,0.0,1.0566508327977822,1.0493459568297552,0.0
2024-08-16,97.79970456838463,0.0,1.1519602813259493,1.0483351502894216,0.0
2024-08-20,97.79120695868046,0.0,1.156211932268896,1.052581109050641,0.0
2024-08-21,82.98358670867523,15.04903874263898,0.9816629813332269,0.8936769123096893,0.0920346550428686
2024-08-22,82.93341294607121,15.05429649664946,0.981889939859707,0.8938835286322194,0.1365170887873981
2024-08-23,82.92807760740935,15.072080958855683,0.9694408163153518,0.8938835286322194,0.1365170887873981
2024-08-26,82.96231573734293,15.08509691112782,0.9022128580821934,0.894233404756409,0.15614108869063628
2024-08-27,82.94452431409705,15.08509691112782,0.9022128580821934,0.894233404756409,0.17393251193653272
2024-08-29,82.93714646471923,15.083755103771876,0.902132606967021,0.8941538634072547,0.18281196113460615
2024-09-02,82.93866405696313,15.082413535100095,0.9020523701271245,0.8940743362071214,0.18279570160253356
2024-09-04,82.94044288280928,15.08063470925394,0.9020523701271245,0.8940743362071214,0.18279570160253356
2024-11-01,82.93153410433474,15.079014871823485,0.9019554790995562,0.8939783021141725,0.19351724262803463
2024-11-04,82.94194428079001,15.068781604974484,0.9018752737631287,0.8938988061388816,0.19350003433349108
2024-11-11,82.94528073692484,15.065834239245483,0.9016988722236142,0.8937239647498776,0.1934621868561896
2024-11-18,82.94380588926043,15.065566354077783,0.9034609362815866,0.8937080734696224,0.19345874691057843
2025-02-03,82.81018146303202,15.041295371594082,1.0631077963652715,0.8922682886990451,0.19314708030958708
2025-02-18,82.81018146303202,15.034194441260368,1.0631077963652715,0.8922682886990451,0.20024801064330044
2025-02-21,82.82083285853258,15.023543045759796,1.0631077963652715,0.8922682886990451,0.20024801064330044
2025-03-03,82.8279337888663,15.023543045759796,1.0631077963652715,0.8922682886990451,0.19314708030958708
