date,BNP PARIBAS,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,HUAFU INTERNATIONAL SECURITIES LTD,HANG SENG SECURITIES LTD,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,ARTA GLOBAL MARKETS LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,18.305864688975593,0.0,0.0,0.0,0.0,1.9278980938040475,0.6602051320221936,0.0,0.8585924701659337,21.75256038496777
2024-03-04,0.0037928181449026844,18.305864688975593,0.0,0.0,0.0,0.0,1.9278667510488858,0.6602051320221936,0.0,0.858937240472715,21.75666663066429
2024-03-05,0.008494231419195126,18.305864688975593,0.0,0.0,4.662600328655533,0.0,1.9278249607086697,0.6651259445826196,0.0,0.8592297728542265,26.429139927195838
2024-03-06,0.02056119215654573,18.34200288567732,0.0,0.0,4.541554608220085,0.0,1.927793617953508,0.6974089823994277,0.0,0.8656236949072643,26.39494498131415
2024-03-07,0.02056119215654573,18.345387903234812,0.0,0.0,4.328235816587855,0.0,1.927793617953508,0.8063250565872028,0.0,0.8859024574970457,26.31420604401697
2024-03-08,0.018492570315857056,18.345387903234812,0.0,0.0,4.324223943927126,0.0,1.927793617953508,0.8002759048409464,0.0,0.8962142239453271,26.312388164217577
2024-03-11,0.02056119215654573,18.35096691365364,0.0,0.0,4.284544015892097,0.0,1.927793617953508,0.8099921589411508,0.0,0.9004141531370283,26.29427205173397
2024-03-12,0.02056119215654573,18.350998256408797,0.0,0.0,4.287929033449588,0.0,1.927793617953508,0.8108070705753615,0.0,0.905648393249074,26.30373756379288
2024-03-13,0.019432852970715543,18.35244002314625,0.0,0.0,4.268684581780151,0.0,1.927793617953508,0.811151840882143,0.0,0.9072155310071714,26.286718447739936
2024-03-14,0.019432852970715543,18.35244002314625,0.0,0.0,4.257525087833004,0.0,1.927793617953508,0.8178591904868001,0.0,0.9072050834221175,26.28225585581239
2024-03-15,0.019088082663934098,18.35244002314625,0.0,0.0,4.257431059567518,0.0,1.927793617953508,0.8223412044749588,0.0,0.9072050834221175,26.286299071228285
2024-03-18,0.017395573885188816,18.35244002314625,0.0,0.0,4.251256536800614,0.0,1.927793617953508,0.8232814871298174,0.0,0.9015633874929665,26.273730626408344
