date,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,SINOLINK SECURITIES (HONG KONG) CO LTD,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,CMB INTERNATIONAL SECURITIES LTD,UBS SECURITIES HONG KONG LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-03-01,49.07659245919006,0.0,0.0,40.285411824851195,0.0,9.363292640087582,0.0,0.0,0.15332298690464755,1.1213800889665135
2024-03-04,49.04895450758236,0.0,0.0,40.28777087876833,0.0,9.362178090133542,0.0,0.0,0.15326809770926392,1.1478284258065101
2024-03-05,41.87177529219092,0.0,0.0,34.474513087026885,0.0,8.003354161661079,14.506951467954545,0.0,0.13294348641020942,1.010462504756359
2024-03-06,39.855492616627366,0.0,0.0,33.08538622982693,0.0,7.654771883017131,13.895034078762214,4.342684817962426,0.1708496761717965,0.9957806976321393
2024-03-07,39.85707486283574,0.0,0.0,33.11629158895798,0.0,7.654202288896517,13.899739031320635,4.290088164816986,0.185569795667953,0.9970342675041932
2024-03-08,39.873666582829095,0.0,0.0,33.14598874506332,0.0,7.647826807099088,13.902009243568111,4.290788855000634,0.14252265563324276,0.9971971108065127
2024-03-11,39.80821082802813,0.0,0.0,33.196475393625704,0.0,7.656655187784025,13.909722290077553,4.293169450022617,0.13709942953393278,0.9986674209280424
2024-03-12,39.62689390448107,0.0,0.0,33.17404744887488,0.0,7.931991043175561,13.879619848724781,4.254138850910245,0.13680272860410994,0.9965061752293518
2024-03-13,39.679494030181466,0.0,0.0,33.084527389854536,0.0,7.944272705343673,13.892750046968944,4.257705324622072,0.14288569635230838,0.9983648066770052
2024-03-14,39.61243690889706,0.0,0.0,33.29449809460475,0.0,7.923310795630288,13.923588571584888,4.083563562569332,0.16064418685656162,1.0019578798571263
2024-03-15,39.401101890044785,0.0,0.0,33.147631733041,0.0,7.704893486078787,14.542193249312158,4.064037760606936,0.14251813480354328,0.9976237461127961
2024-03-18,39.40636980190692,0.0,0.0,33.13690415584886,0.0,6.975781654771329,15.47721313391555,4.069676651725293,0.14225845884716395,0.7917961429848803
2024-03-19,39.4398352964334,0.0,0.0,32.85967388929738,0.0,7.119561725992778,15.518458096409168,4.080521863935606,0.18758430064870482,0.7943648272829571
2024-03-20,37.790848280495695,0.0,0.0,31.32571875013396,0.0,6.778254232010543,14.8608148827294,3.9075969834212123,0.18402686789372502,5.152740003315462
