date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,NANYANG COMMERCIAL BANK LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-04-03,99.12005305771626,0.0,0.0,0.0,0.0,0.0,0.8799469422837387
2024-04-10,95.57783262138683,0.0,0.0,0.0,3.5736668081350293,0.0,0.8485005704781455
2024-04-24,58.51354781725811,37.22984631715535,0.0,0.0,3.439872305767406,0.0,0.8167335598191378
2024-05-08,57.59337384520745,36.644376168063005,0.0,0.0,3.385777466520426,1.5725827716419172,0.8038897485672044
2024-05-09,57.60217396530919,36.649975334942845,0.0,0.0,3.386294804650733,1.5575433142341655,0.8040125808630681
2024-05-13,57.62043101240376,36.649975334942845,0.0,0.0,3.368037757556163,1.5575433142341655,0.8040125808630681
2024-05-16,57.61991311974288,36.649645924820184,0.0,0.0,3.368906286013387,1.5575293150287228,0.8040053543948248
2024-05-17,57.61968457107769,36.6498435701832,0.0,0.0,3.3689244539571437,1.5575377145217904,0.8040096902601823
2024-05-23,57.62538191055761,36.6534674463335,0.0,0.0,3.3593697324102703,1.5576917212849037,0.8040891894137209
2024-05-24,57.63315282582864,36.658410250710176,0.0,0.0,3.346337521175396,1.5579017795957237,0.8041976226900674
2024-05-27,57.63325645219092,36.65847616377436,0.0,0.0,3.3472425549513978,1.556825760418674,0.8041990686646516
2024-05-28,57.63273832410595,36.6581466008237,0.0,0.0,3.34811147180955,1.5568117644170678,0.8041918388437282
2024-05-30,57.63242745172664,36.65794886589758,0.0,0.0,3.3486328144253084,1.556803366936896,0.8041875010135708
2024-06-05,57.633463706033425,36.65860799061381,0.0,0.0,3.3486930241948634,1.5550333185284786,0.8042019606294196
2024-06-11,57.63460362881227,36.65933305517878,0.0,0.0,3.3485794498497756,1.5532659993517235,0.8042178668074415
2024-06-14,51.7889818054216,32.94113975036405,10.144171488118424,0.0,3.0089479112090927,1.3941094238375762,0.7226496210492609
2024-06-20,51.78981857614649,32.941671990628805,10.144335390659728,0.0,3.008996527718571,1.3925162177219312,0.7226612971244831
2024-06-24,51.791073782934916,32.942470383275115,10.144581254402766,0.0,3.0066457999245384,1.392549967517886,0.7226788119447861
2024-06-25,51.79023697164899,32.94193811721091,10.144417343916565,0.0,3.0082129644478095,1.3925274674721462,0.7226671353035858
2024-07-24,51.786680825344355,32.946542619775556,10.143720783437997,0.0,3.0080064072655572,1.3924318503887516,0.7226175137877761
2024-07-26,51.78660293017526,32.946595849392445,10.143737171997408,0.0,3.0080112671086825,1.3924341000516312,0.7226186812745701
2024-08-06,51.790797143104975,32.94926420434301,10.144558716396828,0.0,3.0001760531367903,1.3925468737184823,0.7226570092999179
2024-08-08,51.791299239059306,32.94958363739228,10.144657064794055,0.0,3.000205138926963,1.3915909045885682,0.7226640152388253
2024-08-09,51.79046241787718,32.949051252417675,10.14449315185806,0.0,3.0001566629233123,1.3931841761743375,0.7226523387494457
2024-08-14,51.79062977995024,32.94915772803626,10.144525934021507,0.0,3.0001663579987214,1.3928655259761387,0.7226546740171353
2024-08-22,51.790797143104975,32.94926420434301,10.144558716396828,0.0,3.0001760531367903,1.3925468737184823,0.7226570092999179
2024-08-23,51.793307720233784,32.95086143152787,10.14505047745285,0.0,3.00032148772743,1.3877668427051504,0.7226920403529158
2024-08-26,51.79305665156786,32.95070170184106,10.145001299201812,0.0,3.0001453599100394,1.3884064503844447,0.722688537094784
2024-08-27,51.792219773594205,32.95016928073574,10.144837375141739,0.0,3.0017126943568417,1.3883840163584977,0.7226768598129705
2024-08-30,51.79383558472364,32.95016928073574,10.144837375141739,0.0,3.0017126943568417,1.3867682052290708,0.7226768598129705
2024-09-02,51.79425403338417,32.950435489137654,10.144919336509595,0.0,3.0017369455566634,1.3859714970052068,0.7226826984067062
2024-09-03,51.7908806145835,32.95240998463339,10.145527252527614,0.0,3.0019168192363397,1.386539325153461,0.7227260038656983
2024-09-05,51.7918849137227,32.953048978923306,10.145723988790166,0.0,3.0019750306905912,1.384627069318177,0.7227400185550596
2024-09-09,51.79180122064011,32.95299572845261,10.145707593810199,0.0,3.001970179649842,1.3847864268037176,0.7227388506435198
2024-09-10,51.79163383528639,32.95288922802752,10.145674804009222,0.0,3.0019604776153788,1.3851051402297214,0.7227365148317637
2024-09-12,51.791550143015264,32.952835978073125,10.145658409188211,0.0,3.001955626621664,1.3852644961701899,0.7227353469315474
