date,KOALA SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,MINERVA HOLDING FINANCIAL SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,ICBC (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,50.846719856876334,0.0,0.0,17.449934356513957,0.0,8.796475161324503,22.906870625285208,0.0,0.0
2024-03-04,0.0,50.82116865348906,0.0,0.0,17.44451561039428,0.0,8.838956140686669,22.895359595429987,0.0,0.0
2024-03-05,0.0,50.77014320843494,0.0,0.0,17.430347708022023,0.0,8.83008165623773,22.969427427305305,0.0,0.0
2024-03-06,0.0,50.75031392809608,0.0,0.0,17.43953098287627,0.0,8.833037837023253,22.97711725200439,0.0,0.0
2024-03-07,0.0,49.656307878325045,0.0,0.0,17.14989246531248,0.0,8.721819017192491,22.4701874552867,2.001793183883289,0.0
2024-03-08,0.0,49.60106192097172,0.0,0.0,17.1340843202564,0.0,8.90190621079702,22.36338149263963,1.999566055335231,0.0
2024-03-11,0.0,45.305749598532685,8.707540667196112,0.0,15.653309742114041,0.0,8.080215113789722,20.426775614124633,1.826409264242804,0.0
2024-03-12,0.0,45.29029609372018,8.705719238374128,0.0,15.653023670779284,0.0,7.979912266225286,20.524103678821294,1.8469450520798265,0.0
2024-03-13,0.0,45.27145853301746,8.710144030890893,0.0,15.660979519125268,0.0,7.9839681581181,20.5345353155287,1.838914443319578,0.0
2024-03-14,0.0,40.7433572299408,7.846200213899887,0.0,12.443178690362874,11.64787696120532,7.275542562777476,18.398101495758684,1.645742846054959,0.0
2024-03-15,0.0,40.73348381368129,7.844298829084441,0.0,12.445548464823654,11.645054308738844,7.292627505276822,18.393643048374802,1.645344030020151,0.0
2024-03-18,0.0,40.756608067835685,7.83838929847607,0.0,12.449625308834609,11.63628146538177,7.289824126736745,18.379786131528288,1.6494856012068293,0.0
2024-03-19,0.0,40.74564525435826,7.836280909090486,0.0,12.446276577755286,11.633151509545812,7.322831014052829,18.366772816716736,1.649041918480592,0.0
2024-03-20,0.0,39.557698017582005,7.607310413557562,0.0,12.082605322397084,11.293239184215526,7.11930807556663,17.827497686798345,1.6008580989353978,2.911483200947452
2024-03-21,0.0,39.59802384190122,7.615065441748092,0.0,12.09492254619845,11.304751714068379,7.139635085344967,17.730660109492103,1.6024900422913781,2.914451218955415
2024-03-22,0.0,39.56340852245517,7.607906393369937,0.0,12.083551910410662,11.294123930887373,7.132922996871223,17.71137978943202,1.6949951611857528,2.911711295387865
2024-03-25,0.0,39.570209476154325,7.6077077230570005,0.0,12.083236364593548,11.293828999927438,7.127513997272201,17.700471814721393,1.705396364337286,2.9116352599368063
2024-03-26,0.0,39.56504353484671,7.606714527112297,0.0,12.081658882677432,11.292354576149446,7.1396386187521905,17.698160995554087,1.705173722667176,2.9112551422406625
2024-03-27,0.0,39.56504353484671,7.606714527112297,0.0,12.08426990818172,11.292354576149446,7.137027593247902,17.698160995554087,1.705173722667176,2.9112551422406625
2024-03-28,0.0,39.58805282742167,7.632226943979021,0.0,12.015442066299816,11.291470106656563,7.1469118721898,17.69416397264751,1.7050401655664318,2.9266920452391925
2024-04-03,0.0,39.63596894592744,7.623867032087242,0.0,12.025752678480522,11.279102065727855,7.133867624616038,17.674782781168823,1.703172560520001,2.923486311472081
2024-04-05,0.0,39.64393212136279,7.6208857858638845,0.0,12.036691762127647,11.274691471957688,7.131077988356078,17.667871212644183,1.7025065498534446,2.92234310783429
