date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,ABCI SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,FORTHRIGHT SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,5.4929,3.7586,0.0,0.0,0.0,0.0,0.25279999999999997,0.0,0.17051,0.0,9.67481
2024-03-04,5.476,3.6632,0.0,0.0,0.0,0.5326827000000001,0.25079999999999997,0.0,0.17131,0.0,10.0939927
2024-03-05,5.466200000000001,3.6672000000000002,0.0,1.3228,0.0,0.5339827,0.25079999999999997,0.0,0.17131,0.0,11.4122927
2024-03-06,5.4675,3.6688,0.0,1.3228,0.0,0.5340827,0.25079999999999997,0.0,0.17131,0.0,11.4152927
2024-03-07,5.4679,3.7123999999999997,0.0,1.3276,0.0,0.4666,0.25079999999999997,0.0,0.17031,0.0,11.395610000000001
2024-03-08,5.487,3.7031,0.0,1.3263,0.0,0.4686,0.249,0.0,0.17031,0.0,11.404309999999999
2024-03-11,5.4794,3.734,0.0,1.3263,0.0,0.4681,0.242,0.0,0.17031,0.0,11.42011
2024-03-12,5.4693,3.7533999999999996,0.0,1.3213000000000001,0.0,0.4681,0.241,0.0,0.17031,0.0,11.42341
2024-03-13,5.4701,3.7184000000000004,0.0,1.3213000000000001,5.5503,0.4684,0.241,0.0,0.17031,0.0,16.93981
2024-03-14,5.4334,3.6146,0.0,1.3203,5.5503,0.4709,0.241,0.0,0.16891,0.0,16.79941
2024-03-15,5.4102,3.6298999999999997,0.0,1.3244,5.5503,0.4703,0.2407,0.0,0.17201,0.0,16.79781
2024-03-18,5.4143,3.6182,0.0,1.3214,5.5503,0.4719,0.2407,0.0,0.16991,0.0,16.78671
2024-03-19,5.474600000000001,3.5465000000000004,0.0,1.3214,5.5503,0.47159999999999996,0.2407,0.0,0.17160999999999998,0.0,16.77671
2024-03-20,5.4658999999999995,3.5603999999999996,0.0,1.3214,5.5503,0.4731,0.2407,0.0,0.17011,0.0,16.78191
2024-03-21,5.4965,3.567,2.4265,1.3214,5.5503,0.4731,0.2407,0.0,0.17011,0.0,19.24561
2024-03-22,5.5053,3.5742000000000003,2.4265,1.3214,5.5503,0.4713,0.2407,0.0,0.17171,0.0,19.26141
2024-03-25,5.5207,3.5467,2.4265,1.3214,5.5503,0.4713,0.23969999999999997,0.0,0.16881000000000002,0.1591,19.40451
2024-03-26,5.5407,3.5624999999999996,2.4265,1.3214,5.5503,0.4712,0.23969999999999997,0.0,0.16861,0.1591,19.44001
2024-03-27,5.5649,3.5724,2.4265,1.3324,5.5503,0.4712,0.2408,0.0,0.16861,0.1591,19.48621
2024-03-28,5.569500000000001,3.5791000000000004,2.4265,1.3324,5.5503,0.47000000000000003,0.2408,0.0,0.16861,0.1591,19.49631
2024-04-02,5.5807,3.5781,2.4265,1.3334000000000001,5.5503,0.4693,0.2408,0.0,0.16851,0.1591,19.506709999999998
2024-04-03,5.5814,3.5862,2.4265,1.3308,5.5503,0.4687,0.2408,0.0,0.16831000000000002,0.1591,19.51211
2024-04-05,5.5453,3.618,2.4265,1.3308,5.5503,0.4672,0.23869999999999997,0.0,0.16871,0.1591,19.50461
2024-04-08,5.5907,3.5557,2.4265,1.3308,5.5503,0.46759999999999996,0.23869999999999997,0.0,0.16871,0.1591,19.48811
2024-04-10,5.6037,3.5395000000000003,2.4265,1.3308,5.5503,0.46690000000000004,0.23869999999999997,0.0,0.16811,0.1591,19.483610000000002
2024-04-11,5.6065,3.5326000000000004,2.4265,1.3258,5.5503,0.46430000000000005,0.23909999999999998,0.0,0.16821,0.1591,19.47241
2024-04-12,5.6085,3.5211,2.4265,1.3258,5.5503,0.4638,0.2382,0.0,0.16591,0.1591,19.45921
2024-04-15,5.589700000000001,3.5431,2.4265,1.3258,5.5503,0.4632,0.2382,0.0,0.16621,0.1591,19.46211
2024-04-16,5.6028,3.5506999999999995,2.4265,1.3258,5.5503,0.4627,0.2382,0.0,0.16621,0.1591,19.48231
