date,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD
2024-03-07,0.0,51.50060024009604,0.0,24.88995598239296,23.609443777511004,0.0,0.0
2024-03-14,0.0,45.57379963321413,0.0,22.02556594550053,21.140294002353407,0.0,11.26034041893193
2024-03-15,0.0,45.57379963321413,0.0,22.02556594550053,21.211115757805178,0.0,11.18951866348016
2024-03-19,0.0,45.58994343233825,0.0,22.033368154556637,21.21862946073863,0.0,11.15805895236648
2024-03-21,0.0,45.30109387886129,0.0,22.245758610287748,21.717773833144843,0.0,10.735373677706123
2024-03-22,0.0,45.20562235707805,0.0,22.19887593603211,21.88275270276583,0.0,10.712749004124003
2024-04-16,0.0,45.30109387886129,0.0,22.245758610287748,21.717773833144843,0.0,10.735373677706123
2024-04-22,55.18344128448509,20.209585947971668,0.0,9.969850726886259,9.795219583580925,0.0,4.841902457076062
2024-04-26,55.226089934148995,20.190353959268144,0.0,9.960363147227332,9.78589818764214,0.0,4.837294771713394
2024-04-29,55.240288118375304,20.183951427867903,0.0,9.957204632129647,9.782794996853491,0.0,4.8357608247736525
2024-05-02,55.379575093673886,20.17115853912642,0.0,9.950893607675878,9.665676911914469,0.0,4.832695847609354
2024-05-07,49.142838994596815,17.88928625682635,11.509289429961337,8.600348145465613,8.572242432571937,0.0,4.285994740577946
2024-05-08,49.157128746018365,17.884259758125573,11.604397926324998,8.49958928017751,8.56983381968311,0.0,4.284790469670445
2024-05-16,49.21936179128655,17.709967560797306,11.61908912249291,8.58068325026716,8.58068325026716,0.0,4.290215024888905
2024-05-17,49.296827520597425,17.707476704260245,11.617454930674315,8.509152824525376,8.579476401587568,0.0,4.289611618355072
2024-05-20,49.193044594723,17.670197758846292,11.592997099926162,8.701765377668547,8.561414323190023,0.0,4.28058084564598
