date,GRANSING SECURITIES CO LTD,TIGER FAITH SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,PLUTUS SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,EDDID SECURITIES AND FUTURES LTD,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,0.0,28.680337673390806,0.0,22.019365540737095,22.463821897135,26.836474888737104,0.0,0.0,0.0
2024-03-04,0.0,0.0,28.49671440947384,0.0,22.036760017922806,22.544690545941393,26.921835026661967,0.0,0.0,0.0
2024-03-05,0.0,0.0,28.53202230242813,0.0,22.064063922246365,22.448722156896654,26.955191618428852,0.0,0.0,0.0
2024-03-07,0.0,0.0,25.3293791548648,0.0,19.3619441489383,19.699494442572956,23.639243583299884,0.0,0.0,11.969938670324058
2024-03-08,0.0,0.0,25.33306932241605,0.0,19.360987295798218,19.69852090794387,23.63807534914541,0.0,0.0,11.969347124696451
2024-03-11,0.0,0.0,25.25894041784526,0.0,19.360987295798218,19.69852090794387,23.712204253716198,0.0,0.0,11.969347124696451
2024-03-12,0.0,0.0,25.046437558075674,0.0,19.360987295798218,19.69852090794387,23.924707113485788,0.0,0.0,11.969347124696451
2024-03-13,0.0,0.0,25.234416137777743,0.0,19.475225057623707,19.813025771602856,23.795264417787017,0.0,0.0,11.682068615208674
2024-03-14,0.0,0.0,22.1737599260044,0.0,17.059597439596907,17.35549872845194,20.774478689730724,0.0,12.403592825651002,10.233072390565026
2024-03-15,0.0,0.0,22.177620588550752,0.0,17.05590281029665,17.351740015249607,20.76997952156826,0.0,12.41390086962191,10.230856194712823
2024-03-18,0.0,0.0,21.981136763216405,0.0,17.08210737205024,17.378098425025108,20.902124131471027,0.0,12.420356629955599,10.236176678281621
2024-03-19,0.0,0.0,21.80345545762388,0.0,17.08210737205024,17.378098425025108,21.079805437063552,0.0,12.420356629955599,10.236176678281621
2024-03-20,0.0,0.0,21.94096329633967,0.0,17.09470150644059,17.41259521230915,20.878502682307293,0.0,12.429513792896145,10.24372350970715
2024-03-22,0.0,0.0,21.915237469528865,0.0,17.105087098988943,17.37977873289462,20.89118705832851,0.0,12.458762732119963,10.2499469081391
2024-03-25,0.0,0.0,21.9744565680852,0.0,17.144518561589113,17.419843427750568,20.939346419131315,0.0,12.487483266185237,10.034351757258566
2024-03-26,0.0,0.0,21.940926692539957,0.0,17.13830198402754,17.43121605150984,20.953016766375107,0.0,12.495635776250873,10.040902729296679
2024-03-27,0.0,0.0,21.893333887523788,0.0,17.14875124802817,17.44184390592295,20.965791871167024,0.0,12.503254395481846,10.047024691876217
2024-03-28,0.0,0.0,21.752671485549325,0.0,17.18303923783896,17.472280739214725,21.00237815845721,0.0,12.525073159122465,10.06455721981732
2024-04-02,0.0,0.0,21.72705481160569,0.0,17.197294026939275,17.48677547868378,21.02416764935359,0.0,12.53546377011264,10.02924426330503
2024-04-03,0.0,0.0,21.722688575531112,0.0,17.197294026939275,17.48677547868378,21.028533885428168,0.0,12.53546377011264,10.02924426330503
2024-04-05,0.0,0.0,21.903280470557995,0.0,17.24321968732207,17.5334742041092,20.913952984669685,0.0,12.612718896888541,9.793353756452504
2024-04-08,0.0,0.0,21.67001611475379,0.0,17.70503765859362,17.55730205825326,20.981829494371883,0.0,12.629859483103031,9.455955190924415
2024-04-09,0.0,0.0,21.726810646238395,0.0,17.62431434917758,17.56423195771175,20.99011106111652,0.0,12.63484451190201,9.459687473853744
2024-04-11,0.0,0.0,21.71385457182808,0.0,17.621744590152467,17.64936281810927,20.981829494371883,0.0,12.629859483103031,9.403349042435268
2024-04-15,0.0,0.0,21.759052570127906,0.0,17.639786474087213,17.671829284264838,21.15338902888768,0.0,12.645936455034029,9.13000618759833
2024-04-16,0.0,0.0,21.749298517906713,0.0,17.69107776663475,17.723054607622302,21.105458403828763,0.0,12.61990121714282,9.111209486864654
2024-04-17,0.0,0.0,21.72552067070199,0.0,17.65395878584161,17.773292500862155,21.161713016333273,0.0,12.593422453267058,9.09209257299392
2024-04-18,0.0,0.0,21.64054539344172,0.0,17.623914112352608,17.743044737372347,21.125698614931498,0.0,12.79017809277874,9.07661904912309
2024-04-19,0.0,0.0,21.69640534708682,0.0,17.66940608159196,17.78884421416617,21.184604636462307,0.0,12.823192914835474,8.83754680585727
2024-04-23,0.0,0.0,21.71065303860274,0.0,17.681009305402203,17.73485742842606,21.198516236421767,0.0,12.831613705928605,8.843350285218623
2024-04-24,0.0,0.0,21.75941673812631,0.0,17.54734173913582,17.904918737954965,21.25549646464099,0.0,12.756331330899243,8.776494989242668
2024-04-25,0.0,0.0,21.67765588723356,0.0,17.689418314763156,17.93389244175365,21.178362426145256,0.0,12.749130316946419,8.77154061315796
2024-04-26,0.0,0.0,21.736187005122652,0.0,17.666404218413113,18.04066120445751,21.064075233234743,0.0,12.732543580838282,8.760128757933696
2024-04-29,0.0,0.0,21.73788213308011,0.0,17.692491392125415,18.067301026399026,20.9779158602143,0.0,12.751345147477775,8.773064440703374
2024-04-30,0.0,0.0,21.65187330938489,0.0,17.710952302127726,18.086153024732145,21.004152519867617,0.0,12.764650307839803,8.78221853604782
2024-05-02,0.0,0.0,22.00886086158118,0.0,17.587951377739017,18.004743886456755,20.948561494107746,0.0,12.707194242941593,8.742688137173712
2024-05-03,0.0,0.0,19.91986663506175,0.0,15.587042924745182,15.519796803954486,17.2300886696331,11.018482429133824,11.184891503266096,9.53983103420556
2024-05-06,0.0,0.0,17.49633960404208,0.0,15.58363689423313,15.683754062154161,17.2718091536548,11.04029354749535,11.233679183839062,11.690487554581415
2024-05-07,0.0,0.0,17.52436327564779,0.0,15.581467788093208,15.72696117285659,17.269911680463068,11.021025507349393,11.210208314275315,11.666062261314636
