date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,VALUABLE CAPITAL LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HUNG SING SECURITIES LTD,DAH SING SECURITIES LTD,CHINA RENAISSANCE BROKING SERVICES (HONG,TOTAL_CCASS_PCT
2024-03-01,21.462705800000002,0.0,0.0,0.63,0.0,0.0,0.0,0.0,22.0927058
2024-03-04,21.4575058,0.0,0.0,0.6355999999999999,0.7520476,0.106,0.0,0.0,22.9511534
2024-03-05,21.4535058,0.0,0.0,0.6424,0.7516476,0.106,0.0,0.0,22.9535534
2024-03-06,21.4531058,0.0,2.3702536,0.6424,0.7516476,0.1148,0.0,0.0,25.332207
2024-03-07,21.4447058,0.0,2.3702536,0.6484,0.7544476,0.1148,0.0,0.0,25.332607000000003
2024-03-08,21.4303058,0.0,2.3702536,0.6628000000000001,0.7544476,0.1148,0.0,0.0,25.332607000000003
2024-03-11,21.4243058,0.0,2.3702536,0.6748,0.7544476,0.1148,0.0,0.0,25.338607000000003
2024-03-12,21.4243058,0.0,2.3702536,0.6748,0.7532476,0.1148,0.0,0.0,25.337407
2024-03-13,21.4243058,0.0,2.3702536,0.6748,0.7536476000000001,0.1148,0.0,0.0,25.337807
2024-03-14,21.4243058,0.0,2.3702536,0.6851999999999999,0.7544476,0.1148,0.0,0.0,25.349007
2024-03-15,21.4239058,0.0,2.3702536,0.7068,0.7484476,0.1148,0.0,0.0,25.364207
2024-03-18,21.4239058,0.0,2.3702536,0.7068,0.7488476,0.1168,0.0,0.0,25.366607000000002
2024-03-19,21.4239058,0.0,2.3710536,0.2712,0.7488476,0.1168,0.0,0.0,24.931807
2024-03-21,21.4239058,0.0,2.3710536,0.2712,0.7520476,0.1188,0.0,0.0,24.937007
2024-03-25,21.4239058,0.0,2.3710536,0.2712,0.7524476,0.1188,0.0,0.0,24.937407
2024-03-27,21.4239058,0.0,2.3710536,0.2712,0.7524476,0.1196,0.0,0.0,24.938207000000002
2024-04-02,21.4236806,0.0,2.3710536,0.2712,0.7524476,0.1212,0.0,0.0,24.9395818
2024-04-03,21.4236806,0.0,2.3710536,0.2712,0.7520476,0.1212,0.0,0.0,24.9391818
2024-04-05,21.4236806,0.0,2.3710536,0.2712,0.7516476,0.1212,0.0,0.0,24.9387818
2024-04-08,21.5174104398761,0.0,2.381427096432058,0.27238651566222466,0.7549361016588259,0.1221320070225904,0.0,0.0,25.048292160651798
2024-04-10,21.514999939737496,0.0,2.3810253464089577,0.2840372663321428,0.7549361016588259,0.1221320070225904,0.0,0.0,25.057130661160016
2024-04-11,21.514999939737496,0.0,2.3810253464089577,0.3001072672561679,0.7549361016588259,0.1221320070225904,0.0,0.0,25.073200662084037
2024-04-12,21.514999939737496,0.0,2.3810253464089577,0.302116017371671,0.7549361016588259,0.1221320070225904,0.0,0.0,25.07520941219954
2024-04-15,21.514999939737496,0.0,2.3810253464089577,0.30814226771818043,0.7541326016126246,0.1221320070225904,0.0,0.0,25.08043216249985
2024-04-16,21.514999939737496,0.0,2.3810253464089577,0.33787176942762676,0.7541326016126246,0.1221320070225904,0.0,0.0,25.110161664209297
2024-04-22,21.514196439691297,0.0,2.3810253464089577,0.34871902005134364,0.7541326016126246,0.1221320070225904,0.0,0.0,25.12020541478681
2024-04-23,21.514196439691297,0.0,2.3810253464089577,0.3587627706288593,0.7501151013816184,0.12293550706879165,0.0,0.0,25.127035165179525
2024-04-24,21.514196439691297,0.0,2.3810253464089577,0.3864835222228025,0.7501151013816184,0.12293550706879165,0.0,0.0,25.154755916773464
2024-04-25,21.514196439691297,0.0,2.3806235963858566,0.3864835222228025,0.7424818509427065,0.12293550706879165,0.0,0.0,25.146720916311455
2024-04-26,21.514196439691297,0.0,2.3806235963858566,0.3909027724769094,0.7424818509427065,0.12293550706879165,0.0,0.0,25.15114016656556
2024-04-30,21.514196439691297,0.0,2.3806235963858566,0.3909027724769094,0.7416783508965052,0.12293550706879165,0.0,0.0,25.150336666519358
