date,HEAD & SHOULDERS SECURITIES LTD,ASTRUM CAPITAL MANAGEMENT LTD,YELLOW RIVER SECURITIES LTD,WATON SECURITIES INTERNATIONAL LIMITED,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,PHILLIP SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,ADVENT SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,0.0,90.24910263676355,0.0,0.0,9.750897363236446,0.0,0.0,0.0,0.0,0.0
2024-04-03,12.196682464454977,79.24170616113744,0.0,0.0,8.561611374407583,0.0,0.0,0.0,0.0,0.0
2024-04-09,12.195526490380058,79.23419581082362,0.0,0.0,8.570277698796321,0.0,0.0,0.0,0.0,0.0
2024-04-10,8.401305057096248,82.65361609570418,0.0,0.0,8.945078847199566,0.0,0.0,0.0,0.0,0.0
2024-04-12,8.400889767671774,82.64953040039545,0.0,0.0,8.949579831932773,0.0,0.0,0.0,0.0,0.0
2024-04-15,8.336194633835287,82.0130475302889,0.0,0.0,8.890469416785205,0.0,0.0,0.760288419090597,0.0,0.0
2024-04-16,8.336194633835287,82.0130475302889,0.0,0.0,8.90273213322215,0.0,0.0,0.7480257026536519,0.0,0.0
2024-04-18,8.310513447432763,81.76039119804402,0.0,0.0,8.843520782396087,0.33985330073349634,0.0,0.7457212713936431,0.0,0.0
2024-04-22,8.309700762761588,81.75239585370623,0.0,0.0,8.840211226285938,0.35204380989634265,0.0,0.7456483473498924,0.0,0.0
2024-04-25,8.309700762761588,81.75239585370623,0.0,0.0,8.815763739487581,0.3764912966946998,0.0,0.7456483473498924,0.0,0.0
2024-04-26,8.309700762761588,81.75239585370623,0.0,0.0,8.808429493448074,0.38382554273420694,0.0,0.7456483473498924,0.0,0.0
2024-05-03,8.309903919027944,81.75439454318753,0.0,0.0,8.280566217636848,0.9094687431239762,0.0,0.7456665770236901,0.0,0.0
2024-05-06,8.308685130411401,81.74240387200861,0.0,0.0,8.279351731892739,0.9240020533378962,0.0,0.7455572123493608,0.0,0.0
2024-05-07,7.300316330565441,82.6413602214314,0.0,0.0,8.370403321470937,0.9341637010676156,0.0,0.7537564254646105,0.0,0.0
2024-05-10,7.3010380622837365,82.64953040039545,0.0,0.0,8.408304498269896,0.9391992090954029,0.0,0.7019278299555116,0.0,0.0
2024-05-13,7.3021209274731795,82.66178869827459,0.0,0.0,8.392247985366094,0.9418104513768726,0.0,0.7020319375092698,0.0,0.0
2024-05-14,6.318077345857899,83.54152093534526,0.0,0.0,8.434096132707106,1.0417707604676727,0.0,0.6645348256220646,0.0,0.0
2024-05-16,6.2137592137592135,82.16216216216216,0.0,0.0,8.292383292383294,1.1081081081081081,1.57002457002457,0.6535626535626535,0.0,0.0
2024-05-20,6.213606545293728,82.16014348541805,0.0,0.0,8.294636495417803,1.1080808825335986,1.5699859954300879,0.6535465959067345,0.0,0.0
2024-05-23,6.213606545293728,82.16014348541805,0.0,0.0,8.297093437507678,1.1080808825335986,1.5675290533402126,0.6535465959067345,0.0,0.0
