date,ASTRUM CAPITAL MANAGEMENT LTD,GRANSING SECURITIES CO LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,LUK FOOK SECURITIES (HK) LTD,KGI ASIA LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,60.92700848822689,39.07299151177311,0.0,0.0
2024-03-21,0.0,54.8659120675055,27.498849585714712,17.635238346779794,0.0,0.0
2024-03-22,0.0,54.881268645341116,27.4894932822333,17.629238072425583,0.0,0.0
2024-03-25,0.0,54.97318911048694,27.433488892631487,17.59332199688157,0.0,0.0
2024-05-06,43.370011491087865,31.13131067625129,15.535581607490897,9.963096225169943,0.0,0.0
2024-08-13,43.366675947018926,31.12891639838245,15.534386781496925,9.970020873101694,0.0,0.0
2024-10-22,40.052235868535,29.006111710298395,14.954862014036612,9.636778826000276,0.0,6.350011581129722
2024-10-23,39.86811526759559,28.872770272468422,14.956837595352635,9.946094732390263,0.0,6.356182132193086
2024-10-24,39.497986283747615,28.604720251791605,14.870530797106527,10.659523602660292,0.0,6.367239064693962
2024-10-25,39.6131721597513,28.688138675616383,14.657407758762444,10.655473900645228,0.0,6.3858075052246495
2024-10-28,39.64130706893981,28.708514175290357,14.632657596206045,10.627178190389662,0.0,6.390342969174123
2024-10-29,39.65525003657974,28.718611770796986,14.602631490089705,10.630916069197609,0.0,6.39259063333596
2024-10-30,39.656086926547744,28.719217852414523,14.602939666076221,10.629030011494722,0.0,6.392725543466791
2024-10-31,39.63517526886559,28.704073482428115,14.612816676416326,10.658580074697385,0.0,6.389354497592584
2024-11-04,39.64214337049638,28.709119830776174,14.615385697267694,10.64287331700916,0.0,6.390477784450592
2024-11-05,39.64509858528915,28.711260018172663,14.616475234823998,10.636211984392888,0.0,6.390954177321305
2024-11-06,39.63116275407476,28.701167590915738,14.611337330288748,10.66762466113992,0.0,6.388707663580837
2024-11-07,39.57551726461933,28.660868734976297,14.590821782400647,10.793054837912521,0.0,6.379737380091209
2024-11-11,39.58246440372822,28.665899902118152,14.57582894128915,10.794949465160663,0.0,6.380857287703821
2024-11-12,39.6049898971164,28.682213023305486,14.531431349571013,10.796877239425696,0.0,6.384488490581415
2024-12-09,39.60526814983848,28.68241453588938,14.531533443027907,10.79625052517097,0.0,6.384533346073266
2024-12-12,39.6819363140541,28.73793816116616,14.55966369045105,10.641167509974686,0.0,6.379294324354004
2024-12-19,39.60526814983848,28.68241453588938,14.81256138704152,10.638172306663312,0.0,6.261583620567311
2024-12-20,39.59831300453219,28.677377570602896,14.809960129137762,10.653865282004164,0.0,6.260484013722994
2024-12-23,39.63589983729959,28.704598219998513,14.753706461470099,10.639368998049564,0.0,6.266426483182235
2024-12-30,39.58718985165689,28.669322104837374,14.735575099930056,10.74918749771769,0.0,6.258725445857995
2025-01-02,36.289523083618086,26.281128572495362,13.508081648208185,9.885953098887857,8.297948494781755,5.73736510200876
2025-01-07,36.29069119178857,26.28197452467126,13.508516454157672,9.883052455795426,8.298215593950092,5.73754977963699
2025-01-08,36.337477261681144,26.315857326476493,13.445356483982296,9.84744860269727,8.308913678831157,5.744946646331637
2025-01-13,36.34919263421384,26.324341681894914,13.44969132976453,9.818382998698775,8.311592511442143,5.746798843985799
2025-01-17,36.34966140624415,26.324681169905585,13.449864781735668,9.817219984704925,8.31169970067564,5.746872956734024
2025-01-21,36.352005447770914,26.326378741312134,13.450732108702635,9.81140446474748,8.31223568831631,5.747243549150527
2025-01-24,36.32272664010268,26.305174822291065,13.439898555132295,9.884044598627813,8.305540807332072,5.74261457651407
2025-01-27,36.32319472974749,26.305513816113347,13.4400717546116,9.882883277618696,8.305647840531561,5.742688581377307
2025-02-06,36.32413094523157,26.306191829970178,13.440418166962646,9.880560545802737,8.305861915206751,5.742836596826117
2025-02-12,36.33583771212879,26.31466995312669,13.444749828543731,9.915973536433812,8.24408153583565,5.7446874339313245
2025-02-18,36.359977450776775,26.332152122116685,13.453681857292313,9.856126151809937,8.249558497045252,5.748503920959039
2025-03-03,36.35411534363964,26.32790674278167,13.451512798619406,9.870659522931236,8.248228468834723,5.747577123193322
2025-03-04,36.35425601207251,26.32800861585291,13.451564847836039,9.87031077691003,8.248260384488885,5.74759936283962
2025-03-06,36.395330819689065,26.357755281235473,13.35377821393523,9.881462734362895,8.257579670471566,5.754093280305769
2025-03-11,36.397680755175045,26.35945712108886,13.435349113495784,9.79493536848358,8.258112837200894,5.754464804555845
2025-03-12,36.385934111329135,26.350950118764843,13.431013115769904,9.824047299390685,8.255447691831044,5.752607662914386
2025-03-14,36.4329662375265,26.385011116281476,13.448373920686624,9.707486686314049,8.266118608138152,5.760043431053203
2025-03-17,36.42708057355916,26.380748676923872,13.462356141722617,9.705918463616214,8.264783235219996,5.759112908958146
2025-03-20,37.234130807961556,26.052468682794842,13.278877877258251,9.585138765690509,8.16193691250327,5.687446953791567
2025-03-26,37.2365070551971,26.05413132686208,13.279725322764897,9.579368574218377,8.162457799646443,5.687809921311099
2025-04-10,37.237695292555905,26.054962728479524,13.280149086081897,9.576483202287347,8.162718268150721,5.687991422444603
2025-04-16,37.24363761705061,26.05912053260821,13.282268308407218,9.562053579977404,8.164020860062681,5.688899101893874
2025-04-25,37.25552795744925,26.067440123106,13.286508782795808,9.533180515027489,8.166627291476441,5.690715330145006
