date,FUTU SECURITIES INTERNATIONAL,ARISTO SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,RUISEN PORT SECURITIES LTD,FULBRIGHT SECURITIES LTD,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,KGI ASIA LTD
2024-03-01,92.19340816204445,0.0,0.0,0.0,0.0,0.0,7.806591837955547,0.0,0.0
2024-03-04,56.733331241787155,0.0,8.398167977082096,0.0,27.637844399908275,0.0,4.796993744864656,2.433662636357818,0.0
2024-03-05,56.80795921073438,0.0,8.373250654309725,0.0,27.634004754868563,0.0,4.771008601011932,2.4137767790753983,0.0
2024-03-06,56.840197572736685,0.0,8.379013325877517,0.0,27.570724311462726,0.0,4.76033561393099,2.449729175992081,0.0
2024-03-07,51.20435883679072,0.0,7.743325462178491,0.0,24.841579886101574,0.0,4.323238618485684,2.0823373761122483,9.805159820331284
2024-03-08,51.19081504677396,0.0,7.767062825530456,0.0,24.845390935233976,0.0,4.312102517514938,2.0767473200167665,9.807881354929899
2024-03-11,50.96006931667304,0.0,7.815410854418352,0.0,24.955403833387397,0.0,4.3292998399903855,2.0787141507230817,9.861102004807746
2024-03-12,50.955507073556774,0.0,7.8099358520484055,0.0,24.957725464306655,0.0,4.335904679250241,2.078907535974502,9.86201939486343
2024-03-13,50.68492646808416,0.0,7.850640941186827,0.0,25.087804181848284,0.0,4.357879809381217,2.105328733984653,9.913419865514857
2024-03-14,50.721568141071714,0.0,7.854784866044377,0.0,25.061243055006187,0.0,4.359493809710918,2.0999858644422904,9.902924263724511
2024-03-15,50.74666453361842,0.0,7.871462417636227,0.0,25.040150452632727,0.0,4.360823800678267,2.0961348410569536,9.884763954377405
2024-03-18,50.997797437304506,0.0,7.858443519566899,0.0,25.049548693507766,0.0,4.313575153389737,1.9044204029145209,9.876214793316565
2024-03-19,51.11903999328575,0.0,7.770911574238982,0.0,25.017694754615803,0.0,4.3080898505995275,1.9206079964364382,9.863655830823491
2024-03-20,50.98925940980267,0.0,7.782654869928554,0.0,25.05550115405405,0.0,4.33323762486294,1.9607852882325532,9.878561653119236
2024-03-21,50.955723577053355,0.0,7.7813743963222475,0.0,25.08104959899842,0.0,4.366308050091283,1.9464859841033693,9.86905839343132
2024-03-22,50.47958660175,0.0,7.835589070227737,0.0,25.181038592437737,0.0,4.688949402231422,1.912559598715282,9.90227673463782
2024-03-25,50.445668963370615,0.0,7.841448887678901,0.0,25.199870142696422,0.0,4.6737598551944926,1.9295700339424133,9.909682117117146
2024-03-26,50.41121327862751,0.0,7.838029596168174,0.0,25.204454990779883,0.0,4.690409854348931,1.95053131488097,9.905360965194534
2024-03-27,50.420557282959145,0.0,7.838029596168174,0.0,25.204454990779883,0.0,4.6810658500172995,1.95053131488097,9.905360965194534
2024-03-28,50.467044554412524,0.0,7.834125484037113,0.0,25.19190068522656,0.0,4.6662817505410095,1.9402204077283183,9.900427118054475
2024-04-02,50.64483888178285,0.0,7.828885453719249,0.0,25.17505051814356,0.0,4.524719571746201,1.9327005790055047,9.89380499560263
2024-04-03,50.63259154550745,0.0,7.831321804888673,0.0,25.18288500034831,0.0,4.52923966821758,1.9270780307726953,9.896883950265282
2024-04-05,50.53742398824269,0.0,7.83789921336643,0.0,25.20984639540684,0.0,4.5371409492108405,1.956723728215209,9.920965725557988
2024-04-08,50.58686890749704,0.0,7.846976568128228,0.0,25.109492636351593,0.0,4.544385166240193,1.9754707061257026,9.936806015657243
2024-04-09,50.490774404439655,0.0,7.859254908287785,0.0,25.148782022415933,0.0,4.551495867591561,1.9973384384592872,9.952354358805778
2024-04-10,50.633980229561594,0.0,7.85118539214761,0.0,24.926314726080857,0.0,4.5686526834626635,2.0299973147099193,9.989869654037353
2024-04-11,50.76228095467156,0.0,7.810277196101745,0.0,24.702915683479723,0.0,4.5865056340433075,2.099795811077166,10.038224720626502
