date,STANDARD CHARTERED BANK (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.
2024-03-04,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,84.11602209944752,0.0,15.883977900552487,0.0,0.0,0.0,0.0
2024-03-15,0.0,84.16795732231974,0.0,15.832042677680262,0.0,0.0,0.0,0.0
2024-03-18,0.0,84.15347556779078,0.0,15.846524432209222,0.0,0.0,0.0,0.0
2024-03-22,0.0,84.25115800308801,0.0,15.748841996911992,0.0,0.0,0.0,0.0
2024-03-25,0.0,84.23670668953687,0.0,15.763293310463123,0.0,0.0,0.0,0.0
2024-03-27,0.0,81.60518444666002,0.0,15.270854104353607,0.0,0.0,3.1239614489863743,0.0
2024-04-03,0.0,79.28640619954795,0.0,17.613819825637712,0.0,0.0,3.0997739748143363,0.0
2024-04-05,0.0,79.13309700290043,0.0,17.6119883983242,0.0,0.0,3.254914598775379,0.0
2024-04-10,0.0,72.62644188110026,0.0,16.341319136350194,0.0,8.044957113280095,2.987281869269447,0.0
2024-04-11,0.0,74.589914945322,0.0,14.079586877278249,0.0,8.262454434993925,3.0680437424058327,0.0
2024-04-16,0.0,73.97198373248983,0.0,13.97800873625546,0.0,8.224130140081337,3.7053773158608223,0.12050007531254707
2024-04-25,0.0,52.631014896581284,28.67859822098382,9.945343478726825,0.0,5.85146286571643,2.807844818347444,0.08573571964419677
2024-04-30,0.0,7.36502699460108,4.0131973605278946,1.4217156568686262,0.0,0.8188362327534494,0.3929214157168567,0.01199760047990402
2024-05-10,0.0,52.42873919077613,28.568378349524927,10.291448702893135,0.0,5.82897405786271,2.7970534856410807,0.08540621330201771
