date,BOCI SECURITIES LTD,BOOM SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,CATHAYSIA SECURITIES LTD
2024-03-01,94.99644079083332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.003559209166686
2024-03-04,49.62945856863939,36.28696791839991,0.0,0.0,0.0,0.0,7.305559471074975,4.163979953873516,2.6140340880122124
2024-03-05,42.99976878492582,31.413035853924033,0.0,8.448442935340315,4.939169652112241,0.0,6.328278642741535,3.6069551572652196,2.2643489736908418
2024-03-07,33.835591482149404,24.245128723693878,21.60863166211898,6.677215384205991,3.994047411913773,0.0,4.987032446517797,2.868214039346853,1.7841388500533235
2024-03-08,33.829619545747654,24.22788360167453,21.61004718574397,6.718594867910624,3.9943090512697164,0.0,4.966888095067503,2.868401928371836,1.7842557242141681
2024-03-11,33.845340177401866,24.177000075847804,21.639993522187535,6.714785606956679,3.9998442045102793,0.0,4.966391222974095,2.8699169159052844,1.7867282742164612
2024-03-12,33.84783807553769,24.178784418481168,21.641590625339546,6.707900849353093,4.00013940625237,0.0,4.966757759085495,2.8701287252733283,1.7868601406773092
2024-03-13,33.82965416124104,24.185951133485766,21.647271124052867,6.7096615435092435,4.083214567675919,0.0,4.8860362346330914,2.870882078518625,1.7873291568834524
2024-03-14,33.80386740897532,24.17079382902995,21.634868562600023,6.720939620143968,4.162064803791594,0.0,4.863460423296252,2.858038592127075,1.7859667600358176
2024-03-15,33.812735832621094,24.185333439912768,21.62988651339724,6.696467916515508,4.163156718911086,0.0,4.867195874556004,2.858788396778842,1.786435307307455
2024-03-18,33.68796287760056,24.16561670917714,21.614578531698474,6.693504604447723,4.3309466006986055,0.0,4.86504204951702,2.8567038505270275,1.785644776333446
2024-03-19,33.67421550334567,24.159281341463164,21.608911955726963,6.713869937715441,4.333088236800118,0.0,4.885886740823729,2.8395696405273605,1.785176643597553
2024-03-20,33.63498844485566,24.031425079882997,21.59634984350916,6.750906295864917,4.499239550731075,0.0,4.885502746009944,2.8174491890929265,1.7841388500533235
2024-03-21,33.60674017075481,23.978509363280555,21.585568701907437,6.747536167243965,4.599290874458592,0.0,4.883063847896049,2.8160426866569415,1.7832481878016493
