date,ASTRUM CAPITAL MANAGEMENT LTD,EVERBRIGHT SECURITIES INVESTMENT,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,CHINA GALAXY INTERNATIONAL SECURITIES,SINOPAC SECURITIES (ASIA) LTD,KAM FAI SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,1.1656224899598393,2.9260508701472556,0.0,0.0,0.0,0.0,0.0,0.0,4.091673360107095
2024-03-04,0.0,0.0,1.2472289156626506,2.936974564926372,0.0,0.0,0.0,0.0,0.0,0.0,4.184203480589023
2024-03-05,0.0,0.0,1.2536546184738957,2.9102008032128515,0.0,0.0,0.0,0.0,0.0,0.0,4.163855421686747
2024-03-07,0.0,0.0,1.253012048192771,2.8755020080321283,0.0,0.0,0.0,0.0,0.0,0.0,4.128514056224899
2024-03-13,0.0,0.0,1.2510843373493976,2.881285140562249,0.0,0.0,0.0,0.0,0.0,0.0,4.132369477911647
2024-03-21,0.0,0.0,1.2510843373493976,2.881285140562249,0.0,0.0,0.0,0.0,0.0,1.8461044176706825,5.978473895582329
2024-03-25,0.0,0.0,1.2652208835341365,2.881285140562249,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.28401606425703
2024-03-27,0.0,0.0,1.2536546184738957,2.885140562248996,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.276305220883534
2024-03-28,0.0,0.0,1.2497991967871487,2.885140562248996,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.272449799196787
2024-04-05,0.0,0.0,1.2433734939759036,2.885140562248996,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.266024096385543
2024-04-08,0.0,0.0,1.24144578313253,2.885140562248996,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.26409638554217
2024-04-12,0.0,0.0,1.242730923694779,2.885140562248996,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.265381526104418
2024-04-15,0.0,0.0,1.3481124497991968,2.522730923694779,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.00835341365462
2024-04-16,0.0,0.0,1.3474698795180724,2.522730923694779,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.007710843373495
2024-04-17,0.0,0.0,1.3815261044176705,2.522730923694779,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.041767068273092
2024-04-18,0.0,0.0,1.4541365461847389,2.522730923694779,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.11437751004016
2024-04-19,0.0,0.0,1.4547791164658634,2.522730923694779,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.115020080321285
2024-04-25,0.0,0.0,1.456706827309237,2.522730923694779,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.116947791164659
2024-04-26,0.0,0.0,1.4573493975903615,2.522730923694779,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.117590361445783
2024-04-30,0.0,0.0,1.4579919678714859,2.522730923694779,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.118232931726906
2024-05-07,0.0,0.0,1.4586345381526105,2.522730923694779,0.0,2.2914056224899597,0.0,0.0,0.0,1.8461044176706825,8.118875502008033
2024-05-23,0.0,0.0,1.4592771084337348,2.522730923694779,0.0,2.290763052208835,0.0,0.0,0.0,1.8441767068273094,8.116947791164659
2024-05-24,0.0,0.0,1.4586345381526105,2.5233734939759036,0.0,2.290763052208835,0.0,0.0,0.0,1.8441767068273094,8.116947791164659
2024-05-27,0.0,0.0,1.4586345381526105,2.524016064257028,0.0,2.290763052208835,0.0,0.0,0.0,1.8441767068273094,8.117590361445783
2024-06-06,0.0,0.0,1.4592771084337348,2.5233734939759036,0.0,2.290763052208835,0.0,0.0,0.0,1.8441767068273094,8.117590361445783
2024-06-13,0.0,0.0,1.4599196787148594,2.5233734939759036,0.0,2.290120481927711,0.0,0.0,0.0,1.8441767068273094,8.117590361445783
2024-06-17,0.0,0.0,1.4721285140562248,2.5233734939759036,0.0,2.290120481927711,0.0,0.0,0.0,1.8441767068273094,8.129799196787149
2024-06-18,0.0,0.0,1.4721285140562248,2.5233734939759036,0.0,2.306184738955823,0.0,0.0,0.0,1.8441767068273094,8.145863453815261
2024-06-19,0.0,0.0,1.4721285140562248,2.524016064257028,0.0,2.306184738955823,0.0,0.0,0.0,1.8441767068273094,8.146506024096386
2024-06-20,0.0,0.0,1.3082730923694779,2.524016064257028,0.4934939759036145,2.306184738955823,0.0,0.0,0.0,1.8441767068273094,8.476144578313253
2024-06-24,0.0,0.0,1.3114859437751003,2.524016064257028,0.4934939759036145,2.306184738955823,0.0,0.0,0.0,1.8441767068273094,8.479357429718876
2024-06-25,0.0,0.0,1.2999196787148595,2.524016064257028,0.4934939759036145,2.3190361445783134,0.0,0.0,0.0,1.8441767068273094,8.480642570281125
