date,CHINA INTERNATIONAL CAPITAL CORPORATION,VALUABLE CAPITAL LTD,CITIC SECURITIES BROKERAGE (HK) LTD,PHILLIP SECURITIES (HONG KONG) LTD,LIVERMORE HOLDINGS LTD,GRANSING SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,FIRST SHANGHAI SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
2025-01-15,47.958652861913315,44.9448760760492,0.029365865118386385,0.6737368482875505,0.2055610558287047,0.0,5.81695836759351,0.3557464802913094,0.0,0.015102444918027284
2025-01-17,48.65094901693761,45.534939143756915,0.022129542939824665,0.6451612903225806,0.23661588220274068,0.0,4.329730189803387,0.5379181206911227,0.0,0.042556813345816666
2025-01-20,48.70899020025565,45.582445675330206,0.021303792074989347,0.5215168299957392,0.5240732850447379,0.0,4.031529612270984,0.5590115040477205,0.0,0.05112910097997443
2025-01-21,48.67414888362825,45.57112931518981,0.021288553570516205,0.7416932063967846,0.45046579355212285,0.0,3.9009145562613896,0.5892671628318885,0.0,0.05109252856923889
2025-01-22,48.561670603027885,45.47261821827265,0.019540210354612342,0.7221382087574125,0.5046471717669447,0.0,4.034628651045826,0.6125431158989346,0.0,0.07221382087574126
2025-01-23,48.44642584713441,45.353686030546,0.018646280067126608,0.7661925991219297,0.7399182953909786,0.0,3.9953892834743105,0.6076992185513536,0.0,0.07204244571389826
2025-01-24,48.43370022962794,45.37142953981206,0.018641382173754627,0.7185405492429057,0.7888694001711618,0.0,3.951125685282629,0.6456696916545921,0.0,0.07202352203496107
2025-01-27,48.33377022010637,45.253295676512124,0.018602920658543392,0.6933815881820719,0.7940064771987384,0.0,4.1890394973829075,0.6460286992330523,0.0,0.07187492072619038
2025-02-03,46.81792120566795,43.83487591121304,0.01801949381603735,0.6757310181014006,3.903677614874273,0.0,4.056024244409862,0.6241297403554754,0.0,0.06962077156196249
2025-02-04,47.71723614021321,44.62513252468924,0.018365626226114252,0.6928849894397648,3.3817796291813105,0.13607259431166469,2.723956289809582,0.6336141048009417,0.0,0.0709581013281687
2025-02-05,47.67027779862727,44.481139549817776,0.0183475526866655,0.6955390427581375,3.3776176536816034,0.3519394197169473,2.6812446312558897,0.6530060797117767,0.0,0.07088827174393487
2025-02-06,47.69812328412761,44.48959837112077,0.022530604070529137,0.6876006575598521,3.3745838096748084,0.3604896651284662,2.6494321453307412,0.6467117835059288,0.0,0.07092967948129543
2025-02-07,47.582182487159635,44.37146733927694,0.022475838473640836,0.6667832080513447,3.365548701812218,1.0813375621207202,2.1993024165688553,0.6401451772677704,0.0,0.0707572692688693
2025-02-10,47.475083056478404,44.260797342192696,0.022425249169435214,0.6627906976744186,3.3596345514950166,1.3629568106312293,2.0548172757475083,0.6478405315614618,0.08305647840531562,0.07059800664451828
2025-02-11,46.078565728059075,42.98140251029835,0.0217655926287193,0.6698965731283606,6.225765624874042,1.3228643519899395,1.8242791155108062,0.740836282436779,0.09270530193713773,0.04191891913679272
2025-02-12,45.773773773773776,42.74754754754755,0.021621621621621623,0.6350350350350351,6.1365365365365365,1.3141141141141142,1.8018018018018018,0.7615615615615616,0.7663663663663663,0.04164164164164164
2025-02-13,45.723244782542615,42.69955924583843,0.021597753833601307,0.6367337796869125,6.086566997032309,1.3126634829977681,1.8094118211705983,0.784718389287514,0.7655203858798685,0.15998336173038005
2025-02-14,45.62397733168376,42.578121882108796,0.021550864030011573,0.6361495789599713,6.077343656463264,1.3098136249351477,1.8054834976254142,0.7502893403041067,0.7981801492596878,0.3990900746298439
2025-02-17,45.599955325446146,42.57564758159089,0.01914623736547774,0.5711960814034192,6.073346044307584,1.3091239798645404,1.8539939848904274,0.787389011655272,0.7977598902282392,0.4124418632479996
2025-02-18,45.55634369694989,42.61064309681121,0.019127925974926477,0.5586948378509775,6.065146527882937,1.307871938535598,1.8522208319053806,0.7547560790939739,0.7969969156219366,0.4781981493731619
2025-02-19,45.61523912887343,42.65455793279014,0.019152654637735515,0.5243039207080098,5.981214437909488,1.309562760855166,1.8554134180306283,0.7421653672122513,0.7980272765723132,0.5003631024108404
2025-02-20,45.672097352840126,42.74607879954935,0.017578483935662748,0.5425359360143185,5.865620480531828,1.311195097201026,1.8417457032592108,0.7031393574265099,0.7990219970755795,0.5009867921663883
2025-02-21,45.63563347784085,42.70476555451766,0.040717587602692146,0.5452963202478184,5.860139078505106,1.310148259921918,1.8841864067128133,0.7201424317182024,0.7983840706410226,0.5005868122919211
2025-02-24,45.6950995283396,42.76361020065553,0.04077064513550244,0.5404109041490127,5.667119673834839,1.3118554640658724,1.90902550163882,0.7714445599168599,0.7994244144216165,0.5012391078423535
2025-02-25,45.677936981068754,42.780312777196194,0.03755883551627417,0.5282210697076004,5.665790293837953,1.3113627464299127,1.9346795911680796,0.7639626968842149,0.7991241599207268,0.5010508482702958
2025-02-26,45.68195259178748,42.78806962581718,0.03756213736553554,0.5282675063535955,5.665489186899605,1.3114780301456133,1.8860988123971036,0.8007928008567364,0.7991944120326712,0.5010948963444848
2025-02-27,47.13177271865234,44.146045828970045,0.038754256784056335,0.5442087122867485,2.6806401873397263,1.353100752822052,1.9352391632378771,0.8286814482548217,0.824558654979922,0.5169982766724112
2025-02-28,45.714834127771205,42.819667935634534,0.03758917431779647,0.5406442944432004,5.669567164656579,1.3124220224575323,1.7698902716017786,0.8341597619885474,0.7997696663360951,0.5014555807927317
2025-03-03,45.689255511326394,42.80290313813886,0.013588476971528143,0.5523316227838793,5.663996930602848,1.3116876888398636,1.7625053954246799,0.9032340575192237,0.7993221747957733,0.5011750035969498
2025-03-04,45.67501698030284,42.76559191338048,0.01358424227895641,0.5521594949858165,5.659834591873427,1.4103639777857686,1.7427783770825842,0.8006712213831955,0.8390267289943666,0.5409724719325582
2025-03-05,45.611235237791256,42.70587296520906,0.013565272901372487,0.5601659751037344,5.651931056495372,1.4083945100542612,1.8751994893073731,0.7955633578040217,0.8378550909671242,0.5402170443664219
2025-03-06,45.57777565145281,42.67534207252894,0.013555321659809268,0.5541734443274966,5.647784900966415,1.4073613370331388,1.8658501578796287,0.8810959078876024,0.8372404554588079,0.5398207508053455
2025-03-07,39.728102976132554,37.19401159315531,12.938044732342679,0.4677574055797272,4.922920807906698,1.22673376054713,1.5582646408762981,0.7638415880120658,0.7297849566994259,0.47053753874810605
2025-03-10,37.273237085436314,34.88138555238207,18.350352778538547,0.44602683986071445,4.618725302241872,1.150931830927136,1.4404580252226873,0.7127300233446796,0.6846903243475879,0.4414622376983972
2025-03-11,37.28004382818308,34.883842270717295,18.35370387279392,0.44610829213571085,4.619568761984269,1.1511420111396633,1.4270247707499053,0.7122079751640296,0.6848153607346438,0.4415428563974799
2025-03-12,37.276397049712735,34.87977775024292,18.351908491531947,0.4493253598189656,4.619116870243444,1.1510294050514867,1.4242766122563437,0.7219204257178445,0.6847483712770883,0.44149966414722747
2025-03-13,37.28612337819062,34.88496487302758,18.35669695566239,0.44357179666146995,4.620322111401752,1.151329736922786,1.4096450773315243,0.7208041695748887,0.6849270389625638,0.441614862264434
2025-03-14,37.29658484385807,34.89344765036736,18.361847342389957,0.45022119563089696,4.6209659528376985,1.1516527685341058,1.3721959049446033,0.7262263633872293,0.6851192107426692,0.44173876730741624
2025-03-17,37.31338412026973,34.918956321929116,18.370117958861275,0.44846562089967296,4.623047346741607,1.1521715005646618,1.3310355182160598,0.6678025184575916,0.6854278048684959,0.48959128919178263
2025-03-18,37.31435845546235,34.91986813330287,18.370597643372395,0.42562914123445506,4.623168064758298,1.1522015863171982,1.3336814962300487,0.6854457029082481,0.6854457029082481,0.4896040735058916
2025-03-19,37.30802618610935,34.91328951576584,18.367480141765277,0.42555691170999466,4.627605067521261,1.1520060570063506,1.3458563680153512,0.6853293823550528,0.6853293823550528,0.4895209873964663
2025-03-20,37.31289697175421,34.91131985560509,18.36987812599957,0.42561247070650365,4.628209229001704,1.1521564582775752,1.3414626185611427,0.6834605166099836,0.685418856199124,0.4895848972850885
2025-03-21,37.31728176636875,34.911505291402534,18.372036847225033,0.42566248620840486,4.628753109229433,1.1522918530028137,1.342925972593081,0.6744008408792672,0.6854994026362349,0.48964243045445344
2025-03-24,37.321180226826066,34.91515242528908,18.37395613651351,0.4257069543017949,4.629236665643751,1.152412230586914,1.3404545662294247,0.6666361968437616,0.68557101536332,0.48969358240237143
2025-03-25,37.328979591836735,34.91853061224489,18.377795918367347,0.4257959183673469,4.632163265306122,1.1526530612244896,1.3139591836734694,0.6746122448979591,0.6857142857142857,0.4897959183673469
2025-03-26,37.35679134179895,34.848474946245695,18.39148819365928,0.4261131552633471,4.635614432949265,1.1535118390181098,1.3319303840900327,0.6796896955120874,0.6862251733535498,0.49016083810967837
2025-03-27,37.3760887191693,34.86647660398086,18.400988674705097,0.42633327230403056,4.638009049773756,1.1541077080009416,1.2809614730729997,0.6800408024481469,0.6865796563178406,0.49041404022702906
2025-03-28,37.38513358841035,34.87491415677425,18.405441642957584,0.4264364433107688,4.639131430066385,1.1543869976127408,1.2577258903168842,0.679551326073449,0.6867458059452565,0.4905327185323261
2025-03-31,37.387089811429355,34.87477679593425,18.406404730290998,0.4212261343345085,4.639374178314703,1.1544474023298252,1.2610620916101434,0.678278728734294,0.6867817407627856,0.49055838625913256
2025-04-01,37.38317757009346,34.871127446812686,18.40447865640308,0.42118205659797386,4.63888870721961,1.1543265992164966,1.2681242356265083,0.681477799650759,0.6867098748880008,0.4905070534914292
2025-04-02,37.38146622196063,34.86953109672356,18.40363612582565,0.4381662415800144,4.641946242887974,1.1542737558040677,1.2425609835851155,0.691256294552351,0.6866784382970375,0.4904845987835982
2025-04-03,37.38513358841035,34.86706563327774,18.405441642957584,0.44344157755322283,4.642401648189934,1.1543869976127408,1.235488407076752,0.6893619804440956,0.6867458059452565,0.4905327185323261
