date,KINGSTON SECURITIES LTD,DL SECURITIES (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,EFG BANK AG,CITIBANK N.A.,MIB SECURITIES (HONG KONG) LTD,CHINA GALAXY INTERNATIONAL SECURITIES,QUAM SECURITIES LTD,SOOCHOW SECURITIES INTERNATIONAL,RUIBANG SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,32.62637926744226,0.0,34.97733685416155,21.525722694198706,0.0,10.870561184197483
2024-03-04,0.0,38.99172758493472,26.525826976949503,0.0,11.282621976694921,0.0,12.164401477551122,7.241581206700667,0.0,3.793840777169069
2024-03-05,0.0,38.97291233825095,26.712793788892725,0.0,11.26199263945062,0.0,12.158531611588863,7.09349216982086,0.0,3.8002774519959805
2024-03-06,0.0,38.97100551246969,26.707775113585306,0.0,11.257392497487647,0.0,12.157936731705673,7.1054612014953955,0.0,3.8004289432562883
2024-03-07,0.0,38.98948985592124,26.709977676246787,0.0,11.261550437473721,0.0,12.16370336449474,7.108493806565251,0.0,3.766784859298266
2024-03-08,0.0,38.96128793996978,26.690657789059895,0.0,11.320508001415106,0.0,12.15490510267568,7.108580902091272,0.0,3.7640602647882653
2024-03-11,0.0,38.85660226621761,26.768435172874295,0.0,11.310833765315104,0.0,12.185550456916422,7.158124399153569,0.0,3.7204539395230074
2024-03-12,0.0,38.84300603293166,26.750616802740083,0.0,11.286084384225878,0.0,12.18128663617382,7.129249841634122,0.0,3.8097563022944274
2024-03-13,0.0,38.82640133036182,26.737491730221464,0.0,11.278218404493611,0.0,12.176079350173856,7.135157378104006,0.0,3.84665180664525
2024-03-14,0.0,38.82062910885642,26.758350955196974,0.0,11.311850216558868,0.0,12.174269163685585,7.176669559920791,0.0,3.758230995781357
2024-03-15,0.0,38.84757317443982,26.776923007726534,0.0,11.283184958392264,0.0,12.182718905853761,7.163130388179183,0.0,3.7464695654084412
2024-03-18,0.0,38.84201955771416,26.763914638250963,0.0,11.276380962413207,0.0,12.18103028411211,7.130866214637618,0.0,3.805788342871947
2024-03-19,0.0,38.85154204855778,26.768447160331743,0.0,11.279145474549457,0.0,12.18401657964121,7.136165000512697,0.0,3.780683736407116
2024-03-20,0.0,39.063320229682596,26.752774318169166,0.0,11.262241790025005,0.0,12.18573417723499,6.930531571041751,0.0,3.805397913846494
2024-03-21,0.0,39.06325417396769,26.75103808867987,0.0,11.25495148526274,0.0,12.185713571270675,6.934578229482755,0.0,3.810464451336265
2024-03-22,0.0,39.056709160485546,26.74655597604859,0.0,11.311395135876875,0.0,12.183671865803475,6.932756971156742,0.0,3.7689108906287676
2024-03-25,0.0,39.05360583399882,26.73361110858699,0.0,11.307284278113649,0.0,12.182703788553257,6.92578193762081,0.0,3.797013053126472
2024-03-26,0.0,39.072319105826594,26.74642102257392,0.0,11.28728088712034,0.0,12.18854136085225,6.9546404430104705,0.0,3.7507971806164266
2024-03-27,0.0,39.594394658956325,26.49586960949489,0.0,11.229331123338033,0.0,12.481745050114517,6.480435635444838,0.0,3.718223922651394
2024-03-28,0.0,39.549799767729084,26.075742148581142,0.0,11.080223792284762,0.0,12.298929166473318,5.47718258936301,1.8110721965559395,3.7070503390127407
