date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD,TOTAL_CCASS_PCT
2024-03-01,29.394188029494583,11.29464520875726,10.94286962548062,5.8039610084536095,5.675233559800156,3.097150631452957,4.170094786585273,0.5103925594411852,1.3300380224270287,0.0,72.21857343189268
2024-03-04,29.2587569035772,11.350931417263341,10.930209041995512,5.722125234017412,5.680878222474417,3.079606876171358,4.171162546638234,0.5190552459051402,1.3289425514584077,0.0,72.04166803950102
2024-03-05,29.307061351458813,11.387769139090492,10.872678562530572,5.6764335187168165,5.657259776868656,3.093640294010273,4.165824254830597,0.5209231904263617,1.3470234408923627,0.9679450042557864,72.99655853308073
2024-03-06,29.3506972981603,11.4238525647088,10.878856317122702,5.661871940994563,5.650853038590882,3.0961664363355696,4.15484208845731,0.5196653945068321,1.3122081328740949,0.968173809981421,73.01718702173248
2024-03-07,29.36228590139795,11.402192289348738,10.817993994103931,5.760544511865865,5.651081844316517,2.9500104233719457,4.148816871015602,0.515715394150912,1.308520165919743,0.9706906729634002,72.8878520684546
2024-03-08,29.347465061365696,11.432394645132488,10.803197890512902,5.7281728998430905,5.713533095985527,2.8742248824701258,4.137834704642316,0.5152577826996432,1.308215091618897,0.9706906729634002,72.83098672723408
2024-03-11,29.342178759303494,11.77051866190344,10.823942942970428,5.59853277057294,5.710800138707115,2.813644753179637,4.114954132078868,0.5101477881604731,1.3243081677542565,0.9706906729634002,72.97971878759405
2024-03-12,29.33098090539951,11.832143670674327,10.928507159585383,5.502602232940499,5.718922741967139,2.737920227137986,4.090294442461461,0.5439615118262053,1.3804866341864226,0.9706906729634002,73.03651019914234
2024-03-13,29.494551372986894,11.908412245885819,10.931176559717786,5.60924268355558,5.723842039645422,2.554951584708456,4.063906023895453,0.5084698795058202,1.3320581481786558,0.9707669415386116,73.0973774796185
2024-03-14,29.45006688754046,11.748934655118587,11.005690957699414,5.653799700417037,5.7271087752588805,2.5515194988239385,4.037572849200756,0.5675802370834083,1.3409730293979765,0.9707669415386116,73.05401353207908
2024-03-15,29.423354937678404,11.899514245444479,11.136110221311068,5.89798279787709,5.832944185639746,2.4899275397689777,3.883765776154782,0.523418520247273,1.3801555523014297,0.9707669415386116,73.43794071796185
2024-03-18,29.383463778019802,12.300102225313642,11.64673931502684,5.746787415074942,5.866334669558771,2.4725128817623534,3.710737801858309,0.467436114899117,1.4756881713541332,0.9707669415386116,74.04056931440653
2024-03-19,29.26798779092648,12.432733277606427,12.52337031850774,5.694138353229262,5.8547418461266245,2.413277621681427,3.6235564138312553,0.48093565271155125,1.4579560072689037,0.9707669415386116,74.71946422342828
2024-03-20,29.245394293280132,12.409090019290865,12.692762824052464,5.725366140006732,5.866222580176069,2.4385708235073986,3.590761358678906,0.4910031046394683,1.4473220069414574,0.9707669415386116,74.8772600921121
2024-03-21,29.17579301522219,12.430674026075717,12.799233755047709,5.730592240740232,5.925178188814552,2.4557490489308673,3.572685706353782,0.5077834623289168,1.4420112735123307,0.9707669415386116,75.0104676585649
