date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,SPDB INTERNATIONAL SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,TOTAL_CCASS_PCT
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9581666666666667,0.0,0.9581666666666667
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9690000000000001,0.0,0.9690000000000001
2024-03-18,0.0,0.0,0.0,0.0,2.3316,1.7690000000000001,0.9690000000000001,0.0,5.069599999999999
2024-03-21,0.0,0.0,0.0,0.0,2.3314333333333335,1.7690000000000001,0.9690000000000001,0.0,5.0694333333333335
2024-03-28,0.0,0.0,0.0,0.0,2.3309333333333333,1.7690000000000001,0.9690000000000001,0.0,5.068933333333334
2024-04-26,0.0,0.0,0.0,0.0,2.3309333333333333,1.7688333333333333,0.9690000000000001,0.0,5.068766666666667
2024-05-03,0.0,0.0,0.0,0.0,2.3309333333333333,1.7670000000000001,0.9690000000000001,0.0,5.066933333333333
2024-05-08,0.0,0.0,0.0,0.0,2.3349333333333333,1.7616666666666665,0.9690000000000001,0.0,5.0656
2024-05-09,0.0,0.0,0.0,0.0,2.3354333333333335,1.7616666666666665,0.9690000000000001,0.0,5.0661
2024-05-10,0.0,0.0,0.0,0.0,2.3352666666666666,1.7616666666666665,0.9690000000000001,0.0,5.065933333333334
2024-05-13,0.0,0.0,0.0,0.0,2.3354333333333335,1.7616666666666665,0.9690000000000001,0.0,5.0661
2024-05-22,0.0,0.0,3.4836666666666667,0.0,2.3354333333333335,1.7495,0.9690000000000001,0.0,8.5376
2024-05-31,0.0,0.0,3.4836666666666667,0.0,2.3356,1.7495,0.9690000000000001,0.0,8.537766666666666
2024-07-10,0.0,0.0,3.4836666666666667,0.0,2.3356,1.7495,1.1023333333333334,0.0,8.6711
2024-07-15,0.0,0.0,3.4836666666666667,0.0,2.3356,1.7495,1.2161666666666666,0.0,8.784933333333333
2024-08-09,8.459999999999999,0.0,3.4836666666666667,0.0,2.335933333333333,1.7495,1.2161666666666666,0.0,17.245266666666666
2024-08-22,8.459999999999999,0.0,3.4845,0.0,2.3357666666666663,1.7495,1.2161666666666666,0.0,17.245933333333333
2024-09-05,4.296166666666667,0.0,3.4845,0.0,6.499266666666667,1.7495,1.2161666666666666,0.0,17.2456
2024-09-10,4.296166666666667,0.0,3.4845,0.0,6.5005999999999995,1.7495,1.2161666666666666,0.0,17.246933333333335
2024-09-12,4.296166666666667,0.0,3.4845,0.0,6.5005999999999995,1.7495,1.2161666666666666,0.5031,17.750033333333334
2024-09-13,4.296166666666667,0.0,3.4845,0.0,6.5005999999999995,1.7493333333333334,1.2161666666666666,0.5031,17.749866666666666
2024-09-23,4.296166666666667,0.0,3.4845,0.0,6.5020999999999995,1.7493333333333334,1.2161666666666666,0.5031,17.751366666666666
2024-09-30,4.296166666666667,0.0,3.4846666666666666,0.0,6.5020999999999995,1.7493333333333334,1.2161666666666666,0.5031,17.751533333333334
2024-10-02,4.296166666666667,0.0,3.4846666666666666,0.0,6.501933333333334,1.7493333333333334,1.2161666666666666,0.5031,17.751366666666666
2024-10-03,4.296166666666667,0.0,3.4846666666666666,0.0,6.501766666666667,1.7496666666666667,1.2161666666666666,0.5031,17.751533333333334
2024-10-04,4.296166666666667,0.0,3.4846666666666666,0.0,6.501933333333334,1.7496666666666667,1.2161666666666666,0.5031,17.7517
2024-10-08,4.296166666666667,0.0,3.4846666666666666,0.0,6.510266666666667,1.7496666666666667,1.2161666666666666,0.5031,17.760033333333332
2024-11-06,4.096166666666667,0.0,3.4846666666666666,0.0,6.510266666666667,1.7496666666666667,1.2161666666666666,0.5031,17.560033333333333
2024-11-07,4.096166666666667,0.0,3.4846666666666666,0.0,6.5096,1.7496666666666667,1.2161666666666666,0.5031,17.55936666666667
2024-11-08,4.096166666666667,0.0,3.4846666666666666,3.0636666666666668,6.509766666666667,1.7496666666666667,1.2161666666666666,0.5031,20.6232
2024-11-11,4.096166666666667,0.0,3.4846666666666666,3.065,6.509933333333333,1.7496666666666667,1.2161666666666666,0.5031,20.6247
2024-11-12,4.096166666666667,0.0,3.4846666666666666,3.065,6.510433333333333,1.7500000000000002,1.2161666666666666,0.5031,20.625533333333333
