date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,15.62962147626959,12.971665227230858,5.287876598379381,0.74331303193632,3.3195979185363838,1.6266295765467176,1.5854717828327984,0.8023012381401475,0.8167637652035126,42.783240615075705
2024-03-04,0.0,15.673265817878413,12.937844823749394,5.280961109317685,0.7422566945032707,3.3227217195933973,1.6689811019824776,1.5774260127177393,0.8880054152082169,0.817943342003751,42.909406036954344
2024-03-05,0.0,15.730924236099023,12.953584251501828,5.244879580349533,0.7422912015260836,3.3275738295358708,1.6421571734325784,1.5764048865324582,0.899008930135814,0.8111827824322352,42.92800687154543
2024-03-06,0.0,15.851769238439866,12.896260340135019,5.206921855255293,0.7428897927381449,3.323573831789391,1.5992910003994363,1.5895914988216908,0.8945194960453543,0.8229433391868511,42.927760392811045
2024-03-07,0.0,15.830360799796733,12.815327287139555,5.209122558240812,0.7395623298240396,3.328251153097942,1.662289697301579,1.5732886911049626,0.8961568190665807,0.8201264393653863,42.87448577493759
2024-03-08,0.0,15.91305441518061,12.895556115179655,5.216777483505643,0.7386116261342951,3.344315298977296,1.5171974551000253,1.5908238924935818,0.893128651758506,0.8184891163441599,42.92795405467377
2024-03-11,0.0,15.967262131119925,12.909939909893009,5.214166217371146,0.7386116261342951,3.333273474212127,1.537047725606915,1.5662816527990688,0.8992554088701923,0.7456722559592924,42.91151040196597
2024-03-12,0.0,15.967385370487117,12.944658200192563,5.206895094706989,0.7369478946772424,3.3299882647953436,1.5135899923436664,1.56688024401113,0.8966145652875689,0.7475560577148971,42.91051568421651
2024-03-13,0.0,15.939674118493455,12.85914768498722,5.48821535875191,0.8422999480000294,3.358493460003684,1.4448735521839142,1.2899789915611315,0.8832871080072632,0.769052524477451,42.87502274646606
2024-03-14,0.0,15.471364523174916,12.821524466746778,5.468285933360038,0.8784442938342006,3.340694526369281,1.7690279470265087,1.2585001360562613,0.8560864191062427,0.7503553519124778,42.614283597586706
2024-03-15,0.0,15.54992081694602,12.76275689422147,5.64731808601798,0.9499407324277565,3.327955096926706,1.6420843565721936,1.2761409711881853,0.8488857189376231,0.7539821104326139,42.75898478367054
2024-03-18,0.0,15.53437505105631,12.717545652086956,5.8574583197417915,0.9489372118663596,3.3335008684502148,1.5059587290373357,1.2229895926819196,0.7809104051208985,0.7568518271257313,42.65852765716752
2024-03-19,0.0,15.515818723482408,12.719359031347025,5.782222587480232,0.9490956624813168,3.350316563201936,1.5212182979051843,1.218729031701954,0.7820371650494845,0.7570630946123411,42.59586015726188
