date,ARISTO SECURITIES LTD,DEUTSCHE BANK AG,BANK OF CHINA (HONG KONG) LTD,DAH SING SECURITIES LTD,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-04,0.0,0.0,0.0,44.946236559139784,0.0,0.0,0.0,55.053763440860216
2024-04-18,0.0,0.0,0.0,36.820617504465424,0.0,17.453431997958663,0.0,45.725950497575916
2024-04-22,0.0,0.0,0.0,36.83001531393568,0.0,17.457886676875958,0.0,45.71209800918836
2024-04-24,0.0,0.0,0.0,36.83001531393568,26.2378764675855,17.457886676875958,0.0,19.47422154160286
2024-04-26,0.0,0.0,0.0,36.83941792187898,26.244574929793206,17.462343630329332,0.0,19.453663517998468
2024-04-30,0.0,0.0,28.430476886533896,26.365795724465556,18.783117120409283,12.497716060661428,0.0,13.922894207929836
2024-05-06,0.0,0.0,28.280625227190114,26.226826608506,18.684114867320975,12.958924027626317,0.0,13.849509269356597
2024-05-08,0.0,0.0,28.19862268938021,26.15077926785067,18.629938383472272,13.211308445088802,0.0,13.809351214208046
2024-05-21,0.0,0.0,27.97554836389788,25.94390507011866,18.482560230133046,13.897878460985257,0.0,13.700107874865155
2024-07-02,0.0,0.0,27.925340990667625,26.07681263460158,18.449389806173727,13.872936109117015,0.0,13.675520459440058
2024-07-19,0.0,0.0,28.15270490320246,26.289126108196125,18.599601954043784,13.171702551112718,0.0,13.786864483444909
2024-07-22,0.0,0.0,28.275486098491733,26.403779756496455,18.680719607486825,12.793021988006542,0.0,13.846992549518443
2024-08-06,0.0,0.0,28.29605382796872,26.422985997454084,18.694308056010183,12.802327695944719,0.0,13.784324422622296
2024-08-15,0.0,0.0,28.404527199707925,26.52427893391749,18.765972982840452,14.202263599853962,0.0,12.102957283680176
2024-08-23,0.0,0.0,28.363106088224573,26.485599708348524,18.73860736419978,14.181553044112286,0.0,12.231133795114838
2024-08-27,0.0,0.0,28.41490138787436,26.533966398831264,18.77282688093499,14.024835646457268,0.0,12.253469685902118
2024-08-30,0.0,0.0,28.337279184119467,26.734656710981607,18.721544345292294,13.986523401930432,0.0,12.219996357676198
2024-09-02,0.0,0.0,28.446069469835468,26.83729433272395,18.793418647166362,13.656307129798902,0.0,12.26691042047532
2024-09-10,0.0,0.0,28.61612072138388,27.015090172984912,18.91792418108208,13.102686786897314,0.0,12.348178137651821
2024-09-11,0.0,0.0,28.82298424467099,27.210379981464317,19.054680259499538,12.47451343836886,0.0,12.437442075996293
2024-09-16,0.0,0.0,28.783382789317507,27.225519287833826,19.06528189910979,12.481454005934719,0.0,12.444362017804155
2024-09-25,0.0,0.0,26.00100519349975,24.593734293851565,17.222315295694422,11.27492042218127,9.666610822583348,11.241413972189648
2024-10-02,0.0,0.0,26.0446383621413,24.46719248196006,17.251216647088437,11.293841248531633,9.682832690048667,11.260278570229906
2024-10-03,0.0,0.0,26.0446383621413,25.306259439503272,17.251216647088437,11.293841248531633,9.682832690048667,10.421211612686692
2024-10-07,0.0,0.0,26.070888627582733,25.230975978498236,17.26860406517722,11.305224256677306,9.692591970435075,10.43171510162943
2024-10-09,0.0,0.0,26.382120651991265,25.743572508822048,17.27440766257772,11.309023693496892,9.6958494370694,9.595026046042682
2024-10-17,0.0,0.0,26.31578947368421,25.930271538719413,17.230975527991955,11.28059001005699,9.671471672812606,9.57090177673483
2024-10-22,0.0,24.965308439510533,19.578655228964298,19.515579664437997,12.968336066607797,8.489970985240317,7.27892014633531,7.203229468903746
2024-11-11,0.0,24.87430869783811,19.997486173956762,19.444444444444446,12.921065862242335,8.333333333333332,7.252388134741077,7.176973353443941
2025-03-05,0.0,24.86180904522613,19.98743718592965,19.434673366834172,12.914572864321608,8.329145728643216,7.248743718592965,7.223618090452261
2025-03-10,0.0,24.91815663560816,19.806094182825483,19.47872072525812,12.943842860740368,8.348023167967767,7.265172500629564,7.2399899269705354
2025-03-21,0.0,24.924433249370274,19.785894206549116,19.483627204030228,12.947103274559193,8.350125944584383,7.2670025188916885,7.241813602015114
2025-04-01,0.0,24.955863808322825,19.684741488020176,19.508196721311474,12.963430012610342,8.360655737704919,7.276166456494325,7.25094577553594
2025-04-09,24.236633928230216,18.90740245347193,14.913822753850269,14.780066495968205,9.821530935911644,6.334314212557802,5.512668628425116,5.493560591584821
2025-04-10,24.213500305436774,18.88935552840562,14.899587660354307,14.861408063530849,9.812156383628588,6.328268173488088,5.507406841783751,5.488317043372022
