date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CMBC SECURITIES CO LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MIDAS SECURITIES LTD
2024-05-17,666469380.0,2217170000.0,202991060.0,182278922.0,38596400.0,0.0,0.0,0.0
2024-05-20,672298223.0,2334734000.0,203007060.0,174970322.0,31720400.0,0.0,15833938230.0,0.0
2024-05-21,680321133.0,2339136000.0,203197060.0,163594282.0,37566400.0,0.0,0.0,0.0
2024-05-22,675601540.0,2348798000.0,202623060.0,165747209.0,41080400.0,0.0,0.0,0.0
2024-05-23,684093598.0,2369024000.0,202103060.0,165562696.0,55032400.0,0.0,15800938230.0,0.0
2024-05-24,687087598.0,2421360000.0,202183060.0,149041896.0,55012400.0,0.0,15432938230.0,0.0
2024-05-27,678715351.0,2436684000.0,202121060.0,149500412.0,61846400.0,1109739659.0,15433038230.0,0.0
2024-05-29,662463907.0,2483668000.0,205123060.0,98870409.0,81752400.0,0.0,15433638230.0,0.0
2024-05-30,675728843.0,2472034000.0,203767060.0,89073278.0,80026400.0,0.0,0.0,0.0
2024-05-31,676109796.0,2478794000.0,203269060.0,77766296.0,80100400.0,0.0,0.0,0.0
2024-06-03,681718431.0,2511460000.0,203199060.0,74043613.0,80786400.0,0.0,0.0,0.0
2024-06-04,678109793.0,2592408000.0,0.0,97958574.0,69352400.0,0.0,15433338230.0,0.0
2024-06-05,588258513.0,2736134000.0,202509060.0,83264891.0,59770400.0,0.0,0.0,0.0
2024-06-06,585940143.0,2829012000.0,202443060.0,76923335.0,61776400.0,0.0,0.0,0.0
2024-06-07,583322143.0,2844432000.0,201819060.0,73115135.0,59886400.0,0.0,0.0,0.0
2024-06-11,581556327.0,2844858000.0,201785060.0,84981013.0,71852400.0,0.0,0.0,0.0
2024-06-12,576063266.0,2847354000.0,201685060.0,88966125.0,71680400.0,0.0,0.0,0.0
2024-06-13,589290278.0,2846210000.0,201605060.0,73637679.0,73500400.0,0.0,0.0,0.0
2024-06-14,561566533.0,2857216000.0,201765060.0,72522723.0,76424400.0,0.0,0.0,0.0
2024-06-17,546125971.0,2859856000.0,208007060.0,74794693.0,78460400.0,0.0,0.0,0.0
2024-06-18,544393716.0,2884730000.0,207525060.0,75899596.0,76392400.0,0.0,15433538230.0,0.0
2024-06-19,547497495.0,2905964000.0,207009060.0,76690567.0,76042400.0,0.0,0.0,0.0
