date,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,GARY CHENG SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,ASTRUM CAPITAL MANAGEMENT LTD,CITIBANK N.A.
2024-03-01,62.832767426598565,30.966987188632405,0.0,0.0,6.200245384769024,0.0,0.0,0.0
2024-03-04,62.86676561251284,30.93104235643338,0.0,0.0,6.202192031053774,0.0,0.0,0.0
2024-03-07,62.88103664801918,30.916771320927044,0.0,0.0,6.202192031053774,0.0,0.0,0.0
2024-03-12,62.895307683525516,30.902500285420707,0.0,0.0,6.202192031053774,0.0,0.0,0.0
2024-03-13,52.31085973921481,25.621790472584422,16.925006507797523,0.0,5.142343280403247,0.0,0.0,0.0
2024-03-14,52.35050325636471,25.641207815275312,16.862048549437535,0.0,5.146240378922439,0.0,0.0,0.0
2024-03-19,52.3517430845017,25.639446760136416,16.862447896930654,0.0,5.146362258431224,0.0,0.0,0.0
2024-03-25,52.41935483870967,25.603064989121183,16.838520480560025,0.0,5.139059691609119,0.0,0.0,0.0
2024-03-27,50.39943874895331,24.500418675175954,16.113336501686014,0.0,4.91773598569715,4.069070088487564,0.0,0.0
2024-03-28,50.706221042688135,24.348882191534344,16.013674598533576,0.0,4.887319508794026,4.0439026584499125,0.0,0.0
2024-04-02,51.221846345588894,24.094186771120803,15.846167542063563,0.0,4.836196919789905,4.001602421436838,0.0,0.0
2024-04-03,51.45521396296624,23.97891379463099,15.770355275981219,0.0,4.813059271728537,3.98245769469301,0.0,0.0
2024-04-09,51.5625,23.92591937765205,15.735502121640735,0.0,4.802422206506365,3.9736562942008486,0.0,0.0
2024-04-10,51.68177507223361,23.855841549218113,15.703919363020798,0.0,4.792783255034297,3.965680760493174,0.0,0.0
2024-04-11,51.75094705312308,23.82168971896749,15.681437758787773,0.0,4.785921945203066,3.9600035239185973,0.0,0.0
2024-04-16,51.80402164825978,23.79548554582655,15.664187970255645,0.0,4.7806573678884146,3.955647467769613,0.0,0.0
2024-04-17,51.915099102263,23.740644000087798,15.62808665686253,0.0,4.769639368730657,3.946530872056015,0.0,0.0
2024-04-18,51.994127185870184,23.701625980628478,15.602401718017267,0.0,4.761800411973528,3.9400447035105404,0.0,0.0
2024-04-22,52.10328392146574,23.64773273864183,15.56692465783375,0.0,4.7509729327911145,3.9310857492675675,0.0,0.0
2024-04-24,52.179607517845064,23.61004998799415,15.542118705114492,0.0,4.743402239636769,3.9248215494095304,0.0,0.0
2024-05-03,52.3615883094855,23.520201800547994,15.482973078763102,0.0,4.725351193841604,3.9098856173618057,0.0,0.0
2024-05-06,52.421596733559205,23.49057423334202,15.463469724611242,0.0,4.719398835896099,3.9049604725914344,0.0,0.0
2024-05-07,52.47320692497939,23.46509307068165,15.446695882327418,0.0,4.714279515772118,3.900724606239424,0.0,0.0
2024-05-13,52.524705270457694,23.43966712898752,15.429958391123439,0.0,4.709171289875173,3.8964979195561718,0.0,0.0
2024-05-14,52.551517909380486,23.41545862315543,15.428286636763527,0.0,4.708661076079655,3.896075754620902,0.0,0.0
2024-05-17,52.582342623270314,23.400246865458325,15.418263712943112,0.0,4.705602113514802,3.8935446848134436,0.0,0.0
2024-05-20,48.61566120655213,21.586096683979225,14.252896524170994,7.61286456252497,4.340791050739113,3.59168997203356,0.0,0.0
2024-05-22,48.66283479024468,21.56627948748653,14.239811599409252,7.605875543847045,4.336805971340758,3.588392607671736,0.0,0.0
2024-05-24,48.70889912464358,21.546928276604653,14.227034356244141,7.599050866383522,4.332914597914299,3.585172778209807,0.0,0.0
2024-05-31,48.83142220098742,21.472368211498647,14.204093008440836,7.586797260710304,4.325927695492913,3.579391622869884,0.0,0.0
2024-06-04,48.85687565911216,21.461686929183994,14.19702727978192,7.583023260441332,4.323775792426925,3.577611079053664,0.0,0.0
2024-06-05,48.937142403051496,21.42800381436745,14.174745708836618,7.571122059758423,4.3169898283534645,3.5719961856325493,0.0,0.0
2024-06-07,48.8769395610937,21.401642922338187,14.15730782967578,7.553871185364498,4.44263661256399,3.5676018889638477,0.0,0.0
2024-06-11,48.966049994057755,21.36433862853068,14.132630828348452,7.54070435368221,4.434892841579844,3.5613833538010535,0.0,0.0
2024-06-12,49.07196932260679,21.319997628036607,14.103299005752012,7.525053863335376,4.425688363542923,3.553991816726295,0.0,0.0
2024-06-18,42.084385753759044,32.52360529572307,12.095065348951534,6.4535268091742815,3.7954942279330743,3.047922564458985,0.0,0.0
2024-06-19,42.11988749957643,32.50144014096439,12.088712683406188,6.4501372369624885,3.7935007285418996,3.046321710548609,0.0,0.0
2024-06-21,42.20312314954236,32.45470079685993,12.071328269071344,6.440861488486982,3.7880454091731943,3.041940886866192,0.0,0.0
2024-06-25,47.93862933732742,23.29819306027613,13.700866025308677,7.3103289359986166,4.2994028073813775,3.4525798337077784,0.0,0.0
2024-06-26,47.960613447475,23.288354862857254,13.695080519779651,7.307241981611931,4.297587285744449,3.4511219025317184,0.0,0.0
2024-06-27,48.011505273250236,23.265580057526368,13.6816874400767,7.300095877277085,4.293384467881112,3.4477468839884953,0.0,0.0
2024-06-28,48.03972316481663,23.26067368340331,13.678802170203792,7.281302122275263,4.292479055232837,3.4470198040681734,0.0,0.0
2024-07-03,48.16394445931989,23.205064453199707,13.646100294533909,7.263894732815668,4.282217037065371,3.4387790230654476,0.0,0.0
2024-07-04,48.218413862937275,23.180680537246136,13.631760952217192,7.256261821516594,4.277717277086796,3.435165548996007,0.0,0.0
2024-07-05,48.3388292701523,23.126775060518842,13.600060995368166,7.239387758992051,4.267769666240969,3.4271772487276744,0.0,0.0
2024-07-09,48.57202497295861,23.02408106723343,13.539670189953886,7.207241398941116,4.248818718333112,3.408163652579843,0.0,0.0
