date,CNI SECURITIES GROUP LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,LONG BRIDGE HK LTD,EMPEROR SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),BOCI SECURITIES LTD,VALUABLE CAPITAL LTD
2024-03-01,73.44126071822865,17.09571838392014,6.7205820903213365,0.0,0.0,0.0,0.0,0.0,2.742438807529871
2024-03-05,73.44414619035373,17.093780474405435,6.720739185705596,0.0,0.0,0.0,0.0,0.0,2.7413341495352372
2024-03-06,73.46616085488535,17.09566899782657,6.722860692442609,0.0,0.0,0.0,0.0,0.0,2.7153094548454795
2024-03-07,73.44701898662078,17.10046724734035,6.736442204002785,0.0,0.0,0.0,0.0,0.0,2.716071562036086
2024-03-11,73.42641036125144,17.123728169803446,6.73455201409964,0.0,0.0,0.0,0.0,0.0,2.7153094548454795
2024-03-12,70.63514132478508,16.453690055391,6.530504050452528,0.0,0.0,0.0,3.7680354791993156,0.0,2.6126290901720837
2024-03-13,56.97101077725879,18.102122623399648,5.890101001952558,6.374460415575609,6.874635438156098,0.0,3.390353189582989,0.0,2.39731655407431
2024-03-14,56.99870302487319,18.075478582758503,5.892964039367456,6.377558888532785,6.8779770342453155,0.0,3.3920011592915356,0.0,2.385317270931219
2024-03-15,56.99427428597094,18.07007234565403,5.8964870049592815,6.381371557399257,6.882088865960415,0.0,3.3889626650605424,0.0,2.386743274995547
2024-03-18,57.01825514040233,18.073991769102026,5.892676339065477,6.383829589107767,6.884739768278382,0.0,3.390268054915176,0.0,2.3562393391288428
2024-03-19,57.03243846526771,18.05398606453409,5.893094488290848,6.384282590977206,6.885228315151711,0.0,3.3905086311626045,0.0,2.360461444615836
2024-03-20,57.019428616081846,18.07179354302977,5.89195964986204,6.383053164020111,6.883902420632511,0.0,3.3898557179104087,0.0,2.3600068884633103
2024-03-21,57.02752049831038,18.060166744692175,5.892795804217478,6.38395901165337,6.884879346024651,0.0,3.3903367875020685,0.0,2.3603418075998825
2024-03-22,57.022158832392556,18.06882562061942,5.888920188458522,6.384153155311502,6.885088723255864,0.0,3.390439891608003,0.0,2.3604135883541337
2024-03-25,56.98428318474762,18.114009781716607,5.886473656319204,6.38454073380265,6.882228336240172,0.0,3.3890313447274556,0.0,2.359432962446296
2024-03-26,56.98111332663858,18.119450358988527,5.885936884743053,6.383958544839824,6.88160076449397,0.0,3.3887223081458377,0.0,2.359217812150207
2024-03-27,57.05508279331072,18.088294599667666,5.875816222729271,6.3729815520504856,6.869768093363608,0.0,3.382895519002344,0.0,2.355161219875907
2024-03-28,57.03590310669777,18.104137498505004,5.873736875914983,6.3717373592928,6.867337004667442,0.0,3.3816983724691876,0.0,2.3654497824528087
2024-04-02,57.05529990516798,18.096548870727887,5.870946924148143,6.373763922329786,6.864075105230266,0.0,3.3750390490911357,0.0,2.3643262233048006
2024-04-03,57.030524492729306,18.041954635514838,5.8700020011370455,6.446302450128361,6.870709412994371,0.0,3.3733344833337253,0.0,2.3671725241623505
2024-04-05,57.02534867703722,18.017830533467123,5.869053466920039,6.464449615972918,6.890807875139025,0.0,3.372789385873412,0.0,2.3597204455902587
2024-04-08,56.20917181160976,17.720920051530285,5.784335380668514,6.37034087085014,6.791341060055628,0.0,3.3241041483455627,1.4641745125812444,2.3356121643588645
