date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CLSA LTD,DBS BANK (HONG KONG) LTD,HANG SENG BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD
2024-03-01,70.55961165295915,14.747549066325035,4.242589366150307,3.937607864578089,2.257109395484947,0.0,2.9741220015721597,0.0,0.09397500763918738,1.1874356452911163
2024-03-04,70.7468538033176,14.699884618577563,4.227364185899414,3.9330678121174523,2.2527189922149455,0.0,2.981543819059065,0.0,0.09443225100480204,1.0641345178091444
2024-03-05,70.73403247508871,14.743549160110787,4.2070258414922375,3.9011542837230406,2.2677682395273435,0.0,2.981270513255791,0.0,0.09442359479051105,1.0707758920115804
2024-03-06,71.07860453132743,14.484636245818358,4.122434207991693,3.9049676498306622,2.2978901876953866,0.0,2.986315754762288,0.0,0.09402566777529642,1.0311257547988855
2024-03-07,71.15222965704235,14.548298724914114,4.120846607388207,3.7807051509356455,2.28306157841631,0.0,2.990362717746253,0.0,0.09448817469343718,1.0300073888636774
2024-03-08,71.22358879896076,14.466605548079583,4.109384480270111,3.7814281476572793,2.2947448750178783,0.0,2.9911996865530517,0.0,0.0944028941945664,1.0386455692667584
2024-03-11,70.75719272770016,14.634571513729352,4.093983176405045,3.782082875652433,2.5686242066237273,0.0,2.991340698090793,0.0,0.0931817737083053,1.079023028090192
2024-03-12,70.79066496039606,14.686082525381527,4.095103671329435,3.7751409991922573,2.5393888179298645,0.0,2.991595050215021,0.0,0.09665381097061033,1.0253701645852331
2024-03-13,70.79329446546802,14.677534548616478,4.086028130024961,3.777666385337941,2.495334932080065,0.0,2.989837408077158,0.0,0.09871156915459028,1.0815925612407855
2024-03-14,70.605442857241,14.746528127233201,4.038345079232687,3.836065266421053,2.5778817138168324,0.0,2.9845334410106625,0.0,0.11581917547972861,1.095384339564831
2024-03-15,70.5691011077197,14.758632232806596,3.9842942205525747,3.836745743411666,2.62695415721437,0.0,2.987055910605098,0.0,0.11580549169725686,1.1214111359927348
2024-03-18,70.73207803577274,14.731719581758046,3.8984748549387422,3.8426033709526095,2.6289347474534055,0.0,2.994402756353088,0.0,0.1191101728269152,1.0526764799444426
2024-03-19,70.53490232720567,14.89001315447815,3.83870583076043,3.8428820474963112,2.672622531071735,0.0,2.9973637427533384,0.0,0.11933991068921707,1.1041704555451406
2024-03-20,70.67370794776208,14.848339494845003,3.8121513743201114,3.8284835490418114,2.6182961762207477,0.0,3.0017659575450186,0.0,0.11469189907152678,1.1025636011936946
2024-03-21,70.7973568533523,14.806050360049275,3.893064927004501,3.839718141868785,2.5090921619224873,0.0,3.0079731907515095,0.0,0.11557967971412432,1.0311646853370227
2024-03-22,70.74686979805705,14.881011124887594,3.834243661622273,3.8387627970542013,2.517221363089465,0.0,3.0071370730509988,0.0,0.11286025676251751,1.0618939254759028
2024-03-25,70.704083486922,14.853466321095313,3.858994787072292,3.836440064827159,2.544360095989733,0.0,3.0083801752317685,0.0,0.11290691138047988,1.08136815748126
2024-03-26,70.72591035980828,14.792320114761468,3.9481740448414375,3.8713166914032127,2.4671248514056745,0.0,3.0065999340850076,0.0,0.11092867561368217,1.0776253280812313
2024-03-27,70.77572705013476,14.819347523096974,3.87569495490935,3.870791253423506,2.4706667330731027,0.0,3.0061615235260137,0.0,0.11080057444089382,1.0708103873953945
2024-03-28,70.83985048880696,14.774601979502384,3.8714106693426835,3.874313590923326,2.4674290131857735,0.0,3.007938919214111,0.0,0.11067094470125162,1.0537843943235206
2024-04-02,70.76462744122335,14.707091149098103,3.964735459882174,3.865034757224249,2.4588561676311156,0.0,3.0007577519376336,0.0,0.11040672837642242,1.1284905446269495
2024-04-03,68.81790109319356,14.208162663697655,3.8149153563973712,3.7825967155254645,2.3970947996017284,2.92064881219041,2.9154470068724363,0.0,0.13734366461300876,1.0058898879083753
2024-04-05,68.76174413322657,13.966246635560747,3.7560241382559165,3.7974987850114474,2.3753725161023915,2.919483040940892,2.9142833119133167,0.0,0.13707177725963232,1.3722756617290923
2024-04-08,68.75053880241417,13.966162470390293,3.767013338818246,3.789993969574372,2.3714741493387215,2.9156299363173934,2.911088255286546,0.0,0.13697380110560745,1.3911252767546578
2024-04-09,68.75640413402017,13.981758096444851,3.7589218775938926,3.7888414235459855,2.3419586780455366,2.9167870573651946,2.9127848954756086,0.0,0.13705363216376323,1.4054902053450071
2024-04-10,69.05818830621124,14.051456644469889,3.762523230629175,3.804406353210937,2.2645207994356755,2.928685686397892,2.9246671982428927,0.0,0.13467308328281263,1.0708786981194973
2024-04-11,68.9313633404044,14.292012220444796,3.756448106511645,3.796108482614749,2.196473530282354,2.9207280359251335,2.916720466567025,0.0,0.13463289679318652,1.0555129204567062
2024-04-12,67.2697134870264,13.96193938647405,3.6802798430143655,3.7067210941307343,2.1449319225848447,2.8523612572421504,2.848447494840387,2.401160514693402,0.13551093479967366,0.9989340651940012
2024-04-15,67.21575892191169,13.996856860918532,3.6720765352835736,3.757100595788401,2.1454812866583217,2.8512593737745466,2.847347123281584,2.4002329326532634,0.1352465917592824,0.9786397779708118
2024-04-16,67.20374036492758,14.046032002865354,3.6723919458103915,3.7536905018880447,2.1433973615623465,2.849475365587732,2.846201148200422,2.39873112778714,0.14681436529346265,0.9395258160775241
2024-04-17,67.22745340673367,14.038045394831112,3.6847752205624,3.7563699139192677,2.128431387892593,2.8502867088420554,2.8469055981366456,2.3994141287153,0.13127989604544194,0.9370383443215105
2024-04-18,67.0262530871543,14.232729693525798,3.6501930855760674,3.756466050614635,2.1318847192832746,2.852612746963914,2.8493349245380144,2.401399158582591,0.13314741847766434,0.9659791152837327
2024-04-19,67.13785186252001,14.080294939776191,3.6458651148602645,3.7517956992847017,2.1360651059727433,2.859059719065409,2.8557744886835024,2.4068263773301806,0.1349363552750702,0.9915303372319226
2024-04-22,67.08645771502067,14.129091346970826,3.6503214739150796,3.7560267019536138,2.1378815368146014,2.861976994236931,2.858688411731611,2.409282210898793,0.13656357798023416,0.9737100304776345
2024-04-23,67.0121897500502,14.203575073091793,3.6528754727232515,3.7637016987984615,2.142376361312971,2.866282455060211,2.8619233684508307,2.4129066530910745,0.1249839605719833,0.9591852068492193
2024-04-24,66.40285155167705,14.219024180459025,3.657128527048929,3.762113954545665,2.141012768911123,2.8691347554407907,2.864771331008956,2.435951099188042,0.12510833484559214,1.5229034968748345
2024-04-25,66.33813739051627,14.236616195352363,3.6443143598563426,3.7649416751466815,2.141545774901771,2.8694201783582116,2.865056319850798,2.4361934287851814,0.12384071267666805,1.579933964555704
2024-04-26,66.24892473462687,14.313806786507191,3.6535065270787697,3.7618015258832216,2.138940424752236,2.8662148522261552,2.8624951874726166,2.433472044681548,0.12284994927578768,1.5979879674956048
2024-04-29,66.1334978774177,14.430374553089845,3.6604384919428585,3.764420475320683,2.1466438925491893,2.8685353037122234,2.8648126275648953,2.4354421530347303,0.1264685085090604,1.5693661168588193
2024-04-30,66.00486257089436,14.527683886875462,3.679839074420422,3.7641348580216274,2.207929556882598,2.8692930443237086,2.866209390455103,2.4334721331355103,0.1235152229022863,1.5230602620889253
2024-05-02,65.79609252929103,14.731104330953926,3.72239079342406,3.775208313647959,2.138983821179825,2.864132815204759,2.8610547070786905,2.4397432757096778,0.12169595254591149,1.5495934609641602
2024-05-03,65.51946814694395,15.06270295553419,3.7077120976310822,3.7789558184157834,2.132406878291151,2.8560370343845545,2.852967626863638,2.4328470777705116,0.12124579098110495,1.5356565731840377
2024-05-06,65.44077809218719,15.122619666522283,3.7160927553502585,3.8000591937561454,2.130764319872889,2.855116509004342,2.852048090779955,2.4320629501649162,0.12120671241647211,1.529251709945551
2024-05-07,65.49618797148253,15.12077056113667,3.6456772000502604,3.800395322891258,2.1358963063430507,2.8554386202128716,2.852380035543062,2.43245216655094,0.1212208194483872,1.5395809963409677
2024-05-08,65.21639748597379,15.009878579590897,4.131217497431798,3.7145722832204306,2.238067655954807,2.8223062655897264,2.8192831704279753,2.404227827489505,0.11907981599810062,1.5249694183229685
2024-05-09,65.15408457130422,15.021106452873163,4.134827487641054,3.778792010254776,2.2368777858189133,2.81861832591758,2.81539613226327,2.4009130397377376,0.12216371021606384,1.5172204839732144
