date,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,REALINK FINANCIAL TRADE LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,BOCI SECURITIES LTD
2024-03-06,0.0,0.0,70.16539440203562,0.0,0.0,0.0,0.0,29.834605597964376,0.0
2024-03-07,0.0,0.0,31.97564864473112,0.0,53.993332367009714,0.0,0.0,14.031018988259166,0.0
2024-03-08,73.8567730802416,0.0,8.275499868702404,0.0,13.846269272611323,0.0,0.0,4.021457778444686,0.0
2024-03-11,73.08905965771987,0.0,8.211753350410216,0.0,13.62809518506144,0.0,0.0,5.071091806808479,0.0
2024-03-15,66.56284911472969,0.0,7.5154879989166865,0.0,12.427638037848268,8.869629980703477,0.0,4.624394867801889,0.0
2024-03-18,66.74814135859049,0.0,7.488882099331229,0.0,12.183861221441424,8.894320535017144,0.0,4.684794785619717,0.0
2024-03-19,62.852028258159386,0.0,7.051753348464023,0.0,11.472684844803888,8.375155835437779,0.0,4.500847105456638,5.747530607678292
2024-03-20,62.627806975633064,0.0,7.472527472527473,0.0,11.425386207994903,8.345277910495302,0.0,4.401974836757446,5.727026596591814
2024-03-21,62.63179689739751,0.0,7.562195393877616,0.0,11.426114101869844,8.345809575383047,0.0,4.306692574777816,5.727391456694168
2024-03-22,62.63179689739751,0.0,7.594049628898163,0.0,11.426114101869844,8.345809575383047,0.0,4.27483833975727,5.727391456694168
2024-03-26,62.72370561776247,0.0,7.394647015663381,0.0,11.4428812964558,8.358056592337384,0.0,4.344913388841038,5.735796088939931
2024-03-27,62.62381756218747,0.0,7.48479154059305,0.0,11.424658406854158,8.408446666879001,0.0,4.331624040513425,5.726661782972895
2024-03-28,62.69970343442074,0.0,7.48110590261169,0.0,11.4385025032686,8.418635798335405,0.0,4.228451162345738,5.7336011990178255
2024-04-02,58.87002604868409,0.0,7.024162400071858,0.0,10.739842510254798,7.934369292493787,5.563040809605078,4.485164226473846,5.383394712416539
2024-04-03,58.87002604868409,0.0,5.940297613701008,0.0,10.739842510254798,7.934369292493787,5.563040809605078,5.5690290128446955,5.383394712416539
2024-04-08,58.87002604868409,0.0,5.946285816940627,0.0,10.739842510254798,7.934369292493787,5.563040809605078,5.563040809605078,5.383394712416539
2024-04-10,58.90177046823043,0.0,5.943500793864773,0.0,10.745633743746442,7.93864773374075,5.518109103981306,5.566040561996346,5.386297594439951
2024-04-11,58.90177046823043,0.0,5.949492226116653,0.0,10.745633743746442,7.93864773374075,5.518109103981306,5.560049129744465,5.386297594439951
2024-04-12,58.86650100296398,0.0,6.065686656088141,0.0,10.73919942516691,7.933894194784587,5.5148049459597015,5.496841411933774,5.383072363102901
2024-04-18,58.86650100296398,0.0,6.07167450076345,0.0,10.73919942516691,7.933894194784587,5.5148049459597015,5.4908535672584655,5.383072363102901
2024-04-25,58.86650100296398,0.0,6.0896380347893775,0.0,10.721235891140985,7.933894194784587,5.5148049459597015,5.4908535672584655,5.383072363102901
2024-05-07,56.66508913077772,0.0,6.404795709102381,0.0,11.298312036598833,8.360940211389808,5.811642214860388,5.786401640637324,5.672819056633538
2024-05-08,56.79316109901896,0.0,6.409892432415382,0.0,11.29617362228321,8.359357748966909,5.810542254187565,5.6591274723194855,5.671745370808492
2024-05-10,56.539898878874475,0.0,6.827246176553717,0.0,11.245799704801684,8.32208020601074,5.784630845083692,5.633891279088026,5.646452909587665
2024-05-13,56.594423360411504,0.0,6.818680801681147,0.0,11.231690869742495,8.31163943167205,5.777373521939592,5.626823071856475,5.639368942696735
2024-05-16,56.38221416742181,0.0,7.168077992688185,0.0,11.189575977252133,8.2804737055901,5.7557104021497985,5.605724463331563,5.618223291566416
2024-05-17,56.13314667911028,0.0,7.3044019287603055,0.0,11.140146212474724,8.243894851454348,5.730284647690153,5.8547207963913515,5.593404884118836
